table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_astronomy,field_chemistry,field_physics,field_other_physical_sciences
3878,r001,All agencies,All agencies,,,,,1,9816132.9,1583417.8,1125457.5,3445977.6,3661279.9
3878,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,
3878,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,93955.5,0.0,91164.0,2791.5,0.0
3878,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,74673.4,0.0,71881.9,2791.5,0.0
3878,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,5508.5,0.0,5508.5,0.0,0.0
3878,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,13773.6,0.0,13773.6,0.0,0.0
3878,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,258817.5,0.0,48233.0,207406.8,3177.6
3878,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,238551.5,0.0,46674.0,188699.8,3177.6
3878,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,20266.0,0.0,1559.0,18707.0,0.0
3878,r010,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,813142.3,5884.6,225986.1,426102.8,155168.8
3878,r011,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,126586.3,0.0,43754.8,82403.1,428.4
3878,r012,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,329428.3,319.2,21674.9,252655.6,54778.5
3878,r013,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,42629.9,0.0,16106.1,23032.3,3491.5
3878,r014,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,77244.2,5565.4,9969.0,11436.2,50273.6
3878,r015,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,237253.5,0.0,134481.2,56575.5,46196.8
3878,r016,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,3197261.8,0.0,404665.8,2537883.5,254712.4
3878,r017,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,42117.1,0.0,19871.3,22245.8,0.0
3878,r018,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,133000.0,0.0,133000.0,0.0,0.0
3878,r019,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,920440.5,0.0,16004.0,649724.1,254712.4
3878,r020,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,712545.9,0.0,0.0,582206.5,130339.4
3878,r021,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,207894.5,0.0,16004.0,67517.6,124373.0
3878,r022,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,2101704.3,0.0,235790.6,1865913.6,0.0
3878,r023,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,88537.1,0.0,87432.1,0.0,1105.0
3878,r024,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,88537.1,0.0,87432.1,0.0,1105.0
3878,r025,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,35631.3,0.0,8161.2,3619.5,23850.5
3878,r026,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,798.0,0.0,798.0,0.0,0.0
3878,r027,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,34833.3,0.0,7363.2,3619.5,23850.5
3878,r028,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,241.7,0.0,0.0,0.0,241.7
3878,r029,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,241.7,0.0,0.0,0.0,241.7
3878,r030,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,9974.2,0.0,5176.7,0.0,4797.6
3878,r031,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,9974.2,0.0,5176.7,0.0,4797.6
3878,r032,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,4440.1,0.0,3440.1,0.0,1000.0
3878,r033,All agencies -> Departments -> Department of Transportation -> Pipeline and Hazardous Materials Safety Administration,All agencies,Departments,Department of Transportation,Pipeline and Hazardous Materials Safety Administration,,4,4440.1,0.0,3440.1,0.0,1000.0
3878,r034,All agencies -> Departments -> Department of the Treasury,All agencies,Departments,Department of the Treasury,,,3,46000.0,0.0,0.0,0.0,46000.0
3878,r035,All agencies -> Departments -> Department of the Treasury -> Bureau of Engraving and Printing,All agencies,Departments,Department of the Treasury,Bureau of Engraving and Printing,,4,46000.0,0.0,0.0,0.0,46000.0
3878,r036,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,
3878,r037,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,39.3,0.0,0.0,0.0,39.3
3878,r038,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,9665.5,0.0,8523.1,0.0,1142.4
3878,r039,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,300.0,0.0,0.0,300.0,0.0
3878,r040,All agencies -> Other agencies -> Library of Congress,All agencies,Other agencies,Library of Congress,,,3,867.6,0.0,867.6,0.0,0.0
3878,r041,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,4228233.8,1270677.3,0.0,7022.0,2950534.4
3878,r042,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,979034.2,256864.8,241807.9,260851.3,219510.2
3878,r043,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,49991.0,49991.0,0.0,0.0,0.0
