table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_dhs,field_dot,field_nasa,field_nsf,field_other
11317,r001,All FFRDCs,All FFRDCs,,,1,"['28,880,018', ' ']","['5,976,325', ' ']","['16,379,939', ' ']","['1,318,421', ' ']","['619,487', ' ']","['213,764', ' ']","['2,921,144', ' ']","['382,460', ' ']","['1,068,478', ' ']"
11317,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['8,010,234', ' ']","['1,304,978', ' ']","['3,400,432', ' ']","['45,944', ' ']","['68,927', ' ']","['34,755', ' ']","['2,704,050', ' ']","['374,958', ' ']","['76,190', ' ']"
11317,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['40,091', '']","['122', '']","['39,592', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['377', '']"
11317,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['1,205,264', '']","['30,665', '']","['1,114,827', '']","['8,694', '']","['20,967', '']","['6,802', '']","['683', '']","['0', '']","['22,626', '']"
11317,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['400,573', '']","['1,353', '']","['399,204', '']","['0', '']","['0', '']","['0', '']","['3', '']","['13', '']","['0', '']"
11317,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,"['11,909', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['75', '']","['11,834', '']","['0', '']"
11317,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,671,305', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['2,671,305', '']","['0', '']","['0', '']"
11317,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['1,131,175', '']","['16,553', '']","['1,085,067', '']","['22,336', '']","['1,558', '']","['1,185', '']","['2,596', '']","['0', '']","['1,880', '']"
11317,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,234,615', '']","['1,154,563', '']","['8,511', '']","['2,466', '']","['15,692', '']","['22,246', '']","['15,181', '']","['0', '']","['15,956', '']"
11317,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['184,647', '']","['4,906', '']","['4,712', '']","['0', '']","['0', '']","['4,252', '']","['10,404', '']","['135,298', '']","['25,075', '']"
