table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2021,field_2022_preliminary_
10256,r001,All fields,All fields,,,1,42494145,43790457
10256,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,2264158,2383428
10256,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,1772255,3567880
10256,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,561043,NA
10256,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,314811,NA
10256,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,489358,NA
10256,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,407044,NA
10256,r008,All fields -> Life sciences,All fields,Life sciences,,2,19008170,19188161
10256,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,587420,NA
10256,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,9766823,NA
10256,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,6832015,NA
10256,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,32116,NA
10256,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,1789795,NA
10256,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,503181,535798
10256,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,6432049,8737145
10256,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,307022,NA
10256,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,792064,NA
10256,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,337081,NA
10256,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,2530622,NA
10256,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,2465259,NA
10256,r021,All fields -> Psychology,All fields,Psychology,,2,1934423,1929607
10256,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,13496,NA
10256,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,16755,NA
10256,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,1904172,NA
10256,r025,All fields -> Social sciences,All fields,Social sciences,,2,537330,541744
10256,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,22026,NA
10256,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,52556,NA
10256,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,1235,NA
10256,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,43042,NA
10256,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,418470,NA
10256,r031,All fields -> Engineering,All fields,Engineering,,2,3151032,3231480
10256,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,208895,NA
10256,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,26603,NA
10256,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,121281,NA
10256,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,70027,NA
10256,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,199814,NA
10256,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,40752,NA
10256,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,114059,NA
10256,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,238474,NA
10256,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,2131128,NA
10256,r041,All fields -> Other fields,All fields,Other fields,,2,6891548,3675215
10256,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,33687,NA
10256,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,0,NA
10256,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,359764,NA
10256,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0.05,NA
10256,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,6570,NA
10256,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0,NA
10256,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0,NA
10256,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,6491493,NA
