table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_companies_number_,field_all_companies_amount_thousands_,field_1_4_employees_companies_number_,field_1_4_employees_amount_thousands_,field_5_9_employees_companies_number_,field_5_9_employees_amount_thousands_
12462,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['14,353', '&nbsp;']","['7,616,415', '&nbsp;']","['9,012', '&nbsp;']","['3,573,847', '&nbsp;']","['5,341', '&nbsp;']","['4,042,568', '&nbsp;']"
12462,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,674', '&nbsp;']","['907,975', '&nbsp;']","['860', '&nbsp;']","['298,997', '&nbsp;']","['814', '&nbsp;']","['608,978', '&nbsp;']"
12462,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['41', '&nbsp;']","['18,222', '&nbsp;']","['22', 'r']","['6,932', 'r']","['19', 'r']","['11,289', 'r']"
12462,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['13', 'r']","['9,268', 'r']","['8', 'r']","['1,264', 'r']","['5', 'r']","['8,005', 'r']"
12462,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12462,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['3', 'r']","['912', 'r']","['0', '&nbsp;']","['0', '&nbsp;']","['3', 'r']","['912', 'r']"
12462,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12462,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['1', 'r']","['202', '&nbsp;']","['1', 'r']","['202', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12462,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['275', '&nbsp;']","['269,478', '&nbsp;']","['149', '&nbsp;']","['105,857', '&nbsp;']","['126', '&nbsp;']","['163,621', '&nbsp;']"
12462,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['168', '&nbsp;']","['219,793', '&nbsp;']","['88', '&nbsp;']","['80,128', '&nbsp;']","['79', '&nbsp;']","['139,665', '&nbsp;']"
12462,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['107', '&nbsp;']","['49,685', '&nbsp;']","['60', '&nbsp;']","['25,730', '&nbsp;']","['47', '&nbsp;']","['23,956', '&nbsp;']"
12462,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['73', '&nbsp;']","['14,698', '&nbsp;']","['45', '&nbsp;']","['6,552', '&nbsp;']","['28', '&nbsp;']","['8,145', 'r']"
12462,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['13', '&nbsp;']","['3,642', '&nbsp;']","['3', '&nbsp;']","['183', '&nbsp;']","['10', '&nbsp;']","['3,459', '&nbsp;']"
12462,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['8', '&nbsp;']","['3,983', '&nbsp;']","['6', 'r']","['2,645', '&nbsp;']","['3', '&nbsp;']","['1,338', '&nbsp;']"
