table_id,row_id,step,matches_after_filter_2,matches_after_filter_3,matches_removed_by_filter_3,percentage_of_matches_removed_by_filter_3
9402,r001,1,9678,9455,223,2.3
9402,r002,2,5474,5285,189,3.45
9402,r003,3–6,1298,1219,79,6.13
9402,r004,Total,16450,15959,491,2.98
