table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_yes,field_no,field_don_t_know
5730,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['    4,805,151 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    90.3 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5730,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['    217,565 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    92.4 ', '&nbsp;']","['    6.0 ', '&nbsp;']"
5730,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['    18,250 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    90.8 ', '&nbsp;']","['    7.9 ', '&nbsp;']"
5730,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['    7,723 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    93.2 ', '&nbsp;']","['    5.8 ', '&nbsp;']"
5730,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['    10,554 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    89.7 ', '&nbsp;']","['    9.0 ', '&nbsp;']"
5730,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['    11,012 ', '&nbsp;']","['    0.9 ', 'r']","['    93.5 ', '&nbsp;']","['    5.6 ', '&nbsp;']"
5730,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['    2,117 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    96.0 ', '&nbsp;']","['    3.7 ', '&nbsp;']"
5730,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['    20,851 ', '&nbsp;']","['    2.9 ', '&nbsp;']","['    91.5 ', '&nbsp;']","['    5.6 ', '&nbsp;']"
5730,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['    583 ', '&nbsp;']","['    0.0 ', '&nbsp;']","['    96.1 ', '&nbsp;']","['    3.9 ', '&nbsp;']"
5730,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['    7,522 ', '&nbsp;']","['    2.3 ', '&nbsp;']","['    91.1 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5730,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical manufacturing",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical manufacturing",,4,3253,"['    593 ', '&nbsp;']","['    8.1 ', 'r']","['    88.4 ', '&nbsp;']","['    3.5 ', '&nbsp;']"
5730,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    1,365 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    92.4 ', '&nbsp;']","['    6.3 ', '&nbsp;']"
5730,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation manufacturing",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation manufacturing",,4,3256,"['    1,636 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    93.3 ', '&nbsp;']","['    5.1 ', '&nbsp;']"
5730,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    3,927 ', '&nbsp;']","['    2.0 ', '&nbsp;']","['    90.1 ', '&nbsp;']","['    7.9 ', '&nbsp;']"
5730,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    8,087 ', '&nbsp;']","['    1.5 ', 'r']","['    93.9 ', '&nbsp;']","['    4.6 ', '&nbsp;']"
5730,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    7,749 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    94.8 ', '&nbsp;']","['    4.1 ', '&nbsp;']"
5730,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    2,537 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    92.9 ', '&nbsp;']","['    6.9 ', '&nbsp;']"
5730,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    48,472 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    94.3 ', '&nbsp;']","['    5.1 ', '&nbsp;']"
5730,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    18,558 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    92.3 ', '&nbsp;']","['    6.1 ', '&nbsp;']"
5730,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    9,036 ', '&nbsp;']","['    5.8 ', '&nbsp;']","['    85.7 ', '&nbsp;']","['    8.5 ', '&nbsp;']"
5730,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    974 ', '&nbsp;']","['    11.4 ', '&nbsp;']","['    77.9 ', '&nbsp;']","['    10.8 ', '&nbsp;']"
5730,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    2,796 ', '&nbsp;']","['    1.4 ', '&nbsp;']","['    90.6 ', '&nbsp;']","['    8.0 ', '&nbsp;']"
5730,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['    3,909 ', '&nbsp;']","['    5.8 ', '&nbsp;']","['    85.9 ', '&nbsp;']","['    8.3 ', '&nbsp;']"
5730,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['    1,359 ', '&nbsp;']","['    11.3 ', '&nbsp;']","['    80.2 ', '&nbsp;']","['    8.5 ', '&nbsp;']"
5730,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['    4,000 ', '&nbsp;']","['    2.9 ', '&nbsp;']","['    90.6 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5730,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['    7,175 ', '&nbsp;']","['    1.4 ', '&nbsp;']","['    92.6 ', '&nbsp;']","['    6.0 ', '&nbsp;']"
5730,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['    4,565 ', '&nbsp;']","['    1.4 ', '&nbsp;']","['    92.2 ', '&nbsp;']","['    6.4 ', '&nbsp;']"
5730,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['    985 ', '&nbsp;']","['    1.7 ', 'r']","['    90.8 ', '&nbsp;']","['    7.5 ', '&nbsp;']"
5730,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['    1,625 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    94.9 ', '&nbsp;']","['    4.0 ', 'r']"
5730,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['    12,647 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    93.7 ', '&nbsp;']","['    5.3 ', '&nbsp;']"
