table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_hierarchy_depth,field_total_number_,field_highest_degree_in_s_e_field_and_working_in_degree_field,field_highest_degree_in_s_e_field_but_not_working_in_degree_field,field_highest_degree_in_s_e_related_field,field_a_degree_in_s_e_or_s_e_related_field_but_not_highest,field_no_degrees_in_s_e_or_s_e_related_fields
4427,r001,S&E occupations,S&E occupations,,1,7466000,56.8,19.6,5.7,5.1,12.8
4427,r002,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,2,3774000,42.0,28.1,4.9,5.1,20.0
4427,r003,"S&E occupations -> Biological, agricultural, and environmental life scientists",S&E occupations,"Biological, agricultural, and environmental life scientists",2,698000,69.8,13.1,11.0,2.6,3.5
4427,r004,S&E occupations -> Physical scientists,S&E occupations,Physical scientists,2,409000,60.2,31.2,s,2.7,1.8
4427,r005,S&E occupations -> Social scientists,S&E occupations,Social scientists,2,663000,67.6,4.3,6.7,8.5,12.9
4427,r006,S&E occupations -> Engineers,S&E occupations,Engineers,2,1921000,76.9,8.4,5.4,5.2,4.2
4427,r007,S&E-related occupations,S&E-related occupations,,1,8893000,0.0,24.0,59.7,4.8,11.6
4427,r008,Non-S&E occupations,Non-S&E occupations,,1,34165000,0.0,22.0,5.0,8.9,64.1
