table_id,row_id,state_or_location_and_institution_full_path,state_or_location_and_institution_level_1,state_or_location_and_institution_level_2,state_or_location_and_institution_level_3,state_or_location_and_institution_hierarchy_depth,field_all_fields,field_education_total,field_education_education_administration,field_education_education_research,field_education_teacher_education,field_education_teaching_fields,field_education_other_education,field_humanities_and_arts_total,field_humanities_and_arts_foreign_languages_and_literature,field_humanities_and_arts_history,field_humanities_and_arts_letters,field_humanities_and_arts_other_humanities_and_arts,field_othera_total,field_othera_business_management_and_administration,field_othera_communication,field_othera_non_s_e_fields_nec,field_othera_unknown_field
1814,r001,All institutions,All institutions,,,1,55195,4834,898,2507,97,963,369,5145,617,948,1442,2138,2989,1481,631,877,0
1814,r002,All institutions -> Alabama,All institutions,Alabama,,2,667,111,19,57,8,23,4,26,3,9,10,4,37,19,8,10,0
1814,r003,All institutions -> Alabama -> Alabama A&M U.,All institutions,Alabama,Alabama A&M U.,3,8,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
1814,r004,All institutions -> Alabama -> Alabama State U.,All institutions,Alabama,Alabama State U.,3,8,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1814,r005,"All institutions -> Alabama -> Auburn U., Auburn",All institutions,Alabama,"Auburn U., Auburn",3,253,42,6,24,7,1,4,5,0,3,2,0,13,9,0,4,0
1814,r006,All institutions -> Alabama -> Tuskegee U.,All institutions,Alabama,Tuskegee U.,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r007,"All institutions -> Alabama -> U. Alabama, Birmingham",All institutions,Alabama,"U. Alabama, Birmingham",3,165,12,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0
1814,r008,"All institutions -> Alabama -> U. Alabama, Huntsville",All institutions,Alabama,"U. Alabama, Huntsville",3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r009,"All institutions -> Alabama -> U. Alabama, Tuscaloosa",All institutions,Alabama,"U. Alabama, Tuscaloosa",3,182,40,5,26,0,9,0,21,3,6,8,4,24,10,8,6,0
1814,r010,All institutions -> Alabama -> U. South Alabama,All institutions,Alabama,U. South Alabama,3,23,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r011,All institutions -> Alaska,All institutions,Alaska,,2,56,3,0,0,0,0,3,0,0,0,0,0,3,0,2,1,0
1814,r012,"All institutions -> Alaska -> U. Alaska, Anchorage",All institutions,Alaska,"U. Alaska, Anchorage",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r013,"All institutions -> Alaska -> U. Alaska, Fairbanks",All institutions,Alaska,"U. Alaska, Fairbanks",3,54,3,0,0,0,0,3,0,0,0,0,0,3,0,2,1,0
1814,r014,All institutions -> Arizona,All institutions,Arizona,,2,764,71,4,23,1,32,11,89,15,8,21,45,44,21,13,10,0
1814,r015,All institutions -> Arizona -> Arizona State U.,All institutions,Arizona,Arizona State U.,3,338,23,0,10,0,9,4,46,4,3,6,33,26,11,6,9,0
1814,r016,All institutions -> Arizona -> Northern Arizona U.,All institutions,Arizona,Northern Arizona U.,3,27,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r017,All institutions -> Arizona -> Prescott C.,All institutions,Arizona,Prescott C.,3,10,8,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0
1814,r018,All institutions -> Arizona -> U. Arizona,All institutions,Arizona,U. Arizona,3,389,37,3,10,1,20,3,43,11,5,15,12,18,10,7,1,0
1814,r019,All institutions -> Arkansas,All institutions,Arkansas,,2,266,20,1,14,0,5,0,28,1,8,10,9,15,14,0,1,0
1814,r020,"All institutions -> Arkansas -> Arkansas State U., Jonesboro",All institutions,Arkansas,"Arkansas State U., Jonesboro",3,8,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
1814,r021,All institutions -> Arkansas -> U. Arkansas for Medical Sciences,All institutions,Arkansas,U. Arkansas for Medical Sciences,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r022,"All institutions -> Arkansas -> U. Arkansas, Fayetteville",All institutions,Arkansas,"U. Arkansas, Fayetteville",3,197,18,1,14,0,3,0,26,1,7,10,8,14,14,0,0,0
1814,r023,"All institutions -> Arkansas -> U. Arkansas, Little Rock",All institutions,Arkansas,"U. Arkansas, Little Rock",3,28,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
1814,r024,All institutions -> California,All institutions,California,,2,6076,289,49,136,2,33,69,608,81,107,142,278,208,116,45,47,0
1814,r025,All institutions -> California -> Alliant International U.,All institutions,California,Alliant International U.,3,93,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0
1814,r026,All institutions -> California -> Azusa Pacific U.,All institutions,California,Azusa Pacific U.,3,19,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r027,All institutions -> California -> Biola U.,All institutions,California,Biola U.,3,22,8,2,2,0,0,4,1,0,0,0,1,0,0,0,0,0
1814,r028,All institutions -> California -> California Institute of Integral Studies,All institutions,California,California Institute of Integral Studies,3,31,3,0,2,0,1,0,8,0,0,0,8,3,1,0,2,0
1814,r029,All institutions -> California -> California Institute of Technology,All institutions,California,California Institute of Technology,3,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r030,All institutions -> California -> Chapman U.,All institutions,California,Chapman U.,3,14,12,1,4,0,0,7,0,0,0,0,0,0,0,0,0,0
1814,r031,"All institutions -> California -> City of Hope, Irell and Manella Graduate School of Biological Sciences",All institutions,California,"City of Hope, Irell and Manella Graduate School of Biological Sciences",3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r032,All institutions -> California -> Claremont Graduate U.,All institutions,California,Claremont Graduate U.,3,111,21,4,6,0,1,10,22,0,2,4,16,3,3,0,0,0
1814,r033,All institutions -> California -> Claremont School of Theology,All institutions,California,Claremont School of Theology,3,9,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0
1814,r034,All institutions -> California -> Fielding Graduate U.,All institutions,California,Fielding Graduate U.,3,96,1,0,0,1,0,0,1,0,0,0,1,29,24,0,5,0
1814,r035,All institutions -> California -> Frederick S. Pardee RAND Graduate School,All institutions,California,Frederick S. Pardee RAND Graduate School,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r036,All institutions -> California -> Fuller Theological Seminary,All institutions,California,Fuller Theological Seminary,3,29,0,0,0,0,0,0,11,0,0,0,11,1,0,1,0,0
1814,r037,All institutions -> California -> Graduate Theological Union,All institutions,California,Graduate Theological Union,3,22,0,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0
1814,r038,All institutions -> California -> Keck Graduate Institute,All institutions,California,Keck Graduate Institute,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r039,All institutions -> California -> La Sierra U.,All institutions,California,La Sierra U.,3,6,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0
1814,r040,All institutions -> California -> Loma Linda U.,All institutions,California,Loma Linda U.,3,40,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1814,r041,All institutions -> California -> Naval Postgraduate School,All institutions,California,Naval Postgraduate School,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r042,All institutions -> California -> Palo Alto U.,All institutions,California,Palo Alto U.,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r043,"All institutions -> California -> San Diego State U., San Diego",All institutions,California,"San Diego State U., San Diego",3,62,14,0,5,0,6,3,0,0,0,0,0,0,0,0,0,0
1814,r044,"All institutions -> California -> Sanford-Burnham Medical Research Institute, La Jolla",All institutions,California,"Sanford-Burnham Medical Research Institute, La Jolla",3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r045,All institutions -> California -> Santa Clara U.,All institutions,California,Santa Clara U.,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r046,All institutions -> California -> Saybrook U.,All institutions,California,Saybrook U.,3,32,2,0,1,0,1,0,1,0,0,0,1,5,4,0,1,0
1814,r047,All institutions -> California -> Scripps Research Institute,All institutions,California,Scripps Research Institute,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1814,r048,All institutions -> California -> Sofia U.,All institutions,California,Sofia U.,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
