table_id,row_id,degree_level_and_field_full_path,degree_level_and_field_level_1,degree_level_and_field_level_2,degree_level_and_field_level_3,degree_level_and_field_hierarchy_depth,field_2000,field_2012,field_2021,field_change_2000_12_number,field_change_2000_12_percent,field_change_2012_21_number,field_change_2012_21_percent
9790,r001,Total,Total,,,1,340259,852463,521115,512204,150.5,-331348,-38.9
9790,r002,Total -> S&E,Total,S&E,,2,40480,78274,40754,37794,93.4,-37520,-47.9
9790,r003,Total -> S&E -> Certificate,Total,S&E,Certificate,3,24377,7715,12168,-16662,-68.4,4453,57.7
9790,r004,Total -> S&E -> Associate's degree,Total,S&E,Associate's degree,3,10421,32513,5816,22092,212.0,-26697,-82.1
9790,r005,Total -> S&E -> Bachelor's degree,Total,S&E,Bachelor's degree,3,4002,27840,12669,23838,595.7,-15171,-54.5
9790,r006,Total -> S&E -> Master's degree,Total,S&E,Master's degree,3,1329,9427,7740,8098,609.3,-1687,-17.9
9790,r007,Total -> S&E -> Doctoral degree,Total,S&E,Doctoral degree,3,351,779,2361,428,121.9,1582,203.1
9790,r008,Total -> S&E-related,Total,S&E-related,,2,154831,405984,258152,251153,162.2,-147832,-36.4
9790,r009,Total -> S&E-related -> Certificate,Total,S&E-related,Certificate,3,120971,282188,150361,161217,133.3,-131827,-46.7
9790,r010,Total -> S&E-related -> Associate's degree,Total,S&E-related,Associate's degree,3,30004,89172,40474,59168,197.2,-48698,-54.6
9790,r011,Total -> S&E-related -> Bachelor's degree,Total,S&E-related,Bachelor's degree,3,2894,23126,42352,20232,699.1,19226,83.1
9790,r012,Total -> S&E-related -> Master's degree,Total,S&E-related,Master's degree,3,962,11498,24941,10536,1095.2,13443,116.9
9790,r013,Total -> S&E-related -> Doctoral degree,Total,S&E-related,Doctoral degree,3,0,0,24,0,NA,24,NA
9790,r014,Total -> Non-S&E,Total,Non-S&E,,2,144948,368205,222209,223257,154.0,-145996,-39.7
9790,r015,Total -> Non-S&E -> Certificate,Total,Non-S&E,Certificate,3,91062,136361,109254,45299,49.7,-27107,-19.9
9790,r016,Total -> Non-S&E -> Associate's degree,Total,Non-S&E,Associate's degree,3,31799,87852,22735,56053,176.3,-65117,-74.1
9790,r017,Total -> Non-S&E -> Bachelor's degree,Total,Non-S&E,Bachelor's degree,3,13331,82636,49045,69305,519.9,-33591,-40.6
9790,r018,Total -> Non-S&E -> Master's degree,Total,Non-S&E,Master's degree,3,8507,59069,38597,50562,594.4,-20472,-34.7
9790,r019,Total -> Non-S&E -> Doctoral degree,Total,Non-S&E,Doctoral degree,3,249,2287,2578,2038,818.5,291,12.7
