table_id,row_id,highest_degree_awarded_full_path,highest_degree_awarded_level_1,highest_degree_awarded_level_2,highest_degree_awarded_hierarchy_depth,field_all_degree_granting_institutions,field_public,field_private_nonprofit,field_private_for_profit
5777,r001,All degree levels,All degree levels,,1,4149,1714,1713,722
5777,r002,All degree levels -> Associate's,All degree levels,Associate's,2,1340,880,93,367
5777,r003,All degree levels -> Bachelor's,All degree levels,Bachelor's,2,734,229,355,150
5777,r004,All degree levels -> Master's,All degree levels,Master's,2,868,184,540,144
5777,r005,All degree levels -> Doctoral,All degree levels,Doctoral,2,1207,421,725,61
