table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012
10324,r001,All locations,All locations,,,1,91816,101366,109733,116586,119302,124900,125092,138975,138156,132794,135995
10324,r002,All locations -> Alabama,All locations,Alabama,,2,2735,3212,3036,3108,2198,2248,2782,3023,3477,5202,5159
10324,r003,All locations -> Alaska,All locations,Alaska,,2,300,399,461,495,212,264,222,247,236,196,159
10324,r004,All locations -> Arizona,All locations,Arizona,,2,2279,2385,2644,2959,2460,2422,2449,3142,3426,2917,2405
10324,r005,All locations -> Arkansas,All locations,Arkansas,,2,141,145,147,165,162,178,145,171,182,179,184
10324,r006,All locations -> California,All locations,California,,2,19198,20170,19259,19964,26898,26987,19939,26989,27227,22769,18036
10324,r007,All locations -> Colorado,All locations,Colorado,,2,1728,1735,2068,2265,2189,2798,2668,3862,4348,3816,3745
10324,r008,All locations -> Connecticut,All locations,Connecticut,,2,2817,2068,2123,2400,1947,2117,1815,2365,2193,2426,2231
10324,r009,All locations -> Delaware,All locations,Delaware,,2,81,95,90,94,113,131,144,225,129,115,109
10324,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,3146,2986,3329,4162,4193,4278,17537,4265,3890,3014,3339
10324,r011,All locations -> Florida,All locations,Florida,,2,2542,2854,3265,2590,3346,4078,2290,3734,3142,2482,2356
10324,r012,All locations -> Georgia,All locations,Georgia,,2,2229,2133,1907,2182,1751,1686,1386,1958,1520,1422,1133
10324,r013,All locations -> Hawaii,All locations,Hawaii,,2,428,414,488,600,380,379,348,387,389,404,383
10324,r014,All locations -> Idaho,All locations,Idaho,,2,235,218,289,290,300,287,355,388,479,430,447
10324,r015,All locations -> Illinois,All locations,Illinois,,2,1729,1935,1880,2128,2003,2145,2169,2746,2631,2878,2399
10324,r016,All locations -> Indiana,All locations,Indiana,,2,538,574,557,567,583,597,672,1109,989,903,838
10324,r017,All locations -> Iowa,All locations,Iowa,,2,463,499,538,488,549,662,635,683,909,695,613
10324,r018,All locations -> Kansas,All locations,Kansas,,2,291,269,287,358,294,318,300,464,348,368,232
10324,r019,All locations -> Kentucky,All locations,Kentucky,,2,322,247,252,296,240,222,252,319,287,242,308
10324,r020,All locations -> Louisiana,All locations,Louisiana,,2,433,453,447,444,323,419,406,406,331,597,314
10324,r021,All locations -> Maine,All locations,Maine,,2,256,167,210,292,229,379,168,194,163,180,248
10324,r022,All locations -> Maryland,All locations,Maryland,,2,7420,8027,12609,12501,12747,11906,13313,15971,15879,15751,15598
10324,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,4921,5492,5964,6592,6876,7529,6883,9047,8747,7758,6279
10324,r024,All locations -> Michigan,All locations,Michigan,,2,1254,1693,1118,1177,1700,1726,1866,2427,2510,2153,2206
10324,r025,All locations -> Minnesota,All locations,Minnesota,,2,1153,866,831,768,1242,1387,1393,1551,1063,949,961
10324,r026,All locations -> Mississippi,All locations,Mississippi,,2,628,1181,1599,438,555,434,435,385,422,588,543
10324,r027,All locations -> Missouri,All locations,Missouri,,2,1241,1349,3059,4202,1316,1221,1111,1285,1151,1193,1123
10324,r028,All locations -> Montana,All locations,Montana,,2,114,131,189,182,151,654,159,171,139,182,190
10324,r029,All locations -> Nebraska,All locations,Nebraska,,2,154,168,210,193,178,230,205,220,240,262,262
10324,r030,All locations -> Nevada,All locations,Nevada,,2,343,419,555,593,436,321,313,558,380,478,482
10324,r031,All locations -> New Hampshire,All locations,New Hampshire,,2,312,512,422,514,400,340,294,458,350,406,491
10324,r032,All locations -> New Jersey,All locations,New Jersey,,2,2109,2088,2274,2525,2173,2192,2193,2492,2853,2583,2167
10324,r033,All locations -> New Mexico,All locations,New Mexico,,2,2877,3090,3363,3593,3315,3478,3503,3696,3338,3456,3379
