table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_aeronautical_engineering,field_astronautical_engineering,field_chemical_engineering,field_civil_engineering,field_electrical_engineering,field_mechanical_engineering,field_metallurgy_and_materials_engineering,field_other_engineering
6356,r001,All agencies,All agencies,,,,,1,13222044.8,1093479.7,915907.0,788211.4,475684.1,880629.5,522834.4,704470.0,7840828.8
6356,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,
6356,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,117701.9,0.0,0.0,93.0,0.0,0.0,0.0,0.0,117608.9
6356,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,11530.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11530.6
6356,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,8621.2,0.0,0.0,93.0,0.0,0.0,0.0,0.0,8528.2
6356,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,97550.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97550.2
6356,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,264582.4,140.0,0.0,223.6,54482.8,108755.5,2751.8,56354.0,41874.7
6356,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,247572.4,140.0,0.0,223.6,48885.8,97342.5,2751.8,56354.0,41874.7
6356,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,9318.0,0.0,0.0,0.0,5597.0,3721.0,0.0,0.0,0.0
6356,r010,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7692.0,0.0,0.0,0.0,0.0,7692.0,0.0,0.0,0.0
6356,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,2825723.9,487506.2,227248.2,118333.9,28373.0,503881.6,367015.1,229790.2,863575.8
6356,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,466983.9,52546.7,117.7,36073.5,0.0,95099.2,5445.8,32525.5,245175.6
6356,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2050.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.3
6356,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,896035.4,284446.4,197848.2,5838.4,6586.9,154474.3,47145.2,8695.6,191000.5
6356,r015,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,672190.2,84469.5,18009.1,58564.6,10064.7,49731.0,235325.9,66864.1,149161.2
6356,r016,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,584635.5,51563.3,0.0,730.9,0.0,151935.4,47807.0,103180.7,229418.3
6356,r017,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,203828.7,14480.4,11273.2,17126.6,11721.4,52641.8,31291.2,18524.3,46770.0
6356,r018,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,3181435.0,0.0,50.0,544673.4,6965.3,108720.1,39667.3,184036.2,2297322.6
6356,r019,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,116395.2,0.0,0.0,47653.3,0.0,14536.8,25160.5,21034.2,8010.3
