table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_hierarchy_depth,field_all_r_d_employees,field_researchers,field_technicians,field_other_support_personnel
8054,r001,All organizations ,All organizations ,,1,"['213,794', '  ']","['80,427', '  ']","['76,271', '  ']","['57,096', '  ']"
8054,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['127,655', '  ']","['47,233', 'i ']","['42,536', '  ']","['37,887', '  ']"
8054,r003,All organizations  -> Science and technology ,All organizations ,Science and technology ,2,"['66,560', '  ']","['24,596', '  ']","['28,916', '  ']","['13,048', '  ']"
8054,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['19,578', '  ']","['8,598', '  ']","['4,820', '  ']","['6,160', '  ']"
