table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_total,field_basic_research,field_applied_research,field_development
1477,r001,All states,All states,,1,4843494,409200,1852038,2582255
1477,r002,All states -> Alabama,All states,Alabama,2,14155,1421,6355,6379
1477,r003,All states -> Alaska,All states,Alaska,2,1154,176,206,772
1477,r004,All states -> Arizona,All states,Arizona,2,70950,4715,30144,36091
1477,r005,All states -> Arkansas,All states,Arkansas,2,14411,s,6056,7268
1477,r006,All states -> California,All states,California,2,1194408,89716,432278,672414
1477,r007,All states -> Colorado,All states,Colorado,2,114389,9986,43843,60560
1477,r008,All states -> Connecticut,All states,Connecticut,2,71880,6712,15432,49737
1477,r009,All states -> Delaware,All states,Delaware,2,7971,494,2437,5040
1477,r010,All states -> District of Columbia,All states,District of Columbia,2,11965,132,4544,7289
1477,r011,All states -> Florida,All states,Florida,2,237130,30809,94911,111409
1477,r012,All states -> Georgia,All states,Georgia,2,93933,10557,38539,44837
1477,r013,All states -> Hawaii,All states,Hawaii,2,s,s,s,s
1477,r014,All states -> Idaho,All states,Idaho,2,s,s,s,s
1477,r015,All states -> Illinois,All states,Illinois,2,162022,12879,61370,87773
1477,r016,All states -> Indiana,All states,Indiana,2,50643,3605,11484,35554
1477,r017,All states -> Iowa,All states,Iowa,2,30624,s,9180,19105
1477,r018,All states -> Kansas,All states,Kansas,2,12771,1466,5785,5520
1477,r019,All states -> Kentucky,All states,Kentucky,2,19640,3821,7364,8455
1477,r020,All states -> Louisiana,All states,Louisiana,2,11229,606,3282,7341
1477,r021,All states -> Maine,All states,Maine,2,21035,s,s,s
1477,r022,All states -> Maryland,All states,Maryland,2,150978,11726,73172,66081
1477,r023,All states -> Massachusetts,All states,Massachusetts,2,267037,21948,87809,157280
1477,r024,All states -> Michigan,All states,Michigan,2,67411,7340,23754,36317
1477,r025,All states -> Minnesota,All states,Minnesota,2,121090,s,51997,51242
1477,r026,All states -> Mississippi,All states,Mississippi,2,3395,s,628,2377
1477,r027,All states -> Missouri,All states,Missouri,2,23465,1973,9638,11854
1477,r028,All states -> Montana,All states,Montana,2,9629,448,5946,3235
1477,r029,All states -> Nebraska,All states,Nebraska,2,19053,1298,s,9023
1477,r030,All states -> Nevada,All states,Nevada,2,48748,5853,15750,27144
1477,r031,All states -> New Hampshire,All states,New Hampshire,2,21715,1869,7887,11959
1477,r032,All states -> New Jersey,All states,New Jersey,2,150029,9441,46503,94085
1477,r033,All states -> New Mexico,All states,New Mexico,2,20260,665,8075,11519
1477,r034,All states -> New York,All states,New York,2,390061,19808,205001,165253
1477,r035,All states -> North Carolina,All states,North Carolina,2,165762,6885,69363,89514
1477,r036,All states -> North Dakota,All states,North Dakota,2,s,s,s,s
1477,r037,All states -> Ohio,All states,Ohio,2,89044,11999,32641,44403
1477,r038,All states -> Oklahoma,All states,Oklahoma,2,45354,s,16404,23510
1477,r039,All states -> Oregon,All states,Oregon,2,43417,4587,11563,27267
1477,r040,All states -> Pennsylvania,All states,Pennsylvania,2,194601,13311,90671,90619
1477,r041,All states -> Rhode Island,All states,Rhode Island,2,15570,890,3232,11448
1477,r042,All states -> South Carolina,All states,South Carolina,2,38267,4851,18278,15137
1477,r043,All states -> South Dakota,All states,South Dakota,2,5823,695,1181,3948
1477,r044,All states -> Tennessee,All states,Tennessee,2,32301,1832,10519,19949
1477,r045,All states -> Texas,All states,Texas,2,302041,29005,99548,173487
1477,r046,All states -> Utah,All states,Utah,2,43950,4076,17091,22782
1477,r047,All states -> Vermont,All states,Vermont,2,11893,228,2778,s
1477,r048,All states -> Virginia,All states,Virginia,2,149361,8994,59328,81039
1477,r049,All states -> Washington,All states,Washington,2,131326,18450,44627,68249
1477,r050,All states -> West Virginia,All states,West Virginia,2,1396,191,604,600
1477,r051,All states -> Wisconsin,All states,Wisconsin,2,41767,4359,14761,22646
1477,r052,All states -> Wyoming,All states,Wyoming,2,s,s,s,s
1477,r053,All states -> Undistributed,All states,Undistributed,2,101,10,51,40
