table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedc
6573,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['26,270', '']","['428,968', '']","['735', '']","['829', '']","['1,036', '']","['16,648', '']","['391', '']","['17,968', '']","['9,188', '']","['340', '']","['7,087', '']","['956', '']","['7,606', '']","['13,353', '']","['664', '']","['1,527', '']","['170', '']","['1,381', '']","['20,916', '']","['2,463', '']","['218', '']","['4,276', '']","['35,823', '']","['219', 'i']","['5,679', '']","['670', '']","['916', '']"
6573,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['14,410', '']","['248,109', '']","['243', '']","['513', '']","['734', '']","['12,680', '']","['220', '']","['7,690', '']","['6,239', '']","['155', '']","['5,824', '']","['573', '']","['5,973', '']","['10,177', '']","['612', '']","['1,088', '']","['134', '']","['981', '']","['9,015', '']","['1,037', '']","['128', '']","['1,480', '']","['5,709', '']","['169', 'i']","['3,829', '']","['641', '']","['379', '']"
6573,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['860', '']","['3,937', '']","['54', '']","['2', 'e']","['*', 'e']","['241', '']","['*', 'e']","['38', '']","['56', '']","['4', '']","['163', '']","['14', '']","['16', '']","['64', '']","['1', 'e']","['4', '']","['4', '']","['27', '']","['27', '']","['6', '']","['4', '']","['133', '']","['45', '']","['*', 'e']","['92', '']","['0 - 175', 'e']","['0 - 175', '']"
6573,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['350', '']","['971', '']","['*', 'e']","['*', 'e']","['*', 'e']","['1', 'e']","['*', 'e']","['260', '']","['86', '']","['*', 'e']","['2', '']","['1', 'i']","['2', 'e']","['2', 'e']","['*', 'e']","['*', 'e']","['*', 'e']","['1', 'e']","['148', '']","['*', 'e']","['1', 'i']","['90', '']","['49', '']","['*', 'e']","['1', 'i']","['0 - 22', 'e']","['0 - 22', '']"
6573,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['210', '']","['873', '']","['*', 'e']","['1', '']","['13', '']","['2', 'e']","['*', 'e']","['32', '']","['50', '']","['*', 'e']","['82', '']","['2', '']","['21', '']","['6', '']","['1', 'e']","['64', '']","['*', 'e']","['3', 'e']","['5', 'e']","['5', '']","['*', 'e']","['9', '']","['19', '']","['*', 'e']","['12', '']","['0 - 29', '']","['0 - 29', '']"
6573,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['80', '']","['180', '']","['*', 'e']","['*', 'e']","['*', 'e']","['*', 'e']","['*', '']","['*', 'e']","['10', '']","['13', '']","['3', '']","['0 - 22', '']","['3', '']","['3', 'i']","['3', '']","['*', 'e']","['*', 'e']","['6', '']","['4', 'i']","['1', 'i']","['*', 'i']","['11', '']","['10', '']","['*', 'e']","['14', '']","['*', 'e']","['0 - 22', '']"
6573,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['90', '']","['1,064', '']","['1', '']","['*', 'e']","['2', '']","['8', '']","['*', 'e']","['7', '']","['38', '']","['0', '']","['20', '']","['*', 'e']","['1', '']","['24', '']","['4', '']","['274', '']","['*', 'e']","['29', '']","['16', '']","['*', '']","['2', '']","['93', '']","['15', '']","['*', 'e']","['324', '']","['0', '']","['3', '']"
6573,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['200', '']","['420', 'i']","['1', 'e']","['1', 'e']","['1', 'e']","['5', 'e']","['1', 'i']","['13', '']","['49', 'i']","['*', 'e']","['28', 'i']","['1', 'e']","['4', '']","['21', 'i']","['1', '']","['3', 'i']","['*', 'e']","['32', 'i']","['13', '']","['1', 'e']","['1', 'e']","['3', 'e']","['7', 'i']","['*', 'e']","['32', 'i']","['*', 'e']","['8', '']"
6573,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['70', '']","['1,203', '']","['*', 'e']","['*', 'e']","['*', 'e']","['341', '']","['*', 'e']","['1', 'e']","['2', '']","['0', '']","['6', '']","['0 - 62', '']","['2', '']","['11', '']","['*', 'e']","['9', '']","['*', 'e']","['*', 'e']","['599 - 682', '']","['2', '']","['0', '']","['1', '']","['*', 'e']","['*', 'e']","['2', '']","['*', 'e']","['0 - 130', '']"
6573,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,260', '']","['87,288', '']","['49', '']","['115', '']","['92', '']","['9,825', '']","['16', '']","['3,793', '']","['2,892', '']","['4', '']","['2,421', '']","['150', '']","['89', '']","['7,327', '']","['63', '']","['96', '']","['37', '']","['285', '']","['1,639', '']","['251', '']","['50', 'i']","['221', '']","['1,439', '']","['128', 'i']","['591', '']","['5', '']","['55', '']"
