table_id,row_id,north_america_full_path,north_america_level_1,north_america_level_2,north_america_hierarchy_depth,field_central_america_and_caribbean,field_south_america,field_european_union,field_other_europe,field_middle_east,field_africa,field_asia,field_australia_and_oceania
9969,r001,Canada,Canada,,1,Antigua and Barbuda,Argentina,EU-27 and United Kingdoma,Albania,Armenia,Algeria,Afghanistan,Australia
9969,r002,Greenland,Greenland,,1,"Bahamas, The",Bolivia,United Kingdom,Andorra,Azerbaijan,Angola,Bangladesh,Cook Islands
9969,r003,Mexico,Mexico,,1,Barbados,Brazil,EU-27b,Belarus,Bahrain,Benin,Bhutan,Fiji
9969,r004,United States,United States,,1,Belize,Chile,Austria,Bosnia and Herzegovina,Gaza Strip,Botswana,Brunei,Kiribati
9969,r005,United States -> Puerto Rico,United States,Puerto Rico,2,Costa Rica,Colombia,Belgium,Holy See (Vatican City),Georgia,Burkina Faso,Burma,Marshall Islands
9969,r006,&nbsp;,&nbsp;,,1,Cuba,Ecuador,Bulgaria,Iceland,Iran,Burundi,Cambodia,"Micronesia, Federated States of"
9969,r007,&nbsp;,&nbsp;,,1,Dominica,Guyana,Croatia,Kosovo,Iraq,Cabo Verde,China,Nauru
9969,r008,&nbsp;,&nbsp;,,1,Dominican Republic,Paraguay,Cyprus,Liechtenstein,Israel,Cameroon,India,New Zealand
9969,r009,&nbsp;,&nbsp;,,1,El Salvador,Peru,Czechia,Moldova,Jordan,Central African Republic,Indonesia,Niue
9969,r010,&nbsp;,&nbsp;,,1,Grenada,Suriname,Denmark,Monaco,Kuwait,Chad,Japan,Palau
9969,r011,&nbsp;,&nbsp;,,1,Guatemala,Uruguay,Estonia,Montenegroc,Lebanon,Comoros,Kazakhstan,Samoa
9969,r012,&nbsp;,&nbsp;,,1,Haiti,Venezuela,Finland,North Macedonia,Oman,"Congo, Democratic Republic of the",Kyrgyzstan,Solomon Islands
9969,r013,&nbsp;,&nbsp;,,1,Honduras,,France,Norway,Qatar,"Congo, Republic of the",Laos,Tonga
9969,r014,&nbsp;,&nbsp;,,1,Jamaica,,Germany,Russia,Saudi Arabia,Côte d’Ivoire,Malaysia,Tuvalu
9969,r015,&nbsp;,&nbsp;,,1,Nicaragua,,Greece,San Marino,Syria,Djibouti,Maldives,Vanuatu
9969,r016,&nbsp;,&nbsp;,,1,Panama,,Hungary,Serbiac,United Arab Emirates,Egypt,Mongolia,
9969,r017,&nbsp;,&nbsp;,,1,Saint Kitts and Nevis,,Ireland,Serbia and Montenegrod,West Bank,Equatorial Guinea,Nepal,
9969,r018,&nbsp;,&nbsp;,,1,Saint Lucia,,Italy,Switzerland,Yemen,Eritrea,North Korea,
9969,r019,&nbsp;,&nbsp;,,1,Saint Vincent and the Grenadines,,Latvia,Turkey,,Eswatini,Pakistan,
9969,r020,&nbsp;,&nbsp;,,1,Trinidad and Tobago,,Lithuania,Ukraine,,Ethiopia,Papua New Guinea,
9969,r021,&nbsp;,&nbsp;,,1,,,Luxembourg,,,Gabon,Philippines,
9969,r022,&nbsp;,&nbsp;,,1,,,Malta,,,"Gambia, The",Singapore,
9969,r023,&nbsp;,&nbsp;,,1,,,Netherlands,,,Ghana,South Korea,
9969,r024,&nbsp;,&nbsp;,,1,,,Poland,,,Guinea,Sri Lanka,
9969,r025,&nbsp;,&nbsp;,,1,,,Portugal,,,Guinea-Bissau,Taiwan,
9969,r026,&nbsp;,&nbsp;,,1,,,Romania,,,Kenya,Tajikistan,
9969,r027,&nbsp;,&nbsp;,,1,,,Slovakia,,,Lesotho,Thailand,
9969,r028,&nbsp;,&nbsp;,,1,,,Slovenia,,,Liberia,Timor-Leste,
9969,r029,&nbsp;,&nbsp;,,1,,,Spain,,,Libya,Turkmenistan,
9969,r030,&nbsp;,&nbsp;,,1,,,Sweden,,,Madagascar,Uzbekistan,
9969,r031,&nbsp;,&nbsp;,,1,,,,,,Malawi,Vietnam,
9969,r032,&nbsp;,&nbsp;,,1,,,,,,Mali,,
9969,r033,&nbsp;,&nbsp;,,1,,,,,,Mauritania,,
9969,r034,&nbsp;,&nbsp;,,1,,,,,,Mauritius,,
9969,r035,&nbsp;,&nbsp;,,1,,,,,,Morocco,,
9969,r036,&nbsp;,&nbsp;,,1,,,,,,Mozambique,,
9969,r037,&nbsp;,&nbsp;,,1,,,,,,Namibia,,
9969,r038,&nbsp;,&nbsp;,,1,,,,,,Niger,,
9969,r039,&nbsp;,&nbsp;,,1,,,,,,Nigeria,,
9969,r040,&nbsp;,&nbsp;,,1,,,,,,Rwanda,,
9969,r041,&nbsp;,&nbsp;,,1,,,,,,São Tomé and Príncipe,,
9969,r042,&nbsp;,&nbsp;,,1,,,,,,Senegal,,
9969,r043,&nbsp;,&nbsp;,,1,,,,,,Seychelles,,
9969,r044,&nbsp;,&nbsp;,,1,,,,,,Sierra Leone,,
9969,r045,&nbsp;,&nbsp;,,1,,,,,,Somalia,,
9969,r046,&nbsp;,&nbsp;,,1,,,,,,South Africa,,
9969,r047,&nbsp;,&nbsp;,,1,,,,,,South Sudan,,
9969,r048,&nbsp;,&nbsp;,,1,,,,,,Sudan,,
9969,r049,&nbsp;,&nbsp;,,1,,,,,,Tanzania,,
9969,r050,&nbsp;,&nbsp;,,1,,,,,,Togo,,
9969,r051,&nbsp;,&nbsp;,,1,,,,,,Tunisia,,
9969,r052,&nbsp;,&nbsp;,,1,,,,,,Uganda,,
9969,r053,&nbsp;,&nbsp;,,1,,,,,,Zambia,,
9969,r054,&nbsp;,&nbsp;,,1,,,,,,Zimbabwe,,
