table_id,row_id,issue_full_path,issue_level_1,issue_level_2,issue_hierarchy_depth,field_1979_n_1_635_,field_1981_n_3_192_,field_1983_n_1_615_,field_1985_n_1_986_,field_1988_n_2_041_,field_1990_n_2_005_,field_1992_n_1_995_,field_1995_n_2_006_,field_1997_n_2_000_,field_1999_n_1_882_,field_2001_n_1_574_,field_2008_n_2_021_,field_2010_n_1_461_,field_2012_n_2_256_,field_2014_n_2_130_,field_2016_n_1_390_,field_2018_n_1_175_
2277,r001,New medical discoveries,New medical discoveries,,1,,,,,,,,,,,,,,,,,
2277,r002,New medical discoveries -> Very interested,New medical discoveries,Very interested,2,na,na,na,68,72,68,66,69,70,68,65,58,60,58,59,60,56
2277,r003,New medical discoveries -> Moderately interested,New medical discoveries,Moderately interested,2,na,na,na,29,25,29,31,27,26,28,32,36,35,36,36,35,39
2277,r004,New medical discoveries -> Not at all interested,New medical discoveries,Not at all interested,2,na,na,na,3,3,3,3,4,4,4,4,6,5,5,5,5,5
2277,r005,New medical discoveries -> Don't know or refused to answer,New medical discoveries,Don't know or refused to answer,2,na,na,na,0,0.05,0,0.05,0.05,0.05,0.05,0,1,1,1,0.05,0.05,0.05
2277,r006,Local school issues,Local school issues,,1,,,,,,,,,,,,,,,,,
2277,r007,Local school issues -> Very interested,Local school issues,Very interested,2,38,46,46,47,51,50,54,57,58,54,59,46,54,51,50,44,50
2277,r008,Local school issues -> Moderately interested,Local school issues,Moderately interested,2,37,36,36,39,33,34,35,31,30,34,31,40,36,37,38,43,38
2277,r009,Local school issues -> Not at all interested,Local school issues,Not at all interested,2,25,18,18,14,15,16,12,12,11,12,10,15,9,11,12,13,12
2277,r010,Local school issues -> Don't know or refused to answer,Local school issues,Don't know or refused to answer,2,0.05,0.05,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0.05,0.05,1,1,0.05,0.05,0.05
2277,r011,Environmental pollution,Environmental pollution,,1,,,,,,,,,,,,,,,,,
