table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_level_5,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_primary_work_activity_computer_applications,field_primary_work_activity_management_and_administrationa,field_primary_work_activity_research_and_developmentb,field_primary_work_activity_teaching,field_primary_work_activity_otherc
6846,r001,All degree levels,All degree levels,,,,,1,48223000,2477000,21389000,4883000,7118000,12356000
6846,r002,All degree levels -> S&E occupations,All degree levels,S&E occupations,,,,2,6769000,1777000,1426000,2241000,435000,890000
6846,r003,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",,,3,610000,9000,81000,394000,52000,76000
6846,r004,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Agricultural and food scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Agricultural and food scientists,,4,41000,,9000,27000,S,5000
6846,r005,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Biological and medical scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Biological and medical scientists,,4,455000,6000,55000,326000,3000,65000
6846,r006,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Environmental life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Environmental life scientists,,4,27000,S,10000,10000,0.05,4000
6846,r007,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers - life and related sciences",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",Postsecondary teachers - life and related sciences,,4,87000,,7000,31000,47000,2000
6846,r008,All degree levels -> S&E occupations -> Computer and mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,,,3,3419000,1668000,629000,677000,143000,303000
6846,r009,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,All degree levels,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,4,3096000,1628000,580000,556000,48000,282000
6846,r010,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,Mathematical scientists,,4,209000,38000,43000,104000,,19000
6846,r011,All degree levels -> S&E occupations -> Computer and mathematical scientists -> Postsecondary teachers - computer and math sciences,All degree levels,S&E occupations,Computer and mathematical scientists,Postsecondary teachers - computer and math sciences,,4,114000,S,5000,16000,91000,1000
6846,r012,All degree levels -> S&E occupations -> Physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,,,3,366000,4000,52000,191000,60000,59000
6846,r013,"All degree levels -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All degree levels,S&E occupations,Physical and related scientists,"Chemists, except biochemists",,4,109000,,18000,65000,,26000
6846,r014,"All degree levels -> S&E occupations -> Physical and related scientists -> Earth scientists, geologists and oceanographers",All degree levels,S&E occupations,Physical and related scientists,"Earth scientists, geologists and oceanographers",,4,69000,2000,11000,43000,,14000
6846,r015,All degree levels -> S&E occupations -> Physical and related scientists -> Physicists and astronomers,All degree levels,S&E occupations,Physical and related scientists,Physicists and astronomers,,4,42000,2000,3000,34000,,3000
6846,r016,All degree levels -> S&E occupations -> Physical and related scientists -> Other physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,Other physical and related scientists,,4,65000,,16000,33000,,15000
6846,r017,All degree levels -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All degree levels,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,,4,81000,,4000,17000,60000,
6846,r018,All degree levels -> S&E occupations -> Social and related scientists,All degree levels,S&E occupations,Social and related scientists,,,3,646000,4000,117000,174000,134000,217000
6846,r019,All degree levels -> S&E occupations -> Social and related scientists -> Economists,All degree levels,S&E occupations,Social and related scientists,Economists,,4,47000,1000,3000,33000,,10000
6846,r020,All degree levels -> S&E occupations -> Social and related scientists -> Political scientists,All degree levels,S&E occupations,Social and related scientists,Political scientists,,4,33000,,12000,9000,,10000
6846,r021,All degree levels -> S&E occupations -> Social and related scientists -> Psychologists,All degree levels,S&E occupations,Social and related scientists,Psychologists,,4,199000,,10000,28000,3000,157000
6846,r022,All degree levels -> S&E occupations -> Social and related scientists -> Sociologists and anthropologists,All degree levels,S&E occupations,Social and related scientists,Sociologists and anthropologists,,4,24000,,4000,14000,,5000
6846,r023,All degree levels -> S&E occupations -> Social and related scientists -> Other social and related scientists,All degree levels,S&E occupations,Social and related scientists,Other social and related scientists,,4,159000,S,77000,61000,,19000
6846,r024,All degree levels -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All degree levels,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,,4,183000,,9000,30000,128000,S
6846,r025,All degree levels -> S&E occupations -> Engineers,All degree levels,S&E occupations,Engineers,,,3,1728000,93000,549000,804000,46000,236000
6846,r026,"All degree levels -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All degree levels,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",,4,132000,14000,35000,64000,,17000
6846,r027,All degree levels -> S&E occupations -> Engineers -> Chemical engineers,All degree levels,S&E occupations,Engineers,Chemical engineers,,4,93000,2000,19000,53000,S,16000
6846,r028,"All degree levels -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All degree levels,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",,4,264000,5000,115000,105000,,37000
6846,r029,All degree levels -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All degree levels,S&E occupations,Engineers,Electrical and computer hardware engineers,,4,374000,51000,70000,205000,S,48000
6846,r030,All degree levels -> S&E occupations -> Engineers -> Industrial engineers,All degree levels,S&E occupations,Engineers,Industrial engineers,,4,88000,1000,43000,31000,,13000
6846,r031,All degree levels -> S&E occupations -> Engineers -> Mechanical engineers,All degree levels,S&E occupations,Engineers,Mechanical engineers,,4,313000,6000,79000,190000,,38000
6846,r032,All degree levels -> S&E occupations -> Engineers -> Other engineers,All degree levels,S&E occupations,Engineers,Other engineers,,4,406000,14000,184000,141000,S,65000
6846,r033,All degree levels -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All degree levels,S&E occupations,Engineers,Postsecondary teachers - engineering,,4,59000,,5000,17000,37000,
6846,r034,All degree levels -> S&E-related occupations,All degree levels,S&E-related occupations,,,,2,8271000,268000,1541000,686000,1201000,4575000
6846,r035,All degree levels -> S&E-related occupations -> Health-related occupations,All degree levels,S&E-related occupations,Health-related occupations,,,3,5181000,21000,551000,223000,284000,4102000
