table_id,row_id,type_of_employee_full_path,type_of_employee_level_1,type_of_employee_level_2,type_of_employee_hierarchy_depth,field_total_employees_ftes_
7274,r001,Total ,Total ,,1,87010
7274,r002,Total  -> Researchers,Total ,Researchers,2,32475
7274,r003,Total  -> Technicians and other personnel,Total ,Technicians and other personnel,2,52402
