table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_fy_2022_basic_research,field_fy_2022_applied_research,field_fy_2023_preliminary_basic_research,field_fy_2023_preliminary_applied_research
10914,r001,All agencies ,All agencies ,,1,45.4,48.4,48.5,51.0
10914,r002,All agencies  -> Department of Agriculture ,All agencies ,Department of Agriculture ,2,1.4,1.4,1.6,1.6
10914,r003,All agencies  -> Department of Defense ,All agencies ,Department of Defense ,2,3.1,7.0,3.5,8.4
10914,r004,All agencies  -> Department of Energy ,All agencies ,Department of Energy ,2,6.1,5.0,6.5,5.8
10914,r005,All agencies  -> Department of Health and Human Services ,All agencies ,Department of Health and Human Services ,2,22.4,25.9,23.8,25.4
10914,r006,All agencies  -> National Aeronautics and Space Administration ,All agencies ,National Aeronautics and Space Administration ,2,5.1,2.2,5.1,1.7
10914,r007,All agencies  -> National Science Foundation ,All agencies ,National Science Foundation ,2,5.9,1.0,6.4,1.5
10914,r008,All agencies  -> All other agencies,All agencies ,All other agencies,2,1.4,5.8,1.5,6.6
