table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_received_as_a_subrecipient_total,field_received_as_a_subrecipient_federally_financed,field_received_as_a_subrecipient_nonfederally_financed,field_passed_through_to_subrecipients_total,field_passed_through_to_subrecipients_federally_financed,field_passed_through_to_subrecipients_nonfederally_financed
5382,r001,United States,United States,,,,1,"['17,819', '']","['15,574', '']","['2,245', '']","['2,158', '']","['1,778', '']","['380', '']"
5382,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r004,"United States -> Alabama -> Public -> Auburn U., Montgomery",United States,Alabama,Public,"Auburn U., Montgomery",4,"['32', '']","['32', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r005,United States -> Alabama -> Public -> U. West Alabama,United States,Alabama,Public,U. West Alabama,4,"['56', '']","['56', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r006,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r007,"United States -> Alabama -> Private -> Alabama C., Osteopathic Medicine",United States,Alabama,Private,"Alabama C., Osteopathic Medicine",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r008,United States -> Alabama -> Private -> Oakwood U.,United States,Alabama,Private,Oakwood U.,4,"['112', '']","['112', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r009,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r010,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r011,United States -> Arkansas -> Public -> Arkansas Tech U.,United States,Arkansas,Public,Arkansas Tech U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r012,United States -> Arkansas -> Public -> Southern Arkansas U.,United States,Arkansas,Public,Southern Arkansas U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r013,United States -> Arkansas -> Private,United States,Arkansas,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r014,United States -> Arkansas -> Private -> Arkansas C. of Health Education,United States,Arkansas,Private,Arkansas C. of Health Education,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r015,United States -> Arkansas -> Private -> Hendrix C.,United States,Arkansas,Private,Hendrix C.,4,"['230', '']","['230', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r016,United States -> Arkansas -> Private -> Ouachita Baptist U.,United States,Arkansas,Private,Ouachita Baptist U.,4,"['157', 'i']","['157', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
5382,r017,United States -> Arkansas -> Private -> Philander Smith C.,United States,Arkansas,Private,Philander Smith C.,4,"['40', 'i']","['40', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
5382,r018,United States -> California,United States,California,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r019,United States -> California -> Private,United States,California,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
5382,r020,United States -> California -> Private -> Claremont School of Theology,United States,California,Private,Claremont School of Theology,4,"['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
5382,r021,United States -> California -> Private -> Dominican U. California,United States,California,Private,Dominican U. California,4,"['45', 'i']","['45', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
5382,r022,United States -> California -> Private -> Fielding Graduate U.,United States,California,Private,Fielding Graduate U.,4,"['0', '']","['0', '']","['0', '']","['56', '']","['56', '']","['0', '']"
5382,r023,United States -> California -> Private -> International Technological U.,United States,California,Private,International Technological U.,4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5382,r024,United States -> California -> Private -> Palo Alto U.,United States,California,Private,Palo Alto U.,4,"['179', '']","['179', '']","['0', '']","['0', '']","['0', '']","['0', '']"
