table_id,row_id,_b_origin_of_doctoral_degree_b_full_path,_b_origin_of_doctoral_degree_b_level_1,_b_origin_of_doctoral_degree_b_level_2,_b_origin_of_doctoral_degree_b_hierarchy_depth,field_imputation_rate_,field_number_imputed
3450,r001,All postdoctoral appointees,All postdoctoral appointees,,1,4.5,2986
3450,r002,All postdoctoral appointees -> United States,All postdoctoral appointees,United States,2,6.2,1471
3450,r003,All postdoctoral appointees -> Foreign country,All postdoctoral appointees,Foreign country,2,5.6,1183
3450,r004,All postdoctoral appointees -> Unknown origin,All postdoctoral appointees,Unknown origin,2,11.2,2398
