table_id,row_id,time_period,actual_residency_in_2017_level_1,actual_residency_in_2017_level_2,actual_residency_in_2017_hierarchy_depth,value
4555,r001_1,Abroad,Actual residency in 2017,Abroad,2,77
4555,r001_2,Abroad,Actual residency in 2017,United States,2,23
4555,r002_1,United States,Actual residency in 2017,Abroad,2,13
4555,r002_2,United States,Actual residency in 2017,United States,2,87
4555,r003_1,Total,Actual residency in 2017,Abroad,2,28
4555,r003_2,Total,Actual residency in 2017,United States,2,72
