table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total,field_dhs,field_dod,field_doe,field_nasa,field_nsf
10813,r001,All FFRDCs,All FFRDCs,,,1,3436961,10096,50538,3368327,8000,0.05
10813,r002,All FFRDCs -> Administered by industrial firms,All FFRDCs,Administered by industrial firms,,2,686135,0,0,686135,0,0
10813,r003,All FFRDCs -> Administered by industrial firms -> Idaho National Laboratory,All FFRDCs,Administered by industrial firms,Idaho National Laboratory,3,348252,0,0,348252,0,0
10813,r004,All FFRDCs -> Administered by industrial firms -> Lawrence Livermore National Laboratory,All FFRDCs,Administered by industrial firms,Lawrence Livermore National Laboratory,3,216367,0,0,216367,0,0
10813,r005,All FFRDCs -> Administered by industrial firms -> Los Alamos National Laboratory,All FFRDCs,Administered by industrial firms,Los Alamos National Laboratory,3,77458,0,0,77458,0,0
10813,r006,All FFRDCs -> Administered by industrial firms -> Sandia National Laboratories,All FFRDCs,Administered by industrial firms,Sandia National Laboratories,3,39081,0,0,39081,0,0
10813,r007,All FFRDCs -> Administered by industrial firms -> Savannah River National Laboratory,All FFRDCs,Administered by industrial firms,Savannah River National Laboratory,3,4977,0,0,4977,0,0
10813,r008,All FFRDCs -> Administered by universities and colleges<sup>a</sup>,All FFRDCs,Administered by universities and colleges<sup>a</sup>,,2,1499111,0,50538,1440572,8000,0.05
10813,r009,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Ames Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Ames Laboratory,3,29418,0,0,29418,0,0
10813,r010,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Argonne National Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Argonne National Laboratory,3,125703,0,0,125703,0,0
10813,r011,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Fermi National Accelerator Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Fermi National Accelerator Laboratory,3,551747,0,0,551747,0,0
10813,r012,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Jet Propulsion Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Jet Propulsion Laboratory,3,8000,0,0,0,8000,0
10813,r013,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Lawrence Berkeley National Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Lawrence Berkeley National Laboratory,3,307434,0,0,307434,0,0
10813,r014,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Lincoln Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Lincoln Laboratory,3,50538,0,50538,0,0,0
10813,r015,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> NSF's National Optical-Infrared Astronomy Research Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,NSF's National Optical-Infrared Astronomy Research Laboratory,3,0.05,0,0,0,0,0.05
10813,r016,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Princeton Plasma Physics Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Princeton Plasma Physics Laboratory,3,51074,0,0,51074,0,0
10813,r017,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> SLAC National Accelerator Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,SLAC National Accelerator Laboratory,3,271209,0,0,271209,0,0
10813,r018,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Thomas Jefferson National Accelerator Facility,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Thomas Jefferson National Accelerator Facility,3,103988,0,0,103988,0,0
10813,r019,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup>,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,,2,1251715,10096,0,1241619,0,0
10813,r020,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Aerospace FFRDC,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Aerospace FFRDC,3,242,0,0,242,0,0
10813,r021,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Brookhaven National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Brookhaven National Laboratory,3,351013,0,0,351013,0,0
10813,r022,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Homeland Security Operational Analysis Center,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Homeland Security Operational Analysis Center,3,5076,5076,0,0,0,0
10813,r023,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Homeland Security Systems Engineering and Development Institute,3,5019,5019,0,0,0,0
10813,r024,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> National Renewable Energy Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,National Renewable Energy Laboratory,3,48601,0,0,48601,0,0
10813,r025,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Oak Ridge National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Oak Ridge National Laboratory,3,812805,0,0,812805,0,0
10813,r026,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Pacific Northwest National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Pacific Northwest National Laboratory,3,28958,0,0,28958,0,0
