table_id,row_id,rank,baccalaureate_origin_institution,s_e_doctorate_recipients,institutional_control,2018_carnegie_classification
6009,r001,,All institutions,440214,na,na
6009,r002,,Foreign institutions,156656,na,na
6009,r003,,Unknown institutions,31054,na,na
6009,r004,1,"U. California, Berkeley",4586,Public,R1: doctoral universities
6009,r005,2,Cornell U.,3262,Private,R1: doctoral universities
6009,r006,3,"U. Michigan, Ann Arbor",3106,Public,R1: doctoral universities
6009,r007,4,U. Wisconsin-Madison,2748,Public,R1: doctoral universities
6009,r008,5,"U. Illinois, Urbana-Champaign",2634,Public,R1: doctoral universities
6009,r009,6,U. Florida,2614,Public,R1: doctoral universities
6009,r010,7,"U. California, Los Angeles",2517,Public,R1: doctoral universities
6009,r011,8,"Pennsylvania State U., University Park and Hershey Medical Center",2404,Public,R1: doctoral universities
6009,r012,9,"U. Texas, Austin",2328,Public,R1: doctoral universities
6009,r013,10,Massachusetts Institute of Technology,2309,Private,R1: doctoral universities
6009,r014,11,"U. California, San Diego",2259,Public,R1: doctoral universities
6009,r015,12,"Brigham Young U., Provo",2177,Private,R2: doctoral universities
6009,r016,13,"U. California, Davis",2119,Public,R1: doctoral universities
6009,r017,14,"U. Washington, Seattle",2000,Public,R1: doctoral universities
6009,r018,15,"U. Maryland, College Park",1916,Public,R1: doctoral universities
6009,r019,16,Harvard U.,1864,Private,R1: doctoral universities
6009,r020,17,"U. Minnesota, Twin Cities",1816,Public,R1: doctoral universities
6009,r021,18,"Ohio State U., Columbus",1796,Public,R1: doctoral universities
6009,r022,19,"Purdue U., West Lafayette",1783,Public,R1: doctoral universities
6009,r023,20,"Texas A&M U., College Station and Health Science Center",1748,Public,R1: doctoral universities
6009,r024,21,Stanford U.,1716,Private,R1: doctoral universities
6009,r025,22,Michigan State U.,1686,Public,R1: doctoral universities
6009,r026,23,"U. Virginia, Charlottesville",1622,Public,R1: doctoral universities
6009,r027,24,"U. North Carolina, Chapel Hill",1564,Public,R1: doctoral universities
6009,r028,25,Virginia Polytechnic Institute and State U.,1559,Public,R1: doctoral universities
6009,r029,26,U. Arizona,1530,Public,R1: doctoral universities
6009,r030,27,"Rutgers, State U. New Jersey, New Brunswick",1500,Public,R1: doctoral universities
6009,r031,28,U. Chicago,1462,Private,R1: doctoral universities
6009,r032,29,North Carolina State U.,1460,Public,R1: doctoral universities
6009,r033,30,Georgia Institute of Technology,1459,Public,R1: doctoral universities
6009,r034,31,U. Pennsylvania,1447,Private,R1: doctoral universities
6009,r035,32,Brown U.,1391,Private,R1: doctoral universities
6009,r036,33,U. Colorado Boulder,1382,Public,R1: doctoral universities
6009,r037,34,Boston U.,1353,Private,R1: doctoral universities
6009,r038,34,Princeton U.,1353,Private,R1: doctoral universities
6009,r039,36,Duke U.,1336,Private,R1: doctoral universities
6009,r040,37,"U. California, Santa Barbara",1282,Public,R1: doctoral universities
6009,r041,38,"U. California, Irvine",1264,Public,R1: doctoral universities
6009,r042,39,Columbia U. in the City of New York,1248,Private,R1: doctoral universities
6009,r043,40,Arizona State U.,1229,Public,R1: doctoral universities
6009,r044,41,Yale U.,1226,Private,R1: doctoral universities
6009,r045,42,Johns Hopkins U.,1221,Private,R1: doctoral universities
6009,r046,43,"U. Pittsburgh, Pittsburgh",1191,Public,R1: doctoral universities
6009,r047,44,"Washington U., St. Louis",1168,Private,R1: doctoral universities
6009,r048,45,Iowa State U.,1167,Public,R1: doctoral universities
6009,r049,46,"U. California, Santa Cruz",1152,Public,R1: doctoral universities
6009,r050,47,Northwestern U.,1148,Private,R1: doctoral universities
6009,r051,48,Carnegie Mellon U.,1123,Private,R1: doctoral universities
6009,r052,49,U. Rochester,1103,Private,R1: doctoral universities
6009,r053,50,U. Georgia,1102,Public,R1: doctoral universities
