table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
5414,r001,All HBCUs,All HBCUs,,1,-,"['501,742', '']","['15,550', '']","['22,639', '']","['282,862', '']","['7,092', '']","['53,679', '']","['4,151', '']","['16,432', '']","['4,375', '']","['61,985', '']","['32,977', '']"
5414,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['44,933', '']","['1,523', '']","['225', '']","['25,750', '']","['230', '']","['5,308', '']","['1,878', '']","['827', '']","['0', '']","['8,336', '']","['856', '']"
5414,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['41,319', '']","['102', '']","['5,844', '']","['21,450', '']","['0', '']","['1,410', '']","['242', '']","['21', '']","['329', '']","['4,796', '']","['7,125', '']"
5414,r004,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,3,"['36,151', '']","['1,742', '']","['31', '']","['16,663', '']","['818', '']","['1,638', '']","['30', '']","['67', '']","['0', '']","['10,393', '']","['4,769', '']"
5414,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['29,813', '']","['0', '']","['0', '']","['29,813', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5414,r006,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,5,"['23,876', 'i']","['1', 'i']","['654', 'i']","['14,314', 'i']","['865', 'i']","['4,461', 'i']","['1', 'i']","['176', 'i']","['549', 'i']","['2,332', 'i']","['523', 'i']"
5414,r007,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,6,"['20,973', '']","['409', '']","['0', '']","['8,145', '']","['1,240', '']","['166', '']","['0', '']","['4,907', '']","['184', '']","['5,922', '']","['0', '']"
5414,r008,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,7,"['18,723', '']","['292', '']","['62', '']","['8,280', '']","['145', '']","['1,353', '']","['536', '']","['213', '']","['0', '']","['5,222', '']","['2,620', '']"
5414,r009,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,8,"['17,193', '']","['520', '']","['3,384', '']","['5,061', '']","['134', '']","['411', '']","['83', '']","['98', '']","['0', '']","['7,228', '']","['274', '']"
5414,r010,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,9,"['15,833', '']","['28', '']","['321', '']","['7,233', '']","['0', '']","['3,027', '']","['0', '']","['415', '']","['0', '']","['2,675', '']","['2,134', '']"
