table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2020,field_2021,field_2022,field_2023
12731,r268,Pennsylvania -> Private,Pennsylvania,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r269,Pennsylvania -> Private -> Allegheny C.,Pennsylvania,Private,Allegheny C.,3,"['449', '']","['ne', '']","['ne', '']","['532', '']"
12731,r270,Pennsylvania -> Private -> American C. of Financial Services,Pennsylvania,Private,American C. of Financial Services,3,"['ne', '']","['ne', '']","['338', '']","['376', '']"
12731,r271,Pennsylvania -> Private -> Bryn Athyn C.,Pennsylvania,Private,Bryn Athyn C.,3,"['432', '']","['316', '']","['317', '']","['361', 'i']"
12731,r272,Pennsylvania -> Private -> Delaware Valley U.,Pennsylvania,Private,Delaware Valley U.,3,"['ne', '']","['182', '']","['265', '']","['183', '']"
12731,r273,Pennsylvania -> Private -> Dickinson C.,Pennsylvania,Private,Dickinson C.,3,"['929', '']","['767', '']","['798', '']","['1,584', '']"
12731,r274,Pennsylvania -> Private -> Gannon U.,Pennsylvania,Private,Gannon U.,3,"['351', '']","['972', '']","['569', '']","['889', '']"
12731,r275,Pennsylvania -> Private -> Geisinger Commonwealth School of Medicine,Pennsylvania,Private,Geisinger Commonwealth School of Medicine,3,"['150', 'i']","['ne', '']","['ne', '']","['500', '']"
12731,r276,Pennsylvania -> Private -> Juniata C.,Pennsylvania,Private,Juniata C.,3,"['937', '']","['380', '']","['545', '']","['1,177', '']"
12731,r277,Pennsylvania -> Private -> La Salle U.,Pennsylvania,Private,La Salle U.,3,"['818', '']","['829', '']","['917', '']","['1,045', 'i']"
12731,r278,Pennsylvania -> Private -> Lake Erie C. of Osteopathic Medicine,Pennsylvania,Private,Lake Erie C. of Osteopathic Medicine,3,"['472', '']","['502', '']","['484', '']","['517', '']"
12731,r279,Pennsylvania -> Private -> Mercyhurst U.,Pennsylvania,Private,Mercyhurst U.,3,"['1,177', 'i']","['920', 'i']","['661', '']","['734', 'i']"
12731,r280,Pennsylvania -> Private -> Moravian U.,Pennsylvania,Private,Moravian U.,3,"['309', '']","['255', '']","['386', '']","['516', '']"
12731,r281,Pennsylvania -> Private -> Muhlenberg C.,Pennsylvania,Private,Muhlenberg C.,3,"['398', '']","['288', '']","['447', '']","['509', 'i']"
12731,r282,Pennsylvania -> Private -> Saint Francis U.,Pennsylvania,Private,Saint Francis U.,3,"['878', '']","['872', '']","['533', '']","['592', 'i']"
12731,r283,Pennsylvania -> Private -> Salus U.,Pennsylvania,Private,Salus U.,3,"['650', '']","['677', '']","['680', '']","['663', '']"
12731,r284,Pennsylvania -> Private -> Susquehanna U.,Pennsylvania,Private,Susquehanna U.,3,"['496', '']","['360', '']","['333', '']","['499', '']"
12731,r285,"Pennsylvania -> Private -> Widener U., Chester",Pennsylvania,Private,"Widener U., Chester",3,"['586', '']","['417', '']","['600', '']","['804', '']"
12731,r286,Pennsylvania -> Private -> Wilkes U.,Pennsylvania,Private,Wilkes U.,3,"['968', '']","['372', '']","['423', '']","['682', '']"
12731,r287,Rhode Island,Rhode Island,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r288,Rhode Island -> Private,Rhode Island,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r289,Rhode Island -> Private -> Rhode Island School of Design,Rhode Island,Private,Rhode Island School of Design,3,"['3,918', 'i']","['4,499', 'i']","['5,080', 'i']","['5,661', '']"
12731,r290,Rhode Island -> Private -> Salve Regina U.,Rhode Island,Private,Salve Regina U.,3,"['591', '']","['624', '']","['813', '']","['732', '']"
12731,r291,South Carolina,South Carolina,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r292,South Carolina -> Public,South Carolina,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r293,South Carolina -> Public -> Francis Marion U.,South Carolina,Public,Francis Marion U.,3,"['216', '']","['207', '']","['402', '']","['308', '']"
12731,r294,South Carolina -> Public -> U. South Carolina Upstate,South Carolina,Public,U. South Carolina Upstate,3,"['437', '']","['496', '']","['594', '']","['2,554', '']"
12731,r295,South Carolina -> Private,South Carolina,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r296,South Carolina -> Private -> Coker U.,South Carolina,Private,Coker U.,3,"['485', '']","['ne', '']","['ne', '']","['398', '']"
12731,r297,South Carolina -> Private -> Converse U.,South Carolina,Private,Converse U.,3,"['185', '']","['294', '']","['254', '']","['205', '']"
