table_id,row_id,rank,country,region,number_of_papers_whole_,number_of_papers_fractional_,papers_involving_multiple_institutions_whole_,papers_involving_only_domestic_institutions_whole_,papers_involving_international_institutions_whole_
4960,r001,0,World,World,58627,58627.0,43491,44333,12862
4960,r002,1,United States,North America,15738,12199.6,12333,9879,5523
4960,r003,2,China,Asia,8756,7529.1,7099,6213,2381
4960,r004,3,UK ,EU-27 and UKa,5709,3518.6,4543,2508,3120
4960,r005,4,Italy,EU-27 and UKa,5325,4070.7,4597,3067,2084
4960,r006,5,India,Asia,4168,3528.0,2995,2970,1153
4960,r007,6,Spain,EU-27 and UKa,2697,1930.9,2207,1477,1099
4960,r008,7,Germany,EU-27 and UKa,2631,1673.4,2145,1222,1378
4960,r009,8,Canada,North America,2511,1426.4,2175,967,1511
4960,r010,9,France,EU-27 and UKa,2286,1542.6,1897,1146,1052
4960,r011,10,Brazil,South America,2060,1634.6,1685,1343,690
4960,r012,11,Australia,Australia and Oceania,2040,1139.8,1763,757,1262
4960,r013,12,Iran,Middle East,1480,1227.9,1339,946,521
4960,r014,13,Turkey,Other Europe,1227,968.4,942,842,377
4960,r015,14,Russia,Other Europe,1189,975.2,834,867,311
4960,r016,15,Switzerland,Other Europe,1174,542.6,1037,311,854
4960,r017,16,Netherlands,EU-27 and UKa,1106,512.6,1007,298,787
4960,r018,17,Saudi Arabia,Middle East,1073,628.1,927,342,724
4960,r019,18,Japan,Asia,1021,698.9,847,560,455
4960,r020,19,South Korea,Asia,955,708.4,809,570,368
4960,r021,20,Belgium,EU-27 and UKa,770,357.3,702,210,554
4960,r022,20,Singapore,Asia,770,446.2,667,313,415
4960,r023,22,Mexico,North America,752,529.3,609,407,334
4960,r024,23,Indonesia,Asia,692,591.6,474,520,154
4960,r025,24,Poland,EU-27 and UKa,669,458.7,520,380,286
4960,r026,24,Sweden,EU-27 and UKa,669,279.9,599,155,505
4960,r027,26,Pakistan,Asia,663,440.4,549,271,383
4960,r028,27,South Africa,Africa,653,364.3,523,256,387
4960,r029,28,Egypt,Africa,578,318.1,504,191,385
4960,r030,29,Taiwan,Asia,558,370.8,518,278,273
4960,r031,30,Israel,Middle East,534,338.4,463,263,269
4960,r032,30,Greece,EU-27 and UKa,534,305.7,454,203,327
4960,r033,32,Portugal,EU-27 and UKa,533,299.5,455,226,303
4960,r034,33,Austria,EU-27 and UKa,508,220.4,457,122,382
4960,r035,34,Ireland,EU-27 and UKa,496,278.5,398,209,282
4960,r036,34,Malaysia,Asia,496,296.4,427,198,293
4960,r037,36,Denmark,EU-27 and UKa,436,175.5,404,93,333
4960,r038,37,Colombia,South America,422,259.9,362,188,231
4960,r039,38,Norway,Other Europe,375,197.7,316,139,232
4960,r040,39,Chile,South America,359,205.9,323,144,206
4960,r041,40,Bangladesh,Asia,357,231.2,303,129,228
4960,r042,41,Romania,EU-27 and UKa,341,226.5,260,185,154
4960,r043,42,Argentina,South America,330,188.4,271,137,191
4960,r044,43,United Arab Emirates,Middle East,329,187.7,274,108,220
4960,r045,44,New Zealand,Australia and Oceania,317,160.4,264,102,211
4960,r046,45,Nigeria,Africa,311,212.0,265,139,170
4960,r047,46,Thailand,Asia,281,149.6,250,97,184
4960,r048,47,Czechia,EU-27 and UKa,273,170.9,210,128,141
4960,r049,48,Peru,South America,241,147.0,210,100,141
4960,r050,49,Finland,EU-27 and UKa,239,94.5,215,51,188
4960,r051,50,Vietnam,Asia,236,118.7,218,49,187
4960,r052,51,Jordan,Middle East,209,121.9,182,77,132
4960,r053,52,Morocco,Africa,207,171.0,144,151,55
4960,r054,53,Hungary,EU-27 and UKa,203,125.7,164,94,109
4960,r055,54,Nepal,Asia,199,127.3,169,95,103
4960,r056,55,Qatar,Middle East,195,116.3,168,76,119
4960,r057,56,Croatia,EU-27 and UKa,193,135.0,131,114,78
4960,r058,57,Ecuador,South America,180,114.7,150,71,105
4960,r059,58,Lebanon,Middle East,174,101.8,150,63,107
4960,r060,59,Philippines,Asia,170,110.4,124,84,85
4960,r061,60,Iraq,Middle East,145,93.2,121,67,78
4960,r062,60,Ethiopia,Africa,145,114.1,113,96,49
4960,r063,62,Cuba,Central America and Caribbean,144,127.3,97,117,26
4960,r064,63,Ukraine,Other Europe,137,95.2,106,70,67
4960,r065,64,Slovenia,EU-27 and UKa,134,78.9,96,67,67
4960,r066,65,Kenya,Africa,127,53.8,114,25,102
4960,r067,66,Serbia,Other Europe,122,72.9,92,52,67
4960,r068,67,Ghana,Africa,118,73.6,105,49,66
4960,r069,68,Slovakia,EU-27 and UKa,115,80.4,81,60,54
4960,r070,69,Tunisia,Africa,107,60.3,95,39,66
4960,r071,70,Kuwait,Middle East,102,50.6,90,27,75
4960,r072,71,Cyprus,EU-27 and UKa,97,40.7,80,24,73
4960,r073,72,Oman,Middle East,93,45.2,80,25,67
4960,r074,73,Bulgaria,EU-27 and UKa,79,57.3,58,53,26
4960,r075,74,Uganda,Africa,73,29.1,66,14,59
4960,r076,75,Sri Lanka,Asia,65,44.5,54,31,34
4960,r077,76,Algeria,Africa,62,34.8,52,22,40
4960,r078,77,Venezuela,South America,59,29.6,53,14,45
4960,r079,77,Malta,EU-27 and UKa,59,41.7,39,36,22
4960,r080,77,Bahrain,Middle East,59,39.6,44,28,30
4960,r081,80,Luxembourg,EU-27 and UKa,51,18.3,46,6,45
4960,r082,81,Estonia,EU-27 and UKa,50,19.2,43,10,40
4960,r083,82,Uruguay,South America,47,14.7,44,8,39
4960,r084,82,Kazakhstan,Asia,47,29.6,41,20,26
4960,r085,84,Cameroon,Africa,46,18.9,42,12,34
4960,r086,84,Sudan,Africa,46,16.0,43,6,40
4960,r087,84,Lithuania,EU-27 and UKa,46,14.0,39,9,37
4960,r088,87,Zimbabwe,Africa,41,19.9,34,9,32
4960,r089,88,Bosnia and Herzegovina,Other Europe,38,20.3,34,16,22
4960,r090,89,Tanzania,Africa,36,13.6,33,8,28
4960,r091,89,Costa Rica,Central America and Caribbean,36,12.0,29,7,29
4960,r092,91,Georgia,Middle East,35,12.1,30,6,26
4960,r093,92,Puerto Rico,Central America and Caribbean,34,8.1,34,0,33
4960,r094,93,Yemen,Middle East,30,9.9,29,3,26
4960,r095,94,"Congo, Democratic Republic of the",Africa,29,13.0,28,3,25
4960,r096,94,Brunei,Asia,29,18.2,27,8,20
4960,r097,96,Senegal,Africa,28,12.1,25,6,21
4960,r098,96,Bolivia,South America,28,7.9,27,1,27
4960,r099,98,Latvia,EU-27 and UKa,27,14.2,19,10,17
4960,r100,99,Zambia,Africa,25,10.0,22,7,18
4960,r101,99,Libya,Africa,25,12.5,25,10,15
4960,r102,99,Mozambique,Africa,25,3.9,25,0,25
4960,r103,102,Iceland,Other Europe,24,11.9,22,9,15
4960,r104,102,Belarus,Other Europe,24,14.9,14,13,11
4960,r105,102,Paraguay,South America,24,8.5,24,4,20
4960,r106,105,West Bank,Middle East,23,8.6,20,5,17
4960,r107,106,Jamaica,Central America and Caribbean,22,10.2,17,7,15
4960,r108,107,Honduras,Central America and Caribbean,21,9.7,16,7,14
4960,r109,107,Rwanda,Africa,21,6.6,21,1,19
4960,r110,107,Panama,Central America and Caribbean,21,7.3,20,4,17
4960,r111,110,Guatemala,Central America and Caribbean,19,3.0,19,0,19
4960,r112,111,Malawi,Africa,18,5.5,18,2,16
4960,r113,111,Albania,Other Europe,18,7.1,16,4,13
4960,r114,111,Gaza Strip,Middle East,18,7.6,14,4,13
4960,r115,111,Trinidad and Tobago,Central America and Caribbean,18,8.8,16,4,13
4960,r116,111,Syria,Middle East,18,9.6,15,6,12
4960,r117,116,Azerbaijan,Middle East,16,5.6,12,4,12
4960,r118,116,North Macedonia,Other Europe,16,3.8,15,1,15
4960,r119,118,Botswana,Africa,15,4.9,13,3,12
4960,r120,119,Barbados,Central America and Caribbean,14,5.0,12,2,12
4960,r121,119,Burkina Faso,Africa,14,6.4,13,3,11
4960,r122,119,Mali,Africa,14,4.2,14,1,13
4960,r123,119,Uzbekistan,Asia,14,9.8,9,8,6
4960,r124,123,"Congo, Republic of the",Africa,13,3.5,13,0,13
4960,r125,123,Burma,Asia,13,3.5,13,1,12
4960,r126,125,Montenegro,Other Europe,12,7.5,9,6,6
4960,r127,125,"Gambia, The",Africa,12,3.8,12,1,11
4960,r128,125,Kosovo,Other Europe,12,2.0,12,0,12
4960,r129,125,Mauritius,Africa,12,5.6,9,4,8
4960,r130,125,Dominican Republic,Central America and Caribbean,12,7.0,11,4,8
4960,r131,130,Fiji,Australia and Oceania,11,6.5,6,5,6
4960,r132,131,Afghanistan,Asia,10,2.4,10,0,10
4960,r133,131,Sierra Leone,Africa,10,2.9,9,1,9
4960,r134,131,Cambodia,Asia,10,2.1,10,0,10
4960,r135,131,Armenia,Middle East,10,2.4,10,2,8
4960,r136,131,Benin,Africa,10,4.6,9,2,8
4960,r137,136,Kyrgyzstan,Asia,9,4.4,9,4,5
4960,r138,136,Madagascar,Africa,9,2.7,9,0,9
4960,r139,136,Côte d'Ivoire,Africa,9,2.7,8,2,7
4960,r140,136,Liechtenstein,Other Europe,9,4.7,7,2,7
4960,r141,136,Namibia,Africa,9,6.1,8,5,4
4960,r142,141,Somalia,Africa,8,3.5,7,2,6
4960,r143,142,Mauritania,Africa,7,1.2,7,0,7
4960,r144,143,Guinea,Africa,5,0.7,5,0,5
4960,r145,143,Laos,Asia,5,0.9,5,0,5
4960,r146,143,Moldova,Other Europe,5,0.3,5,0,5
4960,r147,143,Mongolia,Asia,5,1.4,5,0,5
4960,r148,143,Gabon,Africa,5,1.2,5,0,5
4960,r149,143,Grenada,Central America and Caribbean,5,2.1,5,1,4
4960,r150,143,Bhutan,Asia,5,2.5,4,2,3
4960,r151,143,Niger,Africa,5,2.3,4,2,3
4960,r152,151,Seychelles,Africa,4,0.6,4,0,4
4960,r153,151,Maldives,Asia,4,2.8,4,1,3
4960,r154,151,Guinea-Bissau,Africa,4,0.4,4,0,4
4960,r155,151,Papua New Guinea,Asia,4,0.2,4,0,4
4960,r156,151,Haiti,Central America and Caribbean,4,1.1,4,0,4
4960,r157,151,El Salvador,Central America and Caribbean,4,0.4,4,0,4
4960,r158,151,Eswatini,Africa,4,2.2,3,2,2
4960,r159,158,Andorra,Other Europe,3,2.0,3,1,2
4960,r160,158,Eritrea,Africa,3,0.6,3,0,3
4960,r161,158,Solomon Islands,Australia and Oceania,3,0.4,3,0,3
4960,r162,158,San Marino,Other Europe,3,0.3,3,0,3
4960,r163,158,Nicaragua,Central America and Caribbean,3,0.2,3,0,3
4960,r164,158,Liberia,Africa,3,1.1,2,1,2
4960,r165,158,Togo,Africa,3,1.3,3,0,3
4960,r166,158,Burundi,Africa,3,1.4,3,0,3
4960,r167,158,Saint Kitts and Nevis,Central America and Caribbean,3,1.0,3,0,3
4960,r168,158,"Bahamas, The",Central America and Caribbean,3,0.4,3,0,3
4960,r169,168,Tajikistan,Asia,2,0.3,2,0,2
4960,r170,168,Saint Lucia,Central America and Caribbean,2,0.1,2,0,2
4960,r171,168,Lesotho,Africa,2,0.0,2,0,2
4960,r172,168,Djibouti,Africa,2,1.0,2,1,1
4960,r173,168,Central African Republic,Africa,2,1.1,1,1,1
4960,r174,168,Vanuatu,Australia and Oceania,2,1.1,2,0,2
4960,r175,168,Samoa,Australia and Oceania,2,2.0,2,2,0
4960,r176,175,Belize,Central America and Caribbean,1,1.0,0,1,0
4960,r177,175,Suriname,South America,1,0.0,1,0,1
4960,r178,175,Tonga,Australia and Oceania,1,0.0,1,0,1
4960,r179,175,Comoros,Africa,1,0.1,1,0,1
4960,r180,175,Cabo Verde,Africa,1,0.1,1,0,1
4960,r181,175,Saint Vincent and the Grenadines,Central America and Caribbean,1,0.2,1,0,1
4960,r182,175,South Sudan,Africa,1,1.0,0,1,0
4960,r183,175,Greenland,North America,1,0.3,1,0,1
4960,r184,175,Timor-Leste,Asia,1,0.3,1,0,1
4960,r185,175,Dominica,Central America and Caribbean,1,0.3,1,0,1
4960,r186,175,Guyana,South America,1,1.0,1,1,0
4960,r187,175,Nauru,Australia and Oceania,1,0.2,1,0,1
4960,r188,175,Angola,Africa,1,1.0,0,1,0
4960,r189,na,Unknown,Unknown,1949,567.8,1949,0,517
