table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12577,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,1689,1686,1964,-0.2,16.5
12577,r002,R&D and R&D plant -> Air transportation (402),R&D and R&D plant,Air transportation (402),,,,2,1151,1141,1304,-0.9,14.3
12577,r003,R&D and R&D plant -> Air transportation (402) -> Department of Transportation,R&D and R&D plant,Air transportation (402),Department of Transportation,,,3,533,479,545,-10.1,13.8
12577,r004,R&D and R&D plant -> Air transportation (402) -> Department of Transportation -> Federal Aviation Administration,R&D and R&D plant,Air transportation (402),Department of Transportation,Federal Aviation Administration,,4,533,479,545,-10.1,13.8
12577,r005,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,,,3,595,632,723,6.2,14.4
12577,r006,R&D and R&D plant -> Air transportation (402) -> National Aeronautics and Space Administration -> Aeronautics research,R&D and R&D plant,Air transportation (402),National Aeronautics and Space Administration,Aeronautics research,,4,595,632,723,6.2,14.4
12577,r007,R&D and R&D plant -> Air transportation (402) -> Department of Homeland Security,R&D and R&D plant,Air transportation (402),Department of Homeland Security,,,3,23,30,36,30.4,20.0
12577,r008,R&D and R&D plant -> Air transportation (402) -> Department of Homeland Security -> Transportation Security Administration,R&D and R&D plant,Air transportation (402),Department of Homeland Security,Transportation Security Administration,,4,23,30,36,30.4,20.0
12577,r009,R&D and R&D plant -> Ground transportation (401),R&D and R&D plant,Ground transportation (401),,,,2,522,509,614,-2.5,20.6
12577,r010,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation,R&D and R&D plant,Ground transportation (401),Department of Transportation,,,3,522,509,614,-2.5,20.6
12577,r011,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Highway Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Highway Administration,,4,380,376,420,-1.1,11.7
12577,r012,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Motor Carrier Safety Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Motor Carrier Safety Administration,,4,9,9,9,0.0,0.0
12577,r013,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Railroad Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Railroad Administration,,4,45,42,54,-6.7,28.6
12577,r014,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> Federal Transit Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,Federal Transit Administration,,4,33,30,60,-9.1,100.0
12577,r015,R&D and R&D plant -> Ground transportation (401) -> Department of Transportation -> National Highway Traffic Safety Administration,R&D and R&D plant,Ground transportation (401),Department of Transportation,National Highway Traffic Safety Administration,,4,55,52,71,-5.5,36.5
12577,r016,R&D and R&D plant -> Water transportation (403),R&D and R&D plant,Water transportation (403),,,,2,0,11,8,-,-27.3
