table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
10161,r001,United States,United States,,1,97680528,53971468,4907199,24492663,5701656,5974155,2633387
10161,r002,United States -> Alabama,United States,Alabama,2,1431393,779272,68758,437472,87132,40619,18140
10161,r003,United States -> Alaska,United States,Alaska,2,226717,171964,2763,42936,4667,1990,2397
10161,r004,United States -> Arizona,United States,Arizona,2,1690904,729574,136865,552382,51204,92415,128464
10161,r005,United States -> Arkansas,United States,Arkansas,2,416507,174976,69558,135614,16168,12338,7853
10161,r006,United States -> California,United States,California,2,12107605,6587133,463811,2481533,813103,1244886,517139
10161,r007,United States -> Colorado,United States,Colorado,2,1898797,1407578,71912,184892,88938,93464,52013
10161,r008,United States -> Connecticut,United States,Connecticut,2,1587047,931776,7291,460465,88066,90640,8809
10161,r009,United States -> Delaware,United States,Delaware,2,397123,219136,12150,145855,5989,5692,8301
10161,r010,United States -> District of Columbia,United States,District of Columbia,2,783163,384514,6530,219463,24865,104996,42795
10161,r011,United States -> Florida,United States,Florida,2,3048253,1489852,284429,1002273,111840,110968,48891
10161,r012,United States -> Georgia,United States,Georgia,2,3260128,1968946,183628,782771,173058,133083,18642
10161,r013,United States -> Hawaii,United States,Hawaii,2,301272,190232,17913,76959,2750,12717,701
10161,r014,United States -> Idaho,United States,Idaho,2,179835,97255,40768,33181,3006,1891,3734
10161,r015,United States -> Illinois,United States,Illinois,2,3160587,1942622,41713,758082,198165,180882,39123
10161,r016,United States -> Indiana,United States,Indiana,2,1872200,877861,45885,627742,122118,120128,78466
10161,r017,United States -> Iowa,United States,Iowa,2,1005800,508226,43761,364805,51317,36806,885
10161,r018,United States -> Kansas,United States,Kansas,2,882644,376471,89850,222010,159137,20290,14886
10161,r019,United States -> Kentucky,United States,Kentucky,2,733242,385943,49506,207429,23247,22079,45038
10161,r020,United States -> Louisiana,United States,Louisiana,2,941868,404974,93956,285226,105251,28259,24202
10161,r021,United States -> Maine,United States,Maine,2,191739,95051,22403,64293,3974,3623,2395
10161,r022,United States -> Maryland,United States,Maryland,2,5168958,4055588,99124,620194,157683,218721,17648
10161,r023,United States -> Massachusetts,United States,Massachusetts,2,4837383,2705310,50116,1111829,321346,477250,171532
10161,r024,United States -> Michigan,United States,Michigan,2,3082410,1611073,61599,1109643,138028,120241,41826
10161,r025,United States -> Minnesota,United States,Minnesota,2,1241862,663217,80078,363811,53266,46788,34702
10161,r026,United States -> Mississippi,United States,Mississippi,2,565341,297587,109217,136905,6521,13033,2078
10161,r027,United States -> Missouri,United States,Missouri,2,1708351,992049,39685,399008,149915,113425,14269
10161,r028,United States -> Montana,United States,Montana,2,340611,198081,24891,105738,2537,5428,3936
10161,r029,United States -> Nebraska,United States,Nebraska,2,626792,283097,80399,190452,29739,21571,21534
10161,r030,United States -> Nevada,United States,Nevada,2,312714,131036,10036,148549,5509,7212,10372
10161,r031,United States -> New Hampshire,United States,New Hampshire,2,551187,285737,5282,213359,12276,25050,9483
10161,r032,United States -> New Jersey,United States,New Jersey,2,1516963,734412,116585,373348,68609,161644,62365
10161,r033,United States -> New Mexico,United States,New Mexico,2,543867,378374,40059,87011,9998,20105,8320
10161,r034,United States -> New York,United States,New York,2,8280323,4446597,340868,1964999,587571,588442,351846
10161,r035,United States -> North Carolina,United States,North Carolina,2,3870874,2319789,198727,747610,343150,212111,49487
10161,r036,United States -> North Dakota,United States,North Dakota,2,322621,108080,76507,115128,15066,1591,6249
10161,r037,United States -> Ohio,United States,Ohio,2,3079902,1800562,92684,789803,212530,125146,59177
10161,r038,United States -> Oklahoma,United States,Oklahoma,2,650977,281427,50747,266143,33474,15074,4112
10161,r039,United States -> Oregon,United States,Oregon,2,1001028,674193,60639,142746,53574,53511,16365
10161,r040,United States -> Pennsylvania,United States,Pennsylvania,2,5454961,3122812,119742,1433805,369954,289628,119020
10161,r041,United States -> Rhode Island,United States,Rhode Island,2,458694,320509,10983,82078,5581,32536,7007
10161,r042,United States -> South Carolina,United States,South Carolina,2,805510,409143,45090,273511,43025,22959,11782
10161,r043,United States -> South Dakota,United States,South Dakota,2,117368,58169,20008,22079,2135,3091,11886
10161,r044,United States -> Tennessee,United States,Tennessee,2,1715468,958144,41526,549263,98331,53491,14713
10161,r045,United States -> Texas,United States,Texas,2,7440455,3106159,972083,2100792,530526,431324,299571
10161,r046,United States -> Utah,United States,Utah,2,1062475,680822,27112,256513,53521,34371,10136
10161,r047,United States -> Vermont,United States,Vermont,2,218910,119444,1389,82461,2785,7344,5487
10161,r048,United States -> Virginia,United States,Virginia,2,2117336,969660,147155,721967,94893,98968,84693
10161,r049,United States -> Washington,United States,Washington,2,1972326,1295518,77227,230056,70422,249757,49346
10161,r050,United States -> West Virginia,United States,West Virginia,2,248022,118659,13290,87833,5336,4486,18418
10161,r051,United States -> Wisconsin,United States,Wisconsin,2,1966266,943590,130741,599840,81332,159019,51744
10161,r052,United States -> Wyoming,United States,Wyoming,2,139764,68772,5592,58184,4099,2167,950
10161,r053,United States -> Guam,United States,Guam,2,20481,17066,1682,1339,375,19,0
10161,r054,United States -> Puerto Rico,United States,Puerto Rico,2,103245,74309,1876,21283,4506,812,459
10161,r055,United States -> Virgin Islands,United States,Virgin Islands,2,20259,19127,1010,NA,48,74,0
