table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8449,r001,R&D and R&D plant,R&D and R&D plant,,,,1,11566,11923,12778,3.1,7.2
8449,r002,R&D and R&D plant -> National Aeronautics and Space Administration,R&D and R&D plant,National Aeronautics and Space Administration,,,2,11566,11923,12778,3.1,7.2
8449,r003,"R&D and R&D plant -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,National Aeronautics and Space Administration,"Safety, security, and mission services",,3,241,241,229,0.0,-5.0
8449,r004,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,National Aeronautics and Space Administration,Deep Space Exploration Systems,,3,1640,1708,1652,4.1,-3.3
8449,r005,R&D and R&D plant -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,National Aeronautics and Space Administration,Science,,3,7252,7525,7933,3.8,5.4
8449,r006,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,,3,1317,1312,1450,-0.4,10.5
8449,r007,R&D and R&D plant -> National Aeronautics and Space Administration -> Exploration technology,R&D and R&D plant,National Aeronautics and Space Administration,Exploration technology,,3,1062,1080,1406,1.7,30.2
8449,r008,"R&D and R&D plant -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",,3,54,57,108,5.6,89.5
8449,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,11512,11866,12670,3.1,6.8
8449,r010,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,National Aeronautics and Space Administration,,3,11512,11866,12670,3.1,6.8
8449,r011,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Safety, security, and mission services",4,241,241,229,0.0,-5.0
8449,r012,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep Space Exploration Systems,4,1640,1708,1652,4.1,-3.3
8449,r013,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,4,7252,7525,7933,3.8,5.4
8449,r014,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,4,1317,1312,1450,-0.4,10.5
8449,r015,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Exploration technology,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Exploration technology,4,1062,1080,1406,1.7,30.2
8449,r016,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",4,0,0,0,-,-
