table_id,row_id,_b_education_related_debt_level_and_field_b_full_path,_b_education_related_debt_level_and_field_b_level_1,_b_education_related_debt_level_and_field_b_level_2,_b_education_related_debt_level_and_field_b_level_3,_b_education_related_debt_level_and_field_b_level_4,_b_education_related_debt_level_and_field_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9459,r001,Doctorate recipients reporting education-related debt,Doctorate recipients reporting education-related debt,,,,1,46490,46449,46819,48759,49778,49231,50041,50731,50367,47279,52071
9459,r002,Doctorate recipients reporting education-related debt -> No debt,Doctorate recipients reporting education-related debt,No debt,,,2,29297,28883,29333,30890,31987,32604,33847,34713,35081,33847,38237
9459,r003,"Doctorate recipients reporting education-related debt -> $10,000 or less",Doctorate recipients reporting education-related debt,"$10,000 or less",,,2,4030,3931,3842,4189,4071,3801,3831,3469,3399,2740,2864
9459,r004,"Doctorate recipients reporting education-related debt -> $10,001&#8211;$30,000",Doctorate recipients reporting education-related debt,"$10,001&#8211;$30,000",,,2,4565,4609,4435,4464,4376,3897,3720,3791,3411,2941,3241
9459,r005,"Doctorate recipients reporting education-related debt -> $30,001&#8211;$70,000",Doctorate recipients reporting education-related debt,"$30,001&#8211;$70,000",,,2,4789,4782,4735,4500,4528,4107,3902,3675,3482,3176,3223
9459,r006,"Doctorate recipients reporting education-related debt -> $70,001 or more",Doctorate recipients reporting education-related debt,"$70,001 or more",,,2,3809,4244,4474,4716,4816,4822,4741,5083,4994,4575,4506
9459,r007,Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup>,Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,,,2,11115,10867,10917,11306,11636,11617,11788,11899,11682,10855,12184
9459,r008,Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> No debt,Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,No debt,,3,7658,7318,7427,7812,8100,8213,8401,8489,8429,8114,9289
9459,r009,"Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> $10,000 or less",Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,"$10,000 or less",,3,943,904,860,940,914,913,875,836,803,646,658
9459,r010,"Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> $10,001&#8211;$30,000",Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,"$10,001&#8211;$30,000",,3,1001,1016,997,943,940,818,815,852,724,586,686
9459,r011,"Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> $30,001&#8211;$70,000",Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,"$30,001&#8211;$70,000",,3,906,945,917,857,904,846,836,791,790,676,712
9459,r012,"Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> $70,001 or more",Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,"$70,001 or more",,3,607,684,716,754,778,827,861,931,936,833,839
9459,r013,Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences,Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,Physical sciences and earth sciences,,3,5009,5005,5203,5328,5748,5625,5870,6123,5801,5369,6142
9459,r014,Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> No debt,Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,Physical sciences and earth sciences,No debt,4,3833,3831,4023,4164,4530,4584,4824,5023,4909,4608,5304
9459,r015,"Doctorate recipients reporting education-related debt -> Life sciences<sup>a</sup> -> Physical sciences and earth sciences -> $10,000 or less",Doctorate recipients reporting education-related debt,Life sciences<sup>a</sup>,Physical sciences and earth sciences,"$10,000 or less",4,426,421,404,460,484,392,446,394,359,281,316
