table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
768,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['8', '&nbsp;']","['7', '&nbsp;']","['1', '&nbsp;']","['7', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
768,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['7', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['6', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']"
768,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['39', '&nbsp;']","['34', 'i']","['5', 'i']","['36', '&nbsp;']","['32', 'i']","['4', 'i']","['2', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']"
768,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['114', '&nbsp;']","['100', '&nbsp;']","['14', '&nbsp;']","['82', '&nbsp;']","['73', '&nbsp;']","['9', '&nbsp;']","['31', '&nbsp;']","['27', '&nbsp;']","['4', '&nbsp;']"
768,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['15', '&nbsp;']","['13', '&nbsp;']","['1', '&nbsp;']","['9', '&nbsp;']","['8', '&nbsp;']","['1', '&nbsp;']","['5', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']"
768,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['13', '&nbsp;']","['11', '&nbsp;']","['2', '&nbsp;']","['9', '&nbsp;']","['8', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']"
768,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['15', '&nbsp;']","['13', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['9', '&nbsp;']","['1', '&nbsp;']","['5', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']"
768,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['72', '&nbsp;']","['62', 'i']","['9', '&nbsp;']","['54', '&nbsp;']","['47', 'i']","['6', 'i']","['18', '&nbsp;']","['15', '&nbsp;']","['3', '&nbsp;']"
768,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['415', '&nbsp;']","['335', '&nbsp;']","['80', '&nbsp;']","['263', '&nbsp;']","['215', '&nbsp;']","['48', '&nbsp;']","['152', '&nbsp;']","['120', '&nbsp;']","['32', '&nbsp;']"
768,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['90', '&nbsp;']","['72', '&nbsp;']","['18', '&nbsp;']","['58', '&nbsp;']","['47', '&nbsp;']","['11', '&nbsp;']","['32', '&nbsp;']","['25', '&nbsp;']","['7', '&nbsp;']"
