table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_participated_in_a_medical_or_clinical_research_study,field_made_observations_or_collected_data_samples_as_part_of_a_science_research_project_such_as_observations_about_bird_animal_and_plant_life_or_weather_air_and_water_quality_,field_contributed_to_a_science_related_online_crowdsourcing_activity_such_as_classifying_stars_and_galaxies_or_identifying_animals_,field_helped_a_child_with_a_science_project_whether_for_school_or_for_an_outside_school_activity,field_participated_in_a_maker_movement_or_hack_a_thon_event_to_develop_new_technologies_devices_or_software,field_donated_blood,field_donated_money_to_support_medical_or_science_research
6681,r001,"All adults (<i>n</i> = 10,957)","All adults (<i>n</i> = 10,957)",,1,0.3,0.4,0.2,0.5,0.2,0.4,0.4
6681,r002,Family income category<sup>a</sup>,Family income category<sup>a</sup>,,1,,,,,,,
6681,r003,"Family income category<sup>a</sup> -> Upper income (<i>n</i> = 4,781)",Family income category<sup>a</sup>,"Upper income (<i>n</i> = 4,781)",2,0.5,0.6,0.4,0.8,0.3,0.6,0.7
6681,r004,"Family income category<sup>a</sup> -> Middle income (<i>n</i> = 3,624)",Family income category<sup>a</sup>,"Middle income (<i>n</i> = 3,624)",2,0.5,0.4,0.3,1.0,0.3,0.7,0.8
6681,r005,"Family income category<sup>a</sup> -> Lower income (<i>n</i> = 2,085)",Family income category<sup>a</sup>,"Lower income (<i>n</i> = 2,085)",2,0.7,0.8,0.6,1.2,0.4,0.7,0.8
6681,r006,Education,Education,,1,,,,,,,
6681,r007,"Education -> Postgraduate (<i>n</i> = 2,770)",Education,"Postgraduate (<i>n</i> = 2,770)",2,0.7,0.8,0.5,1.0,0.4,0.7,1.0
6681,r008,"Education -> College graduate (<i>n</i> = 3,176)",Education,"College graduate (<i>n</i> = 3,176)",2,0.5,0.6,0.4,0.9,0.4,0.7,0.8
6681,r009,"Education -> Some college (<i>n</i> = 3,294)",Education,"Some college (<i>n</i> = 3,294)",2,0.7,0.6,0.4,0.9,0.3,0.7,0.8
6681,r010,"Education -> High school or less (<i>n</i> = 1,692)",Education,"High school or less (<i>n</i> = 1,692)",2,0.6,0.7,0.5,1.1,0.4,0.7,0.8
