table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_sources,field_government_federal,field_government_state_and_local,field_institutional_funds_and_other_sourcesa
12867,r001,All institutions,All institutions,,,1,6555.6,198.4,1184.0,5173.2
12867,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,6171.1,189.1,1080.6,4901.4
12867,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,3440.1,151.6,1050.4,2238.0
12867,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,2731.0,37.5,30.2,2663.4
12867,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,384.5,9.3,103.4,271.8
