table_id,row_id,field_and_citizenship_status_full_path,field_and_citizenship_status_level_1,field_and_citizenship_status_level_2,field_and_citizenship_status_level_3,field_and_citizenship_status_hierarchy_depth,field_1994,field_1999,field_2004,field_2009,field_2014,field_2019
2815,r001,All fields,All fields,,,1,41034,41100,42122,49552,53986,55703
2815,r002,All fields -> U.S. citizen or permanent resident,All fields,U.S. citizen or permanent resident,,2,30904,30312,28040,32327,34003,35274
2815,r003,All fields -> Temporary visa holder,All fields,Temporary visa holder,,2,9421,9060,11628,14736,15839,18351
2815,r004,All fields -> Unknown,All fields,Unknown,,2,709,1728,2454,2489,4144,2078
2815,r005,All fields -> Life sciences<sup>a</sup>,All fields,Life sciences<sup>a</sup>,,2,7800,8204,8813,11403,12484,12781
2815,r006,All fields -> Life sciences<sup>a</sup> -> U.S. citizen or permanent resident,All fields,Life sciences<sup>a</sup>,U.S. citizen or permanent resident,3,5871,5810,6082,7803,8390,9052
2815,r007,All fields -> Life sciences<sup>a</sup> -> Temporary visa holder,All fields,Life sciences<sup>a</sup>,Temporary visa holder,3,1849,2137,2316,3097,3169,3406
2815,r008,All fields -> Life sciences<sup>a</sup> -> Unknown,All fields,Life sciences<sup>a</sup>,Unknown,3,80,257,415,503,925,323
2815,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,4740,4285,4023,5160,5910,6585
2815,r010,All fields -> Physical sciences and earth sciences -> U.S. citizen or permanent resident,All fields,Physical sciences and earth sciences,U.S. citizen or permanent resident,3,3360,2736,2300,2914,3300,3903
2815,r011,All fields -> Physical sciences and earth sciences -> Temporary visa holder,All fields,Physical sciences and earth sciences,Temporary visa holder,3,1292,1343,1573,2028,2196,2486
2815,r012,All fields -> Physical sciences and earth sciences -> Unknown,All fields,Physical sciences and earth sciences,Unknown,3,88,206,150,218,414,196
2815,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,2021,1939,2024,3163,3862,4240
2815,r014,All fields -> Mathematics and computer sciences -> U.S. citizen or permanent resident,All fields,Mathematics and computer sciences,U.S. citizen or permanent resident,3,1201,1098,959,1506,1738,1787
2815,r015,All fields -> Mathematics and computer sciences -> Temporary visa holder,All fields,Mathematics and computer sciences,Temporary visa holder,3,794,775,987,1504,1850,2309
2815,r016,All fields -> Mathematics and computer sciences -> Unknown,All fields,Mathematics and computer sciences,Unknown,3,26,66,78,153,274,144
2815,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6923,7389,7158,7945,8748,9071
2815,r018,All fields -> Psychology and social sciences -> U.S. citizen or permanent resident,All fields,Psychology and social sciences,U.S. citizen or permanent resident,3,5595,5936,5348,5714,6389,6723
2815,r019,All fields -> Psychology and social sciences -> Temporary visa holder,All fields,Psychology and social sciences,Temporary visa holder,3,1146,1059,1307,1720,1549,1917
2815,r020,All fields -> Psychology and social sciences -> Unknown,All fields,Psychology and social sciences,Unknown,3,182,394,503,511,810,431
2815,r021,All fields -> Engineering,All fields,Engineering,,2,5820,5330,5776,7642,9626,10303
2815,r022,All fields -> Engineering -> U.S. citizen or permanent resident,All fields,Engineering,U.S. citizen or permanent resident,3,3054,2892,2190,3166,4066,4253
2815,r023,All fields -> Engineering -> Temporary visa holder,All fields,Engineering,Temporary visa holder,3,2652,2191,3311,4221,4961,5683
2815,r024,All fields -> Engineering -> Unknown,All fields,Engineering,Unknown,3,114,247,275,255,599,367
2815,r025,All fields -> Education,All fields,Education,,2,6711,6554,6635,6528,4789,4635
2815,r026,All fields -> Education -> U.S. citizen or permanent resident,All fields,Education,U.S. citizen or permanent resident,3,6066,5817,5452,5584,3934,3848
2815,r027,All fields -> Education -> Temporary visa holder,All fields,Education,Temporary visa holder,3,537,517,627,567,478,615
2815,r028,All fields -> Education -> Unknown,All fields,Education,Unknown,3,108,220,556,377,377,172
2815,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4695,5273,5245,4904,5524,5054
2815,r030,All fields -> Humanities and arts -> U.S. citizen or permanent resident,All fields,Humanities and arts,U.S. citizen or permanent resident,3,4033,4487,4232,3893,4361,3988
2815,r031,All fields -> Humanities and arts -> Temporary visa holder,All fields,Humanities and arts,Temporary visa holder,3,582,577,751,729,731,827
2815,r032,All fields -> Humanities and arts -> Unknown,All fields,Humanities and arts,Unknown,3,80,209,262,282,432,239
2815,r033,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,2,2324,2126,2448,2807,3043,3034
2815,r034,All fields -> Other<sup>b</sup> -> U.S. citizen or permanent resident,All fields,Other<sup>b</sup>,U.S. citizen or permanent resident,3,1724,1536,1477,1747,1825,1720
2815,r035,All fields -> Other<sup>b</sup> -> Temporary visa holder,All fields,Other<sup>b</sup>,Temporary visa holder,3,569,461,756,870,905,1108
2815,r036,All fields -> Other<sup>b</sup> -> Unknown,All fields,Other<sup>b</sup>,Unknown,3,31,129,215,190,313,206
