table_id,row_id,broad_field_of_study_and_primary_source_of_support_full_path,broad_field_of_study_and_primary_source_of_support_level_1,broad_field_of_study_and_primary_source_of_support_level_2,broad_field_of_study_and_primary_source_of_support_level_3,broad_field_of_study_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
978,r014,All fields (number) -> Life sciences (number)<sup>d</sup> -> Other,All fields (number),Life sciences (number)<sup>d</sup>,Other,3,2.3,2.5,2.2,0.3,7.6,1.3,0.0,0.3,0.4,0.2,0.4,0.0,0.0
978,r015,All fields (number) -> Physical sciences and earth sciences (number),All fields (number),Physical sciences and earth sciences (number),,2,5504,3692,1811,3451,2046,202,5,309,86,2698,110,33,8
978,r016,All fields (number) -> Physical sciences and earth sciences (number) -> Teaching assistantships,All fields (number),Physical sciences and earth sciences (number),Teaching assistantships,3,25.5,25.5,25.3,23.5,28.9,16.3,,24.3,30.2,23.2,35.5,,37.5
978,r017,All fields (number) -> Physical sciences and earth sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Physical sciences and earth sciences (number),Research assistantships or traineeships<sup>b</sup>,3,50.2,51.9,46.7,46.9,55.6,37.6,,,23.3,48.5,39.1,48.5,25.0
978,r018,"All fields (number) -> Physical sciences and earth sciences (number) -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Physical sciences and earth sciences (number),"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,19.5,17.5,23.5,24.1,11.7,40.6,,,39.5,22.8,20.0,21.2,25.0
978,r019,All fields (number) -> Physical sciences and earth sciences (number) -> Own resources,All fields (number),Physical sciences and earth sciences (number),Own resources,3,2.8,3.0,2.5,,,,0.0,2.6,7.0,4.2,,,0.0
978,r020,All fields (number) -> Physical sciences and earth sciences (number) -> Employer,All fields (number),Physical sciences and earth sciences (number),Employer,3,0.9,1.1,0.6,,,,0.0,,0.0,1.2,,0.0,12.5
978,r021,All fields (number) -> Physical sciences and earth sciences (number) -> Other,All fields (number),Physical sciences and earth sciences (number),Other,3,1.1,1.0,1.4,0.1,2.8,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0
978,r022,All fields (number) -> Mathematics and computer sciences (number),All fields (number),Mathematics and computer sciences (number),,2,3386,2581,805,1548,1832,74,0,229,45,1119,49,22,10
978,r023,All fields (number) -> Mathematics and computer sciences (number) -> Teaching assistantships,All fields (number),Mathematics and computer sciences (number),Teaching assistantships,3,36.6,35.7,39.6,36.2,37.1,18.9,0.0,32.8,33.3,37.8,42.9,45.5,20.0
978,r024,All fields (number) -> Mathematics and computer sciences (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Mathematics and computer sciences (number),Research assistantships or traineeships<sup>b</sup>,3,37.1,39.3,30.2,28.2,44.6,,0.0,31.0,,29.0,28.6,18.2,10.0
978,r025,"All fields (number) -> Mathematics and computer sciences (number) -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Mathematics and computer sciences (number),"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,16.1,15.7,17.5,20.1,12.7,35.1,0.0,25.3,22.2,17.5,18.4,31.8,50.0
978,r026,All fields (number) -> Mathematics and computer sciences (number) -> Own resources,All fields (number),Mathematics and computer sciences (number),Own resources,3,6.1,5.3,8.6,,,,0.0,7.9,24.4,10.8,10.2,4.5,20.0
978,r027,All fields (number) -> Mathematics and computer sciences (number) -> Employer,All fields (number),Mathematics and computer sciences (number),Employer,3,2.1,2.1,2.0,,,,0.0,3.1,,4.6,0.0,0.0,0.0
978,r028,All fields (number) -> Mathematics and computer sciences (number) -> Other,All fields (number),Mathematics and computer sciences (number),Other,3,2.0,1.9,2.1,0.3,3.4,1.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0
