table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10854,r001,All locations,All locations,,,1,189604388,70779628,15380951,50204817,42178815,10135603,924575
10854,r002,All locations -> Alabama,All locations,Alabama,,2,4086585,1967060,608,1509290,568863,22193,18572
10854,r003,All locations -> Alaska,All locations,Alaska,,2,272508,75226,0,65177,109357,15658,7090
10854,r004,All locations -> Arizona,All locations,Arizona,,2,2387850,135318,82933,1460382,593475,104472,11270
10854,r005,All locations -> Arkansas,All locations,Arkansas,,2,268319,52562,0,60748,126610,13661,14738
10854,r006,All locations -> California,All locations,California,,2,23272011,2530252,5428274,8043185,5973327,1223029,73944
10854,r007,All locations -> Colorado,All locations,Colorado,,2,4638849,426334,541731,2538031,1009654,111555,11543
10854,r008,All locations -> Connecticut,All locations,Connecticut,,2,2642331,57741,5453,1705162,819440,12946,41588
10854,r009,All locations -> Delaware,All locations,Delaware,,2,340648,28757,0,131264,162123,16444,2060
10854,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,33916947,31563916,137557,877503,271082,1059234,7655
10854,r011,All locations -> Florida,All locations,Florida,,2,4249966,799142,113,2099511,1138687,195545,16969
10854,r012,All locations -> Georgia,All locations,Georgia,,2,1821438,225983,3697,239405,1291590,29422,31340
10854,r013,All locations -> Hawaii,All locations,Hawaii,,2,371193,62910,0,133668,144109,23115,7390
10854,r014,All locations -> Idaho,All locations,Idaho,,2,702352,65585,491824,69275,62207,893,12567
10854,r015,All locations -> Illinois,All locations,Illinois,,2,3468724,266842,1113441,350975,1575978,146398,15090
10854,r016,All locations -> Indiana,All locations,Indiana,,2,1277050,326926,5,276340,660168,1466,12144
10854,r017,All locations -> Iowa,All locations,Iowa,,2,760960,91346,32616,193452,425588,2020,15938
10854,r018,All locations -> Kansas,All locations,Kansas,,2,445052,149333,0,21219,264257,8675,1567
