table_id,row_id,location_and_type_of_activity_full_path,location_and_type_of_activity_level_1,location_and_type_of_activity_level_2,location_and_type_of_activity_level_3,location_and_type_of_activity_hierarchy_depth,field_all_recipientsa,field_without_disability,field_with_disability
3397,r001,All doctoral degree recipients with definite plans (number),All doctoral degree recipients with definite plans (number),,,1,16967,15034,1378
3397,r002,All doctoral degree recipients with definite plans,All doctoral degree recipients with definite plans,,,1,100.0,100.0,100.0
3397,r003,All doctoral degree recipients with definite plans -> United States,All doctoral degree recipients with definite plans,United States,,2,96.3,96.24,96.15
3397,r004,All doctoral degree recipients with definite plans -> United States -> Academic employment,All doctoral degree recipients with definite plans,United States,Academic employment,3,18.34,18.04,21.04
3397,r005,All doctoral degree recipients with definite plans -> United States -> Industry employment,All doctoral degree recipients with definite plans,United States,Industry employment,3,22.48,22.56,20.17
3397,r006,All doctoral degree recipients with definite plans -> United States -> Postdoctoral study,All doctoral degree recipients with definite plans,United States,Postdoctoral study,3,42.9,43.16,42.74
3397,r007,All doctoral degree recipients with definite plans -> United States -> Other<sup>b</sup>,All doctoral degree recipients with definite plans,United States,Other<sup>b</sup>,3,12.59,12.47,12.19
3397,r008,All doctoral degree recipients with definite plans -> Abroad,All doctoral degree recipients with definite plans,Abroad,,2,3.67,3.76,3.77
3397,r009,All doctoral degree recipients with definite plans -> Location unknown,All doctoral degree recipients with definite plans,Location unknown,,2,0.05,0.0,0.07
