table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_hierarchy_depth,field_u_s_citizen_or_permanent_resident,field_male,field_female,field_hispanic_or_latino,field_not_hispanic_or_latino,field_american_indian_or_alaska_native,field_asian,field_black_or_african_american,field_native_hawaiian_or_other_pacific_islander,field_white,field_more_than_one_race,field_other_or_unknown_race_or_ethnicity
5782,r001,S&E technologies,S&E technologies,,,1,122003,44592,77411,23126,98877,1037,5713,14260,386,68989,3444,5048
5782,r002,S&E technologies -> Engineering technologies,S&E technologies,Engineering technologies,,2,30306,25800,4506,4921,25385,287,1029,2786,78,19232,827,1146
5782,r003,"S&E technologies -> Engineering technologies -> Engineering technology, general",S&E technologies,Engineering technologies,"Engineering technology, general",3,1308,1096,212,158,1150,15,115,95,2,817,50,56
5782,r004,S&E technologies -> Engineering technologies -> Architectural engineering technologies/ technicians,S&E technologies,Engineering technologies,Architectural engineering technologies/ technicians,3,643,440,203,87,556,7,26,63,3,352,14,91
5782,r005,S&E technologies -> Engineering technologies -> Audiovisual communications technologies/ technicians,S&E technologies,Engineering technologies,Audiovisual communications technologies/ technicians,3,2174,1586,588,485,1689,5,56,459,3,1008,76,82
5782,r006,S&E technologies -> Engineering technologies -> Civil engineering technologies/ technicians,S&E technologies,Engineering technologies,Civil engineering technologies/ technicians,3,721,649,72,96,625,3,23,76,3,484,12,24
5782,r007,"S&E technologies -> Engineering technologies -> Communications technologies/ technicians and support services, other",S&E technologies,Engineering technologies,"Communications technologies/ technicians and support services, other",3,62,33,29,9,53,0,4,11,0,35,2,1
5782,r008,S&E technologies -> Engineering technologies -> Communications technology/ technician,S&E technologies,Engineering technologies,Communications technology/ technician,3,175,113,62,17,158,0,0,22,0,128,4,4
5782,r009,S&E technologies -> Engineering technologies -> Computer engineering technologies/ technicians,S&E technologies,Engineering technologies,Computer engineering technologies/ technicians,3,1447,1257,190,198,1249,6,92,192,2,860,40,57
5782,r010,S&E technologies -> Engineering technologies -> Construction engineering technologies,S&E technologies,Engineering technologies,Construction engineering technologies,3,638,548,90,140,498,12,15,65,0,380,10,16
5782,r011,S&E technologies -> Engineering technologies -> Drafting/ design engineering technologies/ technicians,S&E technologies,Engineering technologies,Drafting/ design engineering technologies/ technicians,3,1760,1397,363,286,1474,9,90,86,14,1174,43,58
5782,r012,S&E technologies -> Engineering technologies -> Electrical engineering technologies/ technicians,S&E technologies,Engineering technologies,Electrical engineering technologies/ technicians,3,3728,3435,293,636,3092,21,128,321,23,2376,87,136
5782,r013,S&E technologies -> Engineering technologies -> Electromechanical instrumentation and maintenance technologies/ technicians,S&E technologies,Engineering technologies,Electromechanical instrumentation and maintenance technologies/ technicians,3,4703,3954,749,788,3915,39,189,356,3,3030,133,165
5782,r014,S&E technologies -> Engineering technologies -> Engineering-related fields,S&E technologies,Engineering technologies,Engineering-related fields,3,29,27,2,2,27,0,0,1,1,23,1,1
5782,r015,S&E technologies -> Engineering technologies -> Engineering-related technologies,S&E technologies,Engineering technologies,Engineering-related technologies,3,299,273,26,28,271,2,6,8,1,244,4,6
5782,r016,S&E technologies -> Engineering technologies -> Environmental control technologies/ technicians,S&E technologies,Engineering technologies,Environmental control technologies/ technicians,3,1617,1406,211,402,1215,16,62,117,1,922,48,49
5782,r017,S&E technologies -> Engineering technologies -> Industrial production technologies/ technicians,S&E technologies,Engineering technologies,Industrial production technologies/ technicians,3,3885,3332,553,386,3499,33,90,445,10,2713,98,110
5782,r018,S&E technologies -> Engineering technologies -> Mechanical engineering related technologies/ technicians,S&E technologies,Engineering technologies,Mechanical engineering related technologies/ technicians,3,2120,1940,180,362,1758,31,62,146,3,1354,59,103
5782,r019,S&E technologies -> Engineering technologies -> Mining and petroleum technologies/ technicians,S&E technologies,Engineering technologies,Mining and petroleum technologies/ technicians,3,237,210,27,36,201,2,1,31,0,153,7,7
5782,r020,S&E technologies -> Engineering technologies -> Nanotechnology,S&E technologies,Engineering technologies,Nanotechnology,3,19,13,6,0,19,0,0,0,0,15,3,1
5782,r021,S&E technologies -> Engineering technologies -> Nuclear engineering technologies/ technicians,S&E technologies,Engineering technologies,Nuclear engineering technologies/ technicians,3,92,79,13,2,90,1,4,5,0,72,4,4
5782,r022,S&E technologies -> Engineering technologies -> Precision metal working,S&E technologies,Engineering technologies,Precision metal working,3,3300,3006,294,588,2712,68,36,157,6,2236,103,106
5782,r023,S&E technologies -> Engineering technologies -> Quality control and safety technologies/ technicians,S&E technologies,Engineering technologies,Quality control and safety technologies/ technicians,3,955,695,260,184,771,12,14,98,3,560,26,58
