table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3293,r001,"Female, all institutions","Female, all institutions",,,1,611,-
3293,r002,"Female, all institutions -> Foreign or unknown institutions","Female, all institutions",Foreign or unknown institutions,,2,257,-
3293,r003,"Female, all institutions -> Top 14 U.S. institutions","Female, all institutions",Top 14 U.S. institutions,,2,159,-
3293,r004,"Female, all institutions -> Top 14 U.S. institutions -> U. Puerto Rico, Mayaguez","Female, all institutions",Top 14 U.S. institutions,"U. Puerto Rico, Mayaguez",3,49,Yes
3293,r005,"Female, all institutions -> Top 14 U.S. institutions -> U. Florida","Female, all institutions",Top 14 U.S. institutions,U. Florida,3,19,No
3293,r006,"Female, all institutions -> Top 14 U.S. institutions -> U. Texas, El Paso","Female, all institutions",Top 14 U.S. institutions,"U. Texas, El Paso",3,13,Yes
3293,r007,"Female, all institutions -> Top 14 U.S. institutions -> Massachusetts Institute of Technology","Female, all institutions",Top 14 U.S. institutions,Massachusetts Institute of Technology,3,12,No
3293,r008,"Female, all institutions -> Top 14 U.S. institutions -> U. Miami","Female, all institutions",Top 14 U.S. institutions,U. Miami,3,10,No
3293,r009,"Female, all institutions -> Top 14 U.S. institutions -> U. California, Berkeley","Female, all institutions",Top 14 U.S. institutions,"U. California, Berkeley",3,9,No
3293,r010,"Female, all institutions -> Top 14 U.S. institutions -> U. New Mexico, Albuquerque","Female, all institutions",Top 14 U.S. institutions,"U. New Mexico, Albuquerque",3,9,Yes
3293,r011,"Female, all institutions -> Top 14 U.S. institutions -> U. Texas, Austin","Female, all institutions",Top 14 U.S. institutions,"U. Texas, Austin",3,7,No
3293,r012,"Female, all institutions -> Top 14 U.S. institutions -> U. California, Los Angeles","Female, all institutions",Top 14 U.S. institutions,"U. California, Los Angeles",3,6,No
3293,r013,"Female, all institutions -> Top 14 U.S. institutions -> Carnegie Mellon U.","Female, all institutions",Top 14 U.S. institutions,Carnegie Mellon U.,3,5,No
3293,r014,"Female, all institutions -> Top 14 U.S. institutions -> Florida International U.","Female, all institutions",Top 14 U.S. institutions,Florida International U.,3,5,Yes
3293,r015,"Female, all institutions -> Top 14 U.S. institutions -> U. Arizona","Female, all institutions",Top 14 U.S. institutions,U. Arizona,3,5,Yes
3293,r016,"Female, all institutions -> Top 14 U.S. institutions -> U. California, San Diego","Female, all institutions",Top 14 U.S. institutions,"U. California, San Diego",3,5,No
3293,r017,"Female, all institutions -> Top 14 U.S. institutions -> U. Virginia, Charlottesville","Female, all institutions",Top 14 U.S. institutions,"U. Virginia, Charlottesville",3,5,No
3293,r018,"Female, all institutions -> Other U.S. institutions","Female, all institutions",Other U.S. institutions,,2,195,-
3293,r019,"Male, all institutions","Male, all institutions",,,1,1807,-
3293,r020,"Male, all institutions -> Foreign or unknown institutions","Male, all institutions",Foreign or unknown institutions,,2,774,-
3293,r021,"Male, all institutions -> Top 53 U.S. institutions","Male, all institutions",Top 53 U.S. institutions,,2,705,-
3293,r022,"Male, all institutions -> Top 53 U.S. institutions -> U. Puerto Rico, Mayaguez","Male, all institutions",Top 53 U.S. institutions,"U. Puerto Rico, Mayaguez",3,93,Yes
3293,r023,"Male, all institutions -> Top 53 U.S. institutions -> U. Texas, El Paso","Male, all institutions",Top 53 U.S. institutions,"U. Texas, El Paso",3,48,Yes
3293,r024,"Male, all institutions -> Top 53 U.S. institutions -> U. Florida","Male, all institutions",Top 53 U.S. institutions,U. Florida,3,45,No
