table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1446,r001,All business activities,All business activities,,1,21100–81000,"['3,180,177', '&nbsp;']","['2,773,429', '&nbsp;']","['3,373,035', '&nbsp;']","['3,814,885', '&nbsp;']","['3,715,718', '&nbsp;']","['3,615,226', '&nbsp;']","['3,624,553', '&nbsp;']","['3,116,806', '  ']","['3,093,889', '&nbsp;']"
1446,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['143,705', '&nbsp;']","['92,357', '&nbsp;']","['126,671', '&nbsp;']","['152,394', '&nbsp;']","['147,415', '&nbsp;']","['130,389', '&nbsp;']","['116,693', '&nbsp;']","['70,302', '  ']","['59,489', '&nbsp;']"
1446,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['D', '&nbsp;']","['5,230', '&nbsp;']","['19,552', '&nbsp;']","['19,020', '&nbsp;']","['16,261', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['10,121', '&nbsp;']"
1446,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['22,162', '&nbsp;']","['26,223', '&nbsp;']","['25,878', '&nbsp;']","['28,461', '&nbsp;']","['27,621', '&nbsp;']","['32,686', '&nbsp;']","['26,711', 'i ']","['18,877', '&nbsp;']"
1446,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['D', '&nbsp;']","['9,155', '&nbsp;']","['10,892', '&nbsp;']","['9,320', '&nbsp;']","['8,068', '&nbsp;']","['8,229', '&nbsp;']","['10,468', '  ']","['4,473', '&nbsp;']"
1446,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['15,107', '&nbsp;']","['11,664', '&nbsp;']","['18,660', '&nbsp;']","['43,283', '&nbsp;']","['33,541', '&nbsp;']","['24,672', '&nbsp;']","['14,571', '  ']","['6,691', '&nbsp;']"
1446,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['81,184', '&nbsp;']","['127,453', '&nbsp;']","['193,432', '&nbsp;']","['196,015', '&nbsp;']","['184,889', '&nbsp;']","['247,871', '&nbsp;']","['235,909', '&nbsp;']","['202,761', '  ']","['184,384', '&nbsp;']"
1446,r008,All business activities -> Beverages manufacturing,All business activities,Beverages manufacturing,2,31210,"['59,317', '&nbsp;']","['50,655', '&nbsp;']","['56,495', '&nbsp;']","['84,916', '&nbsp;']","['83,229', '&nbsp;']","['57,690', '&nbsp;']","['57,147', '&nbsp;']","['D', '  ']","['44,030', '&nbsp;']"
1446,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['290', '&nbsp;']","['102,541', '&nbsp;']","['102,636', '&nbsp;']","['111,353', '&nbsp;']","['103,052', '&nbsp;']","['33,327', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['30,826', '&nbsp;']"
1446,r010,"All business activities -> Textiles, apparel, and leather products manufacturing",All business activities,"Textiles, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['10,239', '&nbsp;']","['11,625', '&nbsp;']","['13,883', '&nbsp;']","['20,542', '&nbsp;']","['15,193', '&nbsp;']","['15,014', '&nbsp;']","['13,065', '  ']","['20,260', '&nbsp;']"
1446,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['6,381', '&nbsp;']","['1,613', '&nbsp;']","['3,101', 'i']","['1,821', '&nbsp;']","['4,144', '&nbsp;']","['5,769', '&nbsp;']","['7,172', '&nbsp;']","['4,715', '  ']","['5,647', '&nbsp;']"
1446,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['39,895', '&nbsp;']","['30,504', '&nbsp;']","['36,481', '&nbsp;']","['40,196', '&nbsp;']","['41,303', '&nbsp;']","['40,349', '&nbsp;']","['42,619', '&nbsp;']","['D', '  ']","['34,212', '&nbsp;']"
1446,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['3,748', '&nbsp;']","['4,212', '&nbsp;']","['5,234', '&nbsp;']","['6,013', '&nbsp;']","['5,885', '&nbsp;']","['3,296', '&nbsp;']","['5,049', '&nbsp;']","['7,829', 'i ']","['4,501', '&nbsp;']"
1446,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '&nbsp;']","['NA', '&nbsp;']","['297,333', '&nbsp;']","['372,811', '&nbsp;']","['333,710', '&nbsp;']","['328,477', '&nbsp;']","['266,321', '&nbsp;']","['175,953', '  ']","['170,110', '&nbsp;']"
1446,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '&nbsp;']","['NA', '&nbsp;']","['17', '&nbsp;']","['91', '&nbsp;']","['74', 'i']","['1,244', '&nbsp;']","['2,278', '&nbsp;']","['630', '  ']","['3,234', '&nbsp;']"
1446,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '&nbsp;']","['NA', '&nbsp;']","['10,623', '&nbsp;']","['23,005', '&nbsp;']","['D', '&nbsp;']","['9,703', '&nbsp;']","['9,496', '&nbsp;']","['8,643', '  ']","['5,103', '&nbsp;']"
1446,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['115,189', '&nbsp;']","['75,544', '&nbsp;']","['92,953', '&nbsp;']","['92,754', '&nbsp;']","['129,151', '&nbsp;']","['79,818', '&nbsp;']","['75,221', '&nbsp;']","['58,600', '  ']","['59,722', '&nbsp;']"
1446,r018,"All business activities -> Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resins, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['29,537', '&nbsp;']","['33,110', '&nbsp;']","['44,009', '&nbsp;']","['30,499', '&nbsp;']","['29,307', '&nbsp;']","['27,404', '&nbsp;']","['35,325', '&nbsp;']","['30,979', '  ']","['33,055', '&nbsp;']"
1446,r019,"All business activities -> Pesticides, fertilizers, and other agricultural chemicals manufacturing",All business activities,"Pesticides, fertilizers, and other agricultural chemicals manufacturing",2,32530,"['12,327', '&nbsp;']","['23,686', '&nbsp;']","['10,412', '&nbsp;']","['14,001', '&nbsp;']","['16,929', '&nbsp;']","['22,163', 'i']","['13,617', '&nbsp;']","['D', '  ']","['17,507', '&nbsp;']"
1446,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",2,32541,"['136,925', '&nbsp;']","['128,937', '&nbsp;']","['147,497', '&nbsp;']","['163,323', '&nbsp;']","['165,908', '&nbsp;']","['162,730', '&nbsp;']","['155,814', '&nbsp;']","['153,415', '  ']","['144,433', '&nbsp;']"
1446,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['6,964', '&nbsp;']","['7,135', '&nbsp;']","['7,802', '&nbsp;']","['11,270', '&nbsp;']","['12,376', '&nbsp;']","['5,730', '&nbsp;']","['11,359', '&nbsp;']","['7,940', '  ']","['8,536', 'i']"
1446,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing<sup>c</sup>,All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances) manufacturing<sup>c</sup>,2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,553', '&nbsp;']","['8,035', '&nbsp;']","['13,232', '  ']","['13,408', '&nbsp;']"
1446,r023,"All business activities -> Soaps, cleaning compounds, and toilet preparations manufacturing",All business activities,"Soaps, cleaning compounds, and toilet preparations manufacturing",2,32591,"['72,271', '&nbsp;']","['80,113', '&nbsp;']","['86,107', '&nbsp;']","['99,565', '&nbsp;']","['84,423', '&nbsp;']","['98,232', '&nbsp;']","['95,193', '&nbsp;']","['86,186', '  ']","['81,724', '&nbsp;']"
1446,r024,"All business activities -> Paints, adhesives, and other chemicals manufacturing",All business activities,"Paints, adhesives, and other chemicals manufacturing",2,32592,"['49,968', '&nbsp;']","['41,584', '&nbsp;']","['42,946', '&nbsp;']","['55,746', '&nbsp;']","['49,627', '&nbsp;']","['45,604', '&nbsp;']","['54,754', '&nbsp;']","['39,126', '  ']","['45,453', '&nbsp;']"
1446,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['43,878', '&nbsp;']","['46,866', '&nbsp;']","['55,694', '&nbsp;']","['70,156', '&nbsp;']","['71,055', '&nbsp;']","['65,315', '&nbsp;']","['76,697', '&nbsp;']","['45,131', '  ']","['64,414', '&nbsp;']"
1446,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['12,023', '&nbsp;']","['8,789', '&nbsp;']","['12,710', '&nbsp;']","['12,430', '&nbsp;']","['16,796', '&nbsp;']","['16,378', '&nbsp;']","['13,287', '&nbsp;']","['15,938', '  ']","['16,912', '&nbsp;']"
1446,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['5,307', '&nbsp;']","['3,931', '&nbsp;']","['7,648', '&nbsp;']","['8,629', '&nbsp;']","['6,833', '&nbsp;']","['9,164', '&nbsp;']","['9,381', '&nbsp;']","['7,494', '  ']","['6,453', '&nbsp;']"
1446,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['26,985', '&nbsp;']","['35,756', '&nbsp;']","['30,648', '&nbsp;']","['22,619', '&nbsp;']","['24,443', '&nbsp;']","['24,114', '&nbsp;']","['12,138', '  ']","['15,444', '&nbsp;']"
1446,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['45,571', '&nbsp;']","['29,870', '&nbsp;']","['42,347', '&nbsp;']","['49,138', '&nbsp;']","['52,129', '&nbsp;']","['39,319', '&nbsp;']","['67,646', '&nbsp;']","['43,238', '  ']","['35,312', '&nbsp;']"
1446,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['20,642', '&nbsp;']","['21,025', '&nbsp;']","['24,042', 'i']","['14,152', '&nbsp;']","['23,984', '&nbsp;']","['23,076', '&nbsp;']","['26,760', '&nbsp;']","['21,505', '  ']","['21,684', '&nbsp;']"
1446,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['13,881', '&nbsp;']","['10,015', '&nbsp;']","['11,205', '&nbsp;']","['17,120', '&nbsp;']","['11,502', '&nbsp;']","['20,431', '&nbsp;']","['24,092', '&nbsp;']","['20,423', '  ']","['14,296', '&nbsp;']"
1446,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['35,907', '&nbsp;']","['36,300', '&nbsp;']","['48,499', '&nbsp;']","['49,800', '&nbsp;']","['37,434', '&nbsp;']","['32,935', '&nbsp;']","['36,375', '  ']","['26,427', '&nbsp;']"
1446,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['10,928', '&nbsp;']","['5,740', '&nbsp;']","['9,670', '&nbsp;']","['10,941', '&nbsp;']","['3,134', '&nbsp;']","['13,613', '&nbsp;']","['16,266', '&nbsp;']","['16,438', '  ']","['15,074', '&nbsp;']"
1446,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['7,532', '&nbsp;']","['5,996', '&nbsp;']","['8,961', '&nbsp;']","['14,930', '&nbsp;']","['11,492', '&nbsp;']","['10,092', '&nbsp;']","['16,537', '&nbsp;']","['6,590', '  ']","['12,372', '&nbsp;']"
1446,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['2,080', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['618', '&nbsp;']","['1,915', '&nbsp;']","['1,477', '  ']","['896', '&nbsp;']"
1446,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['16,053', '&nbsp;']","['28,404', '&nbsp;']","['30,270', '&nbsp;']","['36,451', '&nbsp;']","['33,652', '&nbsp;']","['40,045', '&nbsp;']","['27,712', '  ']","['37,662', '&nbsp;']"
1446,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['3,512', 'i']"
1446,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['28,100', '&nbsp;']","['16,787', '&nbsp;']","['37,994', '&nbsp;']","['44,319', '&nbsp;']","['45,968', '&nbsp;']","['56,604', '&nbsp;']","['D', '&nbsp;']","['35,258', '  ']","['36,850', '&nbsp;']"
1446,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['36,061', '&nbsp;']","['22,352', '&nbsp;']","['36,485', '&nbsp;']","['41,866', '&nbsp;']","['39,237', '&nbsp;']","['23,995', '&nbsp;']","['51,377', '&nbsp;']","['41,166', '  ']","['38,582', '&nbsp;']"
