table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_all_sources,field_government_federal,field_government_state_and_local,field_institutional_funds_and_other_sourcesa
7865,r001,All institutions,All institutions,,,1,4902.6,104.7,857.6,3940.3
7865,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,4738.0,90.6,772.1,3875.2
7865,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,2769.2,68.3,714.3,1986.6
7865,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,1968.7,22.3,57.8,1888.6
7865,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,164.6,14.0,85.4,65.1
