table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_level_3,_b_institution_b_hierarchy_depth,field_rank,field_doctorate_recipients
11693,r001,All institutions (459 institutions),All institutions (459 institutions),,,1,-,19393
11693,r002,All institutions (459 institutions) -> From top 20 institutions,All institutions (459 institutions),From top 20 institutions,,2,-,5471
11693,r003,"All institutions (459 institutions) -> From top 20 institutions -> Purdue U., West Lafayette",All institutions (459 institutions),From top 20 institutions,"Purdue U., West Lafayette",3,1,448
11693,r004,"All institutions (459 institutions) -> From top 20 institutions -> U. Illinois, Urbana-Champaign",All institutions (459 institutions),From top 20 institutions,"U. Illinois, Urbana-Champaign",3,2,390
11693,r005,"All institutions (459 institutions) -> From top 20 institutions -> Texas A&M U., College Station",All institutions (459 institutions),From top 20 institutions,"Texas A&M U., College Station",3,3,375
11693,r006,All institutions (459 institutions) -> From top 20 institutions -> U. Florida,All institutions (459 institutions),From top 20 institutions,U. Florida,3,4,324
11693,r007,"All institutions (459 institutions) -> From top 20 institutions -> Ohio State U., Columbus",All institutions (459 institutions),From top 20 institutions,"Ohio State U., Columbus",3,5,316
11693,r008,"All institutions (459 institutions) -> From top 20 institutions -> U. Michigan, Ann Arbor",All institutions (459 institutions),From top 20 institutions,"U. Michigan, Ann Arbor",3,6,315
11693,r009,All institutions (459 institutions) -> From top 20 institutions -> Massachusetts Institute of Technology,All institutions (459 institutions),From top 20 institutions,Massachusetts Institute of Technology,3,7,272
11693,r010,All institutions (459 institutions) -> From top 20 institutions -> Georgia Institute of Technology,All institutions (459 institutions),From top 20 institutions,Georgia Institute of Technology,3,8,263
11693,r011,All institutions (459 institutions) -> From top 20 institutions -> U. Wisconsin-Madison,All institutions (459 institutions),From top 20 institutions,U. Wisconsin-Madison,3,9,249
11693,r012,"All institutions (459 institutions) -> From top 20 institutions -> U. California, Los Angeles",All institutions (459 institutions),From top 20 institutions,"U. California, Los Angeles",3,10,242
11693,r013,All institutions (459 institutions) -> From top 20 institutions -> U. Southern California,All institutions (459 institutions),From top 20 institutions,U. Southern California,3,11,241
11693,r014,All institutions (459 institutions) -> From top 20 institutions -> Columbia U. in the City of New York,All institutions (459 institutions),From top 20 institutions,Columbia U. in the City of New York,3,12,236
11693,r015,"All institutions (459 institutions) -> From top 20 institutions -> U. Minnesota, Twin Cities",All institutions (459 institutions),From top 20 institutions,"U. Minnesota, Twin Cities",3,13,233
11693,r016,"All institutions (459 institutions) -> From top 20 institutions -> Arizona State U., Tempe",All institutions (459 institutions),From top 20 institutions,"Arizona State U., Tempe",3,14,230
11693,r017,All institutions (459 institutions) -> From top 20 institutions -> Harvard U.,All institutions (459 institutions),From top 20 institutions,Harvard U.,3,14,230
11693,r018,All institutions (459 institutions) -> From top 20 institutions -> North Carolina State U.,All institutions (459 institutions),From top 20 institutions,North Carolina State U.,3,16,229
11693,r019,"All institutions (459 institutions) -> From top 20 institutions -> U. California, Berkeley",All institutions (459 institutions),From top 20 institutions,"U. California, Berkeley",3,17,228
11693,r020,All institutions (459 institutions) -> From top 20 institutions -> Cornell U.,All institutions (459 institutions),From top 20 institutions,Cornell U.,3,18,223
11693,r021,"All institutions (459 institutions) -> From top 20 institutions -> U. Texas, Austin",All institutions (459 institutions),From top 20 institutions,"U. Texas, Austin",3,19,214
11693,r022,"All institutions (459 institutions) -> From top 20 institutions -> U. Maryland, College Park",All institutions (459 institutions),From top 20 institutions,"U. Maryland, College Park",3,20,213
