table_id,row_id,directorate,field_of_degree,u_s_citizens_and_permanent_residents,temporary_visa_holder
12403,r001,Biological Sciences (BIO),Total,73,27
12403,r002,,Agricultural sciences and natural resources,60,40
12403,r003,,"Bioinformatics, biostatistics, and computational biology",63,37
12403,r004,,Biochemistry,69,31
12403,r005,,Neurosciences and neurobiology,81,19
12403,r006,,Cell molecular biology,76,24
12403,r007,,Microbiology,84,16
12403,r008,,Other biological sciences,76,24
12403,r009,Computer and Information Science and Engineering (CISE),Total,33,67
12403,r010,,Computer engineering,28,72
12403,r011,,Computer science,38,62
12403,r012,,Computer and information sciences,31,69
12403,r013,,Information science and systems,38,62
12403,r014,STEM Education (EDU),Total,86,14
12403,r015,,Education research,86,14
12403,r016,,Education administration,92,8
12403,r017,,Non-science and math education,84,16
12403,r018,,Science and math education,83,17
12403,r019,,Teacher education,84,16
12403,r020,,Other education,87,13
12403,r021,Engineering (ENG),Total,43,57
12403,r022,,Electrical engineering,30,70
12403,r023,,Mechanical engineering,45,55
12403,r024,,Bioengineering and biomedical engineering,71,29
12403,r025,,Civil engineering,33,67
12403,r026,,Materials science engineering,50,50
12403,r027,,Chemical engineering,50,50
12403,r028,,Other engineering,42,58
12403,r029,Geosciences (GEO),Total,64,36
12403,r030,,Earth sciences,62,38
12403,r031,,Atmospheric sciences,64,36
12403,r032,,Environmental science,67,33
12403,r033,,Ocean sciences,72,28
12403,r034,Mathematical and Physical Sciences (MPS),Total,56,44
12403,r035,,Chemistry,61,39
12403,r036,,Mathematics and statistics,46,54
12403,r037,,Physics and astronomy,61,39
12403,r038,,Materials sciences,48,52
12403,r039,"Social, Behavioral and Economic Sciences (SBE)",Total,76,24
12403,r040,,Psychology,91,9
12403,r041,,Economics,38,62
12403,r042,,Political science,72,28
12403,r043,,Sociology,82,18
12403,r044,,Other social sciences,75,25
