table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_public_institutions,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_public_institutions,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_public_institutions,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_public_institutions,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_public_institutions
8369,r001,All broad fields,All broad fields,,,1,760156,66.6,466613,64.1,293543,70.4,63328,52.8,30548,66.5
8369,r002,All broad fields -> Science,All broad fields,Science,,2,509784,64.8,305796,61.7,203988,69.4,37189,55.2,18728,66.6
8369,r003,All broad fields -> Science -> Agricultural and veterinary sciences,All broad fields,Science,Agricultural and veterinary sciences,3,11244,94.5,6801,94.1,4443,95.0,1595,87.9,902,88.2
8369,r004,All broad fields -> Science -> Biological and biomedical sciences,All broad fields,Science,Biological and biomedical sciences,3,100883,62.5,42728,59.1,58155,64.9,20245,48.1,8187,58.1
8369,r005,All broad fields -> Science -> Computer and information sciences,All broad fields,Science,Computer and information sciences,3,121730,68.1,102199,67.9,19531,69.0,880,55.3,457,76.8
8369,r006,"All broad fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All broad fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,12290,83.5,5520,88.5,6770,79.4,1797,68.6,2308,83.9
8369,r007,All broad fields -> Science -> Mathematics and statistics,All broad fields,Science,Mathematics and statistics,3,34258,62.8,20639,54.5,13619,75.5,1112,63.6,235,82.1
8369,r008,All broad fields -> Science -> Multidisciplinary and interdisciplinary studies,All broad fields,Science,Multidisciplinary and interdisciplinary studies,3,15768,64.4,11994,63.1,3774,68.5,878,63.2,816,64.6
8369,r009,All broad fields -> Science -> Natural resources and conservation,All broad fields,Science,Natural resources and conservation,3,13922,82.8,10012,80.4,3910,89.1,889,83.8,620,87.6
8369,r010,All broad fields -> Science -> Physical sciences,All broad fields,Science,Physical sciences,3,44141,72.6,6409,73.0,37732,72.6,6823,60.1,2895,65.8
8369,r011,All broad fields -> Science -> Psychology,All broad fields,Science,Psychology,3,73325,50.9,51878,45.1,21447,65.1,1325,56.1,803,71.5
8369,r012,All broad fields -> Science -> Social sciences,All broad fields,Science,Social sciences,3,82223,61.9,47616,58.6,34607,66.5,1645,50.2,1505,59.5
8369,r013,All broad fields -> Engineering,All broad fields,Engineering,,2,168050,70.5,95126,68.7,72924,72.9,8340,60.1,3992,75.2
8369,r014,"All broad fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All broad fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,7838,75.5,5065,72.5,2773,81.1,277,59.6,144,85.4
8369,r015,"All broad fields -> Engineering -> Biological, biomedical, and biosystems engineering",All broad fields,Engineering,"Biological, biomedical, and biosystems engineering",3,14059,59.4,5192,59.7,8867,59.2,1616,42.8,589,56.0
8369,r016,"All broad fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All broad fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,10696,69.8,2983,67.1,7713,70.8,1167,58.4,307,72.6
8369,r017,"All broad fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All broad fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,19608,78.3,11730,77.4,7878,79.7,968,70.7,479,83.7
8369,r018,"All broad fields -> Engineering -> Electrical, electronics, communications and computer engineering",All broad fields,Engineering,"Electrical, electronics, communications and computer engineering",3,45265,67.5,27695,63.5,17570,73.7,1275,62.3,755,75.0
8369,r019,"All broad fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All broad fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,15870,64.0,11949,59.3,3921,78.4,127,63.0,107,64.5
8369,r020,All broad fields -> Engineering -> Mechanical engineering,All broad fields,Engineering,Mechanical engineering,3,27258,71.3,15718,70.2,11540,72.9,1200,63.9,529,81.9
8369,r021,"All broad fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All broad fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,7422,78.0,2518,77.8,4904,78.1,562,63.3,259,83.8
8369,r022,All broad fields -> Engineering -> Other engineering,All broad fields,Engineering,Other engineering,3,20034,77.1,12276,79.8,7758,72.9,1148,69.3,823,77.9
8369,r023,All broad fields -> Health,All broad fields,Health,,2,82322,69.5,65691,68.7,16631,72.5,17799,44.5,7828,61.6
8369,r024,All broad fields -> Health -> Clinical medicine<sup>a</sup>,All broad fields,Health,Clinical medicine<sup>a</sup>,3,39633,63.4,34021,62.3,5612,69.7,15561,39.0,6751,57.8
8369,r025,All broad fields -> Health -> Other health,All broad fields,Health,Other health,3,42689,75.2,31670,75.7,11019,74.0,2238,82.4,1077,85.3
