table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_sales_r_d_performers_or_fundersa_worldwide,field_sales_r_d_performers_or_fundersa_domestic,field_sales_r_d_performers_or_fundersa_foreign,field_sales_domestic_r_d_performersb_worldwide,field_sales_domestic_r_d_performersb_domestic,field_sales_domestic_r_d_performersb_foreign
2037,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['12,948,005', '  ']","['9,682,692', '  ']","['3,265,314', '  ']","['12,445,698', '  ']","['9,278,005', '  ']","['3,167,692', '  ']"
2037,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['7,593,041', '  ']","['5,423,997', '  ']","['2,169,044', '  ']","['7,476,731', '  ']","['5,345,784', '  ']","['2,130,946', '  ']"
2037,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['844,347', '  ']","['647,782', '  ']","['196,565', '  ']","['840,210', '  ']","['643,675', '  ']","['196,535', '  ']"
2037,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['251,654', '  ']","['150,683', '  ']","['100,971', '  ']","['215,582', '  ']","['150,540', '  ']","['65,042', '  ']"
2037,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['104,261', '  ']","['81,151', '  ']","['23,109', '  ']","['102,856', '  ']","['79,903', '  ']","['22,954', '  ']"
2037,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['28,458', '  ']","['27,589', '  ']","['869', '  ']","['27,971', '  ']","['27,103', '  ']","['869', '  ']"
2037,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['225,561', '  ']","['166,833', '  ']","['58,728', '  ']","['223,806', '  ']","['165,107', '  ']","['58,699', '  ']"
2037,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['48,808', '  ']","['40,404', '  ']","['8,404', '  ']","['48,665', '  ']","['40,261', '  ']","['8,404', '  ']"
2037,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['289,120', '  ']","['233,600', '  ']","['55,520', '  ']","['289,118', '  ']","['233,597', '  ']","['55,520', '  ']"
2037,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,303,635', '  ']","['901,859', '  ']","['401,776', '  ']","['1,298,828', '  ']","['897,168', '  ']","['401,661', '  ']"
2037,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['220,526', '  ']","['158,316', '  ']","['62,210', '  ']","['220,440', '  ']","['158,230', '  ']","['62,210', '  ']"
2037,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['61,672', '  ']","['43,430', '  ']","['18,242', '  ']","['61,359', '  ']","['43,132', '  ']","['18,227', '  ']"
2037,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['80,558', '  ']","['69,085', '  ']","['11,473', '  ']","['80,381', '  ']","['68,909', '  ']","['11,473', '  ']"
2037,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['639,147', '  ']","['466,391', '  ']","['172,755', '  ']","['636,860', '  ']","['464,105', '  ']","['172,755', '  ']"
2037,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['194,579', '  ']","['98,208', '  ']","['96,371', '  ']","['194,426', '  ']","['98,055', '  ']","['96,371', '  ']"
2037,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['107,153', '  ']","['66,428', '  ']","['40,725', '  ']","['105,362', '  ']","['64,738', '  ']","['40,624', '  ']"
2037,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['265,955', '  ']","['187,102', '  ']","['78,853', '  ']","['262,721', '  ']","['184,101', '  ']","['78,620', '  ']"
2037,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['56,954', '  ']","['45,621', '  ']","['11,333', '  ']","['52,665', '  ']","['41,332', '  ']","['11,333', '  ']"
2037,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['117,039', '  ']","['91,446', '  ']","['25,593', '  ']","['109,632', '  ']","['85,183', '  ']","['24,449', '  ']"
2037,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['142,711', '  ']","['111,740', '  ']","['30,971', '  ']","['141,434', '  ']","['110,592', '  ']","['30,842', '  ']"
