table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_designed_goods_that_were_contracted_out_number_yes,field_designed_goods_that_were_contracted_out_number_no,field_designed_goods_that_were_contracted_out_percent_yes,field_designed_goods_that_were_contracted_out_percent_no
11273,r001,All companies,All companies,,,1,"['169,829', '&nbsp;']","['100,089', '&nbsp;']","['69,740', '&nbsp;']","['59.0', '&nbsp;']","['41.0', '&nbsp;']"
11273,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11273,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['79,914', '&nbsp;']","['46,681', '&nbsp;']","['33,233', '&nbsp;']","['58.5', '&nbsp;']","['41.5', '&nbsp;']"
11273,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['34,816', '&nbsp;']","['20,363', '&nbsp;']","['14,453', '&nbsp;']","['58.5', '&nbsp;']","['41.5', '&nbsp;']"
11273,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11273,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['22,647', '&nbsp;']","['13,536', '&nbsp;']","['9,111', '&nbsp;']","['59.8', '&nbsp;']","['40.2', '&nbsp;']"
11273,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['18,014', '&nbsp;']","['10,375', '&nbsp;']","['7,639', '&nbsp;']","['57.6', '&nbsp;']","['42.4', '&nbsp;']"
11273,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11273,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['6,510', '&nbsp;']","['3,866', '&nbsp;']","['2,644', '&nbsp;']","['59.4', '&nbsp;']","['40.6', '&nbsp;']"
11273,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['4,641', '&nbsp;']","['2,889', '&nbsp;']","['1,752', '&nbsp;']","['62.2', '&nbsp;']","['37.8', '&nbsp;']"
11273,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11273,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['1,381', '&nbsp;']","['990', '&nbsp;']","['391', '&nbsp;']","['71.7', '&nbsp;']","['28.3', '&nbsp;']"
11273,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['891', '&nbsp;']","['619', '&nbsp;']","['272', '&nbsp;']","['69.5', '&nbsp;']","['30.5', '&nbsp;']"
11273,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['633', '&nbsp;']","['454', '&nbsp;']","['179', '&nbsp;']","['71.7', '&nbsp;']","['28.3', '&nbsp;']"
11273,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['191', '&nbsp;']","['165', '&nbsp;']","['26', '&nbsp;']","['86.4', 'r']","['13.6', '&nbsp;']"
11273,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['118', '&nbsp;']","['94', '&nbsp;']","['24', '&nbsp;']","['80.0', '&nbsp;']","['20.0', '&nbsp;']"
11273,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['69', '&nbsp;']","['54', '&nbsp;']","['15', '&nbsp;']","['78.3', '&nbsp;']","['21.7', '&nbsp;']"
