table_id,row_id,sex_and_institution_full_path,sex_and_institution_level_1,sex_and_institution_level_2,sex_and_institution_level_3,sex_and_institution_level_4,sex_and_institution_hierarchy_depth,field_associate_s_degrees
1140,r001,Female,Female,,,,1,
1140,r002,Female -> All institutions,Female,All institutions,,,2,739989
1140,r003,Female -> All institutions -> Top 50 institutions,Female,All institutions,Top 50 institutions,,3,180248
1140,r004,"Female -> All institutions -> Top 50 institutions -> U. Phoenix, Online",Female,All institutions,Top 50 institutions,"U. Phoenix, Online",4,24313
1140,r005,"Female -> All institutions -> Top 50 institutions -> U. Phoenix, Arizona",Female,All institutions,Top 50 institutions,"U. Phoenix, Arizona",4,17059
1140,r006,Female -> All institutions -> Top 50 institutions -> Ivy Tech Community C.,Female,All institutions,Top 50 institutions,Ivy Tech Community C.,4,9326
1140,r007,"Female -> All institutions -> Top 50 institutions -> Keiser U., Fort Lauderdale",Female,All institutions,Top 50 institutions,"Keiser U., Fort Lauderdale",4,7709
1140,r008,"Female -> All institutions -> Top 50 institutions -> Ultimate Medical Academy, Tampa",Female,All institutions,Top 50 institutions,"Ultimate Medical Academy, Tampa",4,6925
1140,r009,Female -> All institutions -> Top 50 institutions -> Tidewater Community C.,Female,All institutions,Top 50 institutions,Tidewater Community C.,4,5230
1140,r010,Female -> All institutions -> Top 50 institutions -> Northern Virginia Community C.,Female,All institutions,Top 50 institutions,Northern Virginia Community C.,4,4672
1140,r011,"Female -> All institutions -> Top 50 institutions -> Kaplan U., Davenport",Female,All institutions,Top 50 institutions,"Kaplan U., Davenport",4,4449
1140,r012,Female -> All institutions -> Top 50 institutions -> ECPI U.,Female,All institutions,Top 50 institutions,ECPI U.,4,4400
1140,r013,"Female -> All institutions -> Top 50 institutions -> Los Rios Community C. District, American River C.",Female,All institutions,Top 50 institutions,"Los Rios Community C. District, American River C.",4,4388
1140,r014,"Female -> All institutions -> Top 50 institutions -> San Joaquin Valley C., Visalia",Female,All institutions,Top 50 institutions,"San Joaquin Valley C., Visalia",4,4200
1140,r015,Female -> All institutions -> Top 50 institutions -> Sierra C.,Female,All institutions,Top 50 institutions,Sierra C.,4,3913
1140,r016,Female -> All institutions -> Top 50 institutions -> Santa Rosa Jr. C.,Female,All institutions,Top 50 institutions,Santa Rosa Jr. C.,4,3557
1140,r017,Female -> All institutions -> Top 50 institutions -> East Los Angeles C.,Female,All institutions,Top 50 institutions,East Los Angeles C.,4,3536
1140,r018,Female -> All institutions -> Top 50 institutions -> Colorado Technical U.,Female,All institutions,Top 50 institutions,Colorado Technical U.,4,3498
1140,r019,Female -> All institutions -> Top 50 institutions -> Citrus C.,Female,All institutions,Top 50 institutions,Citrus C.,4,3182
1140,r020,"Female -> All institutions -> Top 50 institutions -> DeVry U., Chicago",Female,All institutions,Top 50 institutions,"DeVry U., Chicago",4,2914
1140,r021,Female -> All institutions -> Top 50 institutions -> Moraine Valley Community C.,Female,All institutions,Top 50 institutions,Moraine Valley Community C.,4,2910
1140,r022,Female -> All institutions -> Top 50 institutions -> Palomar C.,Female,All institutions,Top 50 institutions,Palomar C.,4,2858
1140,r023,Female -> All institutions -> Top 50 institutions -> San Jacinto Community C.,Female,All institutions,Top 50 institutions,San Jacinto Community C.,4,2838
1140,r024,Female -> All institutions -> Top 50 institutions -> San Joaquin Delta C.,Female,All institutions,Top 50 institutions,San Joaquin Delta C.,4,2657
1140,r025,Female -> All institutions -> Top 50 institutions -> Asa C.,Female,All institutions,Top 50 institutions,Asa C.,4,2638
1140,r026,Female -> All institutions -> Top 50 institutions -> Sacramento City C.,Female,All institutions,Top 50 institutions,Sacramento City C.,4,2445
1140,r027,Female -> All institutions -> Top 50 institutions -> Mt San Antonio C.,Female,All institutions,Top 50 institutions,Mt San Antonio C.,4,2427
1140,r028,Female -> All institutions -> Top 50 institutions -> Baker C.,Female,All institutions,Top 50 institutions,Baker C.,4,2426
1140,r029,Female -> All institutions -> Top 50 institutions -> San Jacinto Community C. District,Female,All institutions,Top 50 institutions,San Jacinto Community C. District,4,2240
1140,r030,Female -> All institutions -> Top 50 institutions -> City C. of San Francisco,Female,All institutions,Top 50 institutions,City C. of San Francisco,4,2178
1140,r031,Female -> All institutions -> Top 50 institutions -> Butte C.,Female,All institutions,Top 50 institutions,Butte C.,4,2144
1140,r032,Female -> All institutions -> Top 50 institutions -> South Texas C.,Female,All institutions,Top 50 institutions,South Texas C.,4,2139
1140,r033,"Female -> All institutions -> Top 50 institutions -> Rasmussen C., Minnesota",Female,All institutions,Top 50 institutions,"Rasmussen C., Minnesota",4,2043
1140,r034,Female -> All institutions -> Top 50 institutions -> Antelope Valley C.,Female,All institutions,Top 50 institutions,Antelope Valley C.,4,2029
1140,r035,Female -> All institutions -> Top 50 institutions -> Santa Barbara City C.,Female,All institutions,Top 50 institutions,Santa Barbara City C.,4,1993
1140,r036,"Female -> All institutions -> Top 50 institutions -> Harrison C., Indianapolis",Female,All institutions,Top 50 institutions,"Harrison C., Indianapolis",4,1990
1140,r037,Female -> All institutions -> Top 50 institutions -> Tulsa Community C.,Female,All institutions,Top 50 institutions,Tulsa Community C.,4,1916
1140,r038,Female -> All institutions -> Top 50 institutions -> De Anza C.,Female,All institutions,Top 50 institutions,De Anza C.,4,1902
1140,r039,Female -> All institutions -> Top 50 institutions -> Diablo Valley C.,Female,All institutions,Top 50 institutions,Diablo Valley C.,4,1860
1140,r040,"Female -> All institutions -> Top 50 institutions -> CUNY, LaGuardia Community C.",Female,All institutions,Top 50 institutions,"CUNY, LaGuardia Community C.",4,1846
1140,r041,Female -> All institutions -> Top 50 institutions -> Orange Coast C.,Female,All institutions,Top 50 institutions,Orange Coast C.,4,1844
1140,r042,Female -> All institutions -> Top 50 institutions -> C. Southern Nevada,Female,All institutions,Top 50 institutions,C. Southern Nevada,4,1822
1140,r043,Female -> All institutions -> Top 50 institutions -> Sinclair Community C.,Female,All institutions,Top 50 institutions,Sinclair Community C.,4,1788
1140,r044,Female -> All institutions -> Top 50 institutions -> Essex County C.,Female,All institutions,Top 50 institutions,Essex County C.,4,1708
1140,r045,Female -> All institutions -> Top 50 institutions -> McCann School of Business and Technology,Female,All institutions,Top 50 institutions,McCann School of Business and Technology,4,1708
1140,r046,"Female -> All institutions -> Top 50 institutions -> Foothill-De Anza Community C. District, Foothill C.",Female,All institutions,Top 50 institutions,"Foothill-De Anza Community C. District, Foothill C.",4,1698
1140,r047,"Female -> All institutions -> Top 50 institutions -> Southwestern C., Chula Vista",Female,All institutions,Top 50 institutions,"Southwestern C., Chula Vista",4,1610
1140,r048,Female -> All institutions -> Top 50 institutions -> C. Dupage,Female,All institutions,Top 50 institutions,C. Dupage,4,1577
1140,r049,Female -> All institutions -> Top 50 institutions -> Waubonsee Community C.,Female,All institutions,Top 50 institutions,Waubonsee Community C.,4,1572
1140,r050,Female -> All institutions -> Top 50 institutions -> C. of the Canyons,Female,All institutions,Top 50 institutions,C. of the Canyons,4,1571
1140,r051,Female -> All institutions -> Top 50 institutions -> Modesto Jr. C.,Female,All institutions,Top 50 institutions,Modesto Jr. C.,4,1565
