table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_level_6,sex_and_field_level_7,sex_and_field_level_8,sex_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1561,r001,Both sexes,Both sexes,,,,,,,,1,,,,,,,,,,,,,,,,,,
1561,r002,Both sexes -> All fields,Both sexes,All fields,,,,,,,2,1254618,1260308,1308970,1365694,1417421,1456401,1502922,1541704,1580413,1619028,1668227,1734229,1811404,1861034,1890941,1916129,1942140,1973112
1561,r003,Both sexes -> All fields -> S&E,Both sexes,All fields,S&E,,,,,,3,398602,400435,415983,442755,458658,470214,478858,485772,496168,505435,525374,554365,589567,615475,635915,650057,666157,684557
1561,r004,Both sexes -> All fields -> S&E -> Engineering,Both sexes,All fields,S&E,Engineering,,,,,4,59487,59214,60605,63789,64680,66152,68227,68274,69908,70600,74399,78099,83263,87812,93950,99906,108976,117927
1561,r005,Both sexes -> All fields -> S&E -> Engineering -> Aerospace,Both sexes,All fields,S&E,Engineering,Aerospace,,,,5,1267,1498,1747,2017,2318,2384,2753,2828,2934,3037,3207,3342,3545,3490,3565,3871,3874,4021
1561,r006,Both sexes -> All fields -> S&E -> Engineering -> Chemical,Both sexes,All fields,S&E,Engineering,Chemical,,,,5,6219,6088,5946,5545,5185,4889,4857,5081,5504,5894,6692,7535,8344,8917,9706,10837,12125,13327
1561,r007,Both sexes -> All fields -> S&E -> Engineering -> Civil,Both sexes,All fields,S&E,Engineering,Civil,,,,5,9571,8949,8891,9367,9400,9800,10663,11318,12243,12787,13482,14840,15175,15882,15551,15374,16013,16398
1561,r008,Both sexes -> All fields -> S&E -> Engineering -> Electrical,Both sexes,All fields,S&E,Engineering,Electrical,,,,5,17675,18359,18957,20757,21374,21459,19933,18547,17357,16184,16290,16485,17380,18412,19991,21357,23416,25715
1561,r009,Both sexes -> All fields -> S&E -> Engineering -> Industrial,Both sexes,All fields,S&E,Engineering,Industrial,,,,5,3937,3812,3977,3937,3808,3936,3890,3529,3566,3879,4184,4293,4689,4779,5323,5813,6339,6906
1561,r010,Both sexes -> All fields -> S&E -> Engineering -> Materials,Both sexes,All fields,S&E,Engineering,Materials,,,,5,972,930,933,950,865,906,1006,1025,1150,1070,1138,1140,1322,1448,1513,1687,1891,1968
1561,r011,Both sexes -> All fields -> S&E -> Engineering -> Mechanical,Both sexes,All fields,S&E,Engineering,Mechanical,,,,5,13091,13139,13353,14029,14342,14880,16163,16911,17685,17643,18858,19470,20889,22300,24679,26742,29589,32747
1561,r012,Both sexes -> All fields -> S&E -> Engineering -> Other,Both sexes,All fields,S&E,Engineering,Other,,,,5,6755,6439,6801,7187,7388,7898,8962,9035,9469,10106,10548,10994,11919,12584,13622,14225,15729,16845
1561,r013,Both sexes -> All fields -> S&E -> Science,Both sexes,All fields,S&E,Science,,,,,4,339115,341221,355378,378966,393978,404062,410631,417498,426260,434835,450975,476266,506304,527663,541965,550151,557181,566630
1561,r014,Both sexes -> All fields -> S&E -> Science -> Natural sciences,Both sexes,All fields,S&E,Science,Natural sciences,,,,5,150962,152623,158975,170068,173633,173460,173966,176275,177601,181914,190158,202517,219093,233032,245624,257665,269121,281498
1561,r015,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Agricultural sciences,Both sexes,All fields,S&E,Science,Natural sciences,Agricultural sciences,,,6,18245,17465,17359,17703,17058,17120,17307,17696,18474,19152,20400,22759,25060,27609,28796,29460,30540,31089
