table_id,row_id,federal_agency_full_path,federal_agency_level_1,federal_agency_level_2,federal_agency_hierarchy_depth,field_r_d_expenditures
2784,r001,All federal agencies,All federal agencies,,1,22338855
2784,r002,All federal agencies -> Agency for International Development,All federal agencies,Agency for International Development,2,5854
2784,r003,All federal agencies -> Central Intelligence Agency,All federal agencies,Central Intelligence Agency,2,1401
2784,r004,All federal agencies -> Consumer Financial Protection Bureau,All federal agencies,Consumer Financial Protection Bureau,2,197
2784,r005,All federal agencies -> Department of Agriculture,All federal agencies,Department of Agriculture,2,4454
2784,r006,All federal agencies -> Department of Commerce,All federal agencies,Department of Commerce,2,91371
2784,r007,All federal agencies -> Department of Defense,All federal agencies,Department of Defense,2,5039345
2784,r008,All federal agencies -> Department of Energy,All federal agencies,Department of Energy,2,11417801
2784,r009,All federal agencies -> Department of Health and Human Services,All federal agencies,Department of Health and Human Services,2,1041189
2784,r010,All federal agencies -> Department of Homeland Security,All federal agencies,Department of Homeland Security,2,511475
2784,r011,All federal agencies -> Department of Justice,All federal agencies,Department of Justice,2,25380
2784,r012,All federal agencies -> Department of State,All federal agencies,Department of State,2,68158
2784,r013,All federal agencies -> Department of the Interior,All federal agencies,Department of the Interior,2,9301
2784,r014,All federal agencies -> Department of the Treasury,All federal agencies,Department of the Treasury,2,99091
2784,r015,All federal agencies -> Department of Transportation,All federal agencies,Department of Transportation,2,200993
2784,r016,All federal agencies -> Department of Veterans Affairs,All federal agencies,Department of Veterans Affairs,2,88437
2784,r017,All federal agencies -> Environmental Protection Agency,All federal agencies,Environmental Protection Agency,2,4848
2784,r018,All federal agencies -> Federal Deposit Insurance Corporation,All federal agencies,Federal Deposit Insurance Corporation,2,99
2784,r019,All federal agencies -> General Services Administration,All federal agencies,General Services Administration,2,1896
2784,r020,All federal agencies -> Library of Congress,All federal agencies,Library of Congress,2,117
2784,r021,All federal agencies -> National Aeronautics and Space Administration,All federal agencies,National Aeronautics and Space Administration,2,2889883
2784,r022,All federal agencies -> National Credit Union Administration,All federal agencies,National Credit Union Administration,2,464
2784,r023,All federal agencies -> National Science Foundation,All federal agencies,National Science Foundation,2,288256
2784,r024,All federal agencies -> National Transportation Safety Board,All federal agencies,National Transportation Safety Board,2,2
2784,r025,All federal agencies -> Nuclear Regulatory Commission,All federal agencies,Nuclear Regulatory Commission,2,44044
2784,r026,All federal agencies -> Office of the Director of National Intelligence,All federal agencies,Office of the Director of National Intelligence,2,18353
2784,r027,All federal agencies -> Smithsonian Institution,All federal agencies,Smithsonian Institution,2,29
2784,r028,All federal agencies -> U.S. Postal Service,All federal agencies,U.S. Postal Service,2,2152
2784,r029,All federal agencies -> United States Courts,All federal agencies,United States Courts,2,7331
2784,r030,All federal agencies -> Other agencies not listed,All federal agencies,Other agencies not listed,2,476934
