table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_grants_number,field_research_grants_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
8319,r001,All surveyed fields,All surveyed fields,,,1,63328,6519,10.3,38697,61.1,3645,5.8,14467,22.8
8319,r002,All surveyed fields -> Science,All surveyed fields,Science,,2,37189,3683,9.9,24014,64.6,1608,4.3,7884,21.2
8319,r003,All surveyed fields -> Science -> Agricultural and veterinary sciences,All surveyed fields,Science,Agricultural and veterinary sciences,3,1595,75,4.7,966,60.6,94,5.9,460,28.8
8319,r004,All surveyed fields -> Science -> Biological and biomedical sciences,All surveyed fields,Science,Biological and biomedical sciences,3,20245,1851,9.1,13275,65.6,1047,5.2,4072,20.1
8319,r005,All surveyed fields -> Science -> Computer and information sciences,All surveyed fields,Science,Computer and information sciences,3,880,99,11.3,594,67.5,17,1.9,170,19.3
8319,r006,"All surveyed fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All surveyed fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,1797,211,11.7,1213,67.5,20,1.1,353,19.6
8319,r007,All surveyed fields -> Science -> Mathematics and statistics,All surveyed fields,Science,Mathematics and statistics,3,1112,178,16.0,428,38.5,73,6.6,433,38.9
8319,r008,All surveyed fields -> Science -> Multidisciplinary and interdisciplinary studies,All surveyed fields,Science,Multidisciplinary and interdisciplinary studies,3,878,103,11.7,509,58.0,42,4.8,224,25.5
8319,r009,All surveyed fields -> Science -> Natural resources and conservation,All surveyed fields,Science,Natural resources and conservation,3,889,59,6.6,624,70.2,26,2.9,180,20.2
8319,r010,All surveyed fields -> Science -> Physical sciences,All surveyed fields,Science,Physical sciences,3,6823,631,9.2,4883,71.6,113,1.7,1196,17.5
8319,r011,All surveyed fields -> Science -> Psychology,All surveyed fields,Science,Psychology,3,1325,179,13.5,766,57.8,105,7.9,275,20.8
8319,r012,All surveyed fields -> Science -> Social sciences,All surveyed fields,Science,Social sciences,3,1645,297,18.1,756,46.0,71,4.3,521,31.7
8319,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,2,8340,756,9.1,6057,72.6,115,1.4,1412,16.9
8319,r014,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,277,26,9.4,170,61.4,1,0.4,80,28.9
8319,r015,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",3,1616,150,9.3,1147,71.0,55,3.4,264,16.3
8319,r016,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",3,1167,131,11.2,807,69.2,24,2.1,205,17.6
8319,r017,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",3,968,81,8.4,729,75.3,6,0.6,152,15.7
8319,r018,"All surveyed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All surveyed fields,Engineering,"Electrical, electronics, communications and computer engineering",3,1275,105,8.2,939,73.6,13,1.0,218,17.1
8319,r019,"All surveyed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All surveyed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",3,127,14,11.0,84,66.1,0,0.0,29,22.8
8319,r020,All surveyed fields -> Engineering -> Mechanical engineering,All surveyed fields,Engineering,Mechanical engineering,3,1200,138,11.5,848,70.7,11,0.9,203,16.9
8319,r021,"All surveyed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All surveyed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",3,562,35,6.2,413,73.5,0,0.0,114,20.3
8319,r022,All surveyed fields -> Engineering -> Other engineering,All surveyed fields,Engineering,Other engineering,3,1148,76,6.6,920,80.1,5,0.4,147,12.8
8319,r023,All surveyed fields -> Health,All surveyed fields,Health,,2,17799,2080,11.7,8626,48.5,1922,10.8,5171,29.1
8319,r024,All surveyed fields -> Health -> Clinical medicine<sup>a</sup>,All surveyed fields,Health,Clinical medicine<sup>a</sup>,3,15561,1800,11.6,7441,47.8,1707,11.0,4613,29.6
8319,r025,All surveyed fields -> Health -> Other health,All surveyed fields,Health,Other health,3,2238,280,12.5,1185,52.9,215,9.6,558,24.9
