table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_astronomy,field_chemistry,field_physics,field_other_physical_sciences
6359,r001,All agencies,All agencies,,,,,1,8419870.0,871340.8,1143827.0,3577082.3,2827620.0
6359,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,
6359,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,100224.6,0.0,97149.8,3074.8,0.0
6359,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,82251.5,0.0,79176.7,3074.8,0.0
6359,r005,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,4779.7,0.0,4779.7,0.0,0.0
6359,r006,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,13193.4,0.0,13193.4,0.0,0.0
6359,r007,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,263059.8,142.9,48071.1,210782.0,4063.9
6359,r008,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,238872.8,142.9,46210.1,188456.0,4063.9
6359,r009,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,24187.0,0.0,1861.0,22326.0,0.0
6359,r010,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,688787.7,4488.1,181407.4,322981.6,179910.7
6359,r011,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,59945.5,0.0,550.0,58862.0,533.6
6359,r012,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,237569.0,3822.9,13551.2,144937.2,75257.7
6359,r013,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,44603.1,0.0,17060.5,23844.2,3698.4
6359,r014,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,84111.3,665.1,11810.5,14526.9,57108.7
6359,r015,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,262558.7,0.0,138435.1,80811.2,43312.4
6359,r016,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,4473509.1,0.0,424544.3,2732596.9,1316368.0
6359,r017,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,36414.2,0.0,0.0,36414.2,0.0
6359,r018,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,136344.2,0.0,136344.2,0.0,0.0
6359,r019,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,954613.2,0.0,17055.8,794839.6,142717.9
6359,r020,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,758802.5,0.0,0.0,727446.4,31356.1
6359,r021,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,195810.7,0.0,17055.8,67393.2,111361.7
6359,r022,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,3346137.5,0.0,271144.3,1901343.1,1173650.1
