table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female
9865,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['38,962', '&nbsp;']","['30,340', '&nbsp;']","['8,622', '&nbsp;']"
9865,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['4,686', '&nbsp;']","['3,735', '&nbsp;']","['951', '&nbsp;']"
9865,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['89', 'r']","['79', 'r']","['10', 'r']"
9865,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['25', '&nbsp;']","['21', '&nbsp;']","['4', '&nbsp;']"
9865,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['6', '&nbsp;']","['4', '&nbsp;']","['1', '&nbsp;']"
9865,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9865,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9865,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['9', '&nbsp;']","['7', '&nbsp;']","['1', '&nbsp;']"
9865,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['607', '&nbsp;']","['438', '&nbsp;']","['169', '&nbsp;']"
9865,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['296', '&nbsp;']","['201', '&nbsp;']","['95', '&nbsp;']"
9865,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['311', '&nbsp;']","['237', '&nbsp;']","['74', '&nbsp;']"
9865,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['29', '&nbsp;']","['26', '&nbsp;']","['3', '&nbsp;']"
9865,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['24', '&nbsp;']","['23', '&nbsp;']","['1', '&nbsp;']"
9865,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['11', 'r']","['7', '&nbsp;']","['4', 'r']"
9865,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['159', 'r']","['156', 'r']","['3', '&nbsp;']"
9865,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['512', '&nbsp;']","['422', '&nbsp;']","['90', '&nbsp;']"
9865,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['1,950', '&nbsp;']","['1,582', '&nbsp;']","['368', '&nbsp;']"
