table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
12658,r001,All R&D fields,All R&D fields,,,,1,37477582,40768251,40142223,39445931,37961118,37846802,38787982,40248055,41860383,44460361,46106870,49117850,53974897,59603993
12658,r002,All R&D fields -> Science,All R&D fields,Science,,,2,30791579,33373047,32497010,31764798,30400058,30316969,31092374,32203390,33519092,35549478,36749644,39048571,42723833,46947867
12658,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1175343,1294280,1360430,1552300,1390677,1419654,1443353,1497617,1629987,1794430,2000234,1995236,2160601,2417938
12658,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2013754,2181206,2203399,2094769,2049449,2065928,1991517,2042078,2048318,2067231,2108912,2144414,2440465,2693891
12658,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,338687,383740,389095,397620,389370,453694,513280,503371,485737,460464,470711,483964,528092,583161
12658,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,735094,799906,818785,767849,740590,699066,604482,685679,697980,676577,697201,772134,851764,921482
12658,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,666930,705852,673888,662219,663049,647098,664867,656536,649217,698405,713048,640213,785738,891194
12658,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,273043,291708,321631,267081,256440,266070,208888,196492,215384,231785,227952,248103,274871,298054
12658,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,21702125,23663408,22753602,22227173,21270352,21163876,21794958,22749389,23864617,25435400,26230572,28448591,30958946,33896235
12658,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,957710,1042740,1137729,1111006,1084890,1096949,977260,978310,950636,989766,1074030,1100603,1267486,1458868
12658,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,7579196,8213534,7741440,7604784,7238875,7103719,7699190,8179789,8572785,9261802,9337535,10006560,10934362,11753581
12658,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,12068659,13184595,12681515,12287305,11742489,11722981,12101219,12687853,13392951,14173059,14705970,16130296,17505745,19390822
12658,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,316604,271472,320399,369793,411178,430711,481915,512675
12658,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,1096560,1222539,1192918,1224078,1204098,1240227,700685,631965,627846,640980,701859,780421,769438,780289
12658,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,417775,458966,490534,464608,441383,424522,444385,437040,456773,466994,485550,475732,537338,661446
12658,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,3384275,3527330,3474586,3311054,3155599,3111777,3288043,3384753,3472520,3691494,3789953,3846606,4211858,4621763
12658,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,405954,408963,535180,400294,380884,403025,417930,441522,454476,514408,542868,509728,581674,659781
12658,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,1200120,1243767,1213495,1135108,1080513,1095296,1097416,1098004,1130042,1182601,1167364,1234985,1321823,1413489
12658,r019,All R&D fields -> Science -> Physical sciences -> Materials science<sup>a</sup>,All R&D fields,Science,Physical sciences,Materials science<sup>a</sup>,4,na,na,na,na,na,na,111806,142472,162048,165880,157056,174339,195404,205797
12658,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,1557421,1660377,1532612,1567937,1509916,1463084,1525610,1549412,1570667,1657808,1736203,1767509,1942446,2123118
12658,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,220780,214223,193299,207715,184286,150372,135281,153343,155287,170797,186462,160045,170511,219578
12658,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,758520,835448,859500,776402,752501,763632,765239,764703,760293,790261,808930,812460,876792,978784
12658,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,901009,947176,915874,897585,917670,921751,899551,932620,937702,938422,963623,949941,1074208,1202546
12658,r024,All R&D fields -> Science -> Social sciences -> Anthropology<sup>a</sup>,All R&D fields,Science,Social sciences,Anthropology<sup>a</sup>,4,na,na,na,na,na,na,39602,38712,43461,43001,38891,29484,40092,46631
12658,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,127858,148737,144446,137236,138806,149567,112576,110739,102144,91716,120987,138184,192678,206477
12658,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,152547,148643,141267,143356,145662,136482,103690,103869,98298,86702,78384,85375,95240,111794
12658,r027,"All R&D fields -> Science -> Social sciences -> Sociology, demography, and population studies",All R&D fields,Science,Social sciences,"Sociology, demography, and population studies",4,226462,232834,247739,237479,251800,262243,268823,280557,285140,289741,247835,227075,272658,317113
12658,r028,All R&D fields -> Science -> Social sciences -> Social sciences nec,All R&D fields,Science,Social sciences,Social sciences nec,4,394142,416962,382422,379514,381402,373459,374860,398743,408659,427262,477526,469823,473540,520531
12658,r029,All R&D fields -> Science -> Sciences nec,All R&D fields,Science,Sciences nec,,3,438778,465233,439085,440907,422427,445829,465328,395190,348882,365246,361870,375591,463625,475264
12658,r030,All R&D fields -> Engineering,All R&D fields,Engineering,,,2,5718852,6275548,6442986,6499575,6424206,6458636,6583092,6828730,7093485,7667982,8119690,8713379,9759899,10931327
12658,r031,"All R&D fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,466991,504536,501722,513134,474601,516035,623639,659883,678124,820576,956662,1110350,1246002,1425681
12658,r032,All R&D fields -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,Engineering,Bioengineering and biomedical engineering,,3,470432,515611,552555,556651,606940,606681,651544,725254,791877,879804,905901,960334,1100598,1198449
12658,r033,All R&D fields -> Engineering -> Chemical engineering,All R&D fields,Engineering,Chemical engineering,,3,421269,490918,504753,478542,471558,462813,467523,471758,461482,498228,521681,572091,646399,713248
12658,r034,All R&D fields -> Engineering -> Civil engineering,All R&D fields,Engineering,Civil engineering,,3,460880,544992,570303,578390,577958,570405,591848,557682,590891,621071,605902,664545,823619,929044
12658,r035,"All R&D fields -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,Engineering,"Electrical, electronic, and communications engineering",,3,1373311,1511458,1601917,1642771,1742317,1771541,1742716,1891364,1981195,2049405,2143819,2208478,2510415,2794497
12658,r036,All R&D fields -> Engineering -> Industrial and manufacturing engineering<sup>a</sup>,All R&D fields,Engineering,Industrial and manufacturing engineering<sup>a</sup>,,3,na,na,na,na,na,na,147193,186352,306763,366712,384724,384331,434473,481861
12658,r037,All R&D fields -> Engineering -> Mechanical engineering,All R&D fields,Engineering,Mechanical engineering,,3,953244,1032641,1035551,1061270,946699,957328,861067,937881,993253,1055683,1160467,1274074,1409635,1551973
12658,r038,All R&D fields -> Engineering -> Metallurgical and materials engineering,All R&D fields,Engineering,Metallurgical and materials engineering,,3,429412,455722,462246,465657,494403,501180,442377,440746,464470,483777,504491,559479,589113,693211
12658,r039,All R&D fields -> Engineering -> Engineering nec,All R&D fields,Engineering,Engineering nec,,3,1143313,1219670,1213939,1203160,1109730,1072653,1055185,957810,825430,892726,936043,979697,999645,1143363
12658,r040,All R&D fields -> Non-S&E,All R&D fields,Non-S&E,,,2,967151,1119656,1202227,1181558,1136854,1071197,1112516,1215935,1247806,1242901,1237536,1355900,1491165,1724799
12658,r041,All R&D fields -> Non-S&E -> Business management and business administration,All R&D fields,Non-S&E,Business management and business administration,,3,86440,99661,96659,95268,77292,69856,68285,69113,71785,73180,74141,97392,97921,109626
12658,r042,All R&D fields -> Non-S&E -> Communication and communications technologies,All R&D fields,Non-S&E,Communication and communications technologies,,3,41339,53266,53337,51060,54334,42461,36763,61310,34259,35640,39806,39465,42680,58280
12658,r043,All R&D fields -> Non-S&E -> Education,All R&D fields,Non-S&E,Education,,3,535744,632117,689060,666506,663543,644087,624514,653112,680407,668083,671646,699705,783552,890786
12658,r044,All R&D fields -> Non-S&E -> Humanities,All R&D fields,Non-S&E,Humanities,,3,57510,61420,67692,76804,75113,59961,57171,59051,49999,49806,53655,56682,68935,65170
12658,r045,All R&D fields -> Non-S&E -> Law,All R&D fields,Non-S&E,Law,,3,19338,27388,24575,22522,23731,24414,26082,33024,50926,31869,26695,28799,32389,35110
12658,r046,All R&D fields -> Non-S&E -> Social work,All R&D fields,Non-S&E,Social work,,3,94422,105661,109359,111693,109172,101662,95299,110678,114295,133068,140774,165256,182395,205510
12658,r047,All R&D fields -> Non-S&E -> Visual and performing arts,All R&D fields,Non-S&E,Visual and performing arts,,3,4843,6521,10435,7039,9049,8603,8585,8335,10797,9103,15119,11384,21183,20717
12658,r048,All R&D fields -> Non-S&E -> Non-S&E nec,All R&D fields,Non-S&E,Non-S&E nec,,3,127515,133622,151110,150666,124620,120153,195817,221312,235338,242152,215700,257217,262110,339600
