table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_level_3,_b_institution_b_hierarchy_depth,field_rank,field_doctorate_recipients
4647,r001,All institutions (449 institutions),All institutions (449 institutions),,,1,-,18482
4647,r002,All institutions (449 institutions) -> From top 20 institutions,All institutions (449 institutions),From top 20 institutions,,2,-,5397
4647,r003,"All institutions (449 institutions) -> From top 20 institutions -> Purdue U., West Lafayette",All institutions (449 institutions),From top 20 institutions,"Purdue U., West Lafayette",3,1,452
4647,r004,"All institutions (449 institutions) -> From top 20 institutions -> U. Illinois, Urbana-Champaign",All institutions (449 institutions),From top 20 institutions,"U. Illinois, Urbana-Champaign",3,2,394
4647,r005,"All institutions (449 institutions) -> From top 20 institutions -> Texas A&M U., College Station and Health Science Center",All institutions (449 institutions),From top 20 institutions,"Texas A&M U., College Station and Health Science Center",3,3,376
4647,r006,"All institutions (449 institutions) -> From top 20 institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions (449 institutions),From top 20 institutions,"Pennsylvania State U., University Park and Hershey Medical Center",3,4,322
4647,r007,"All institutions (449 institutions) -> From top 20 institutions -> U. Michigan, Ann Arbor",All institutions (449 institutions),From top 20 institutions,"U. Michigan, Ann Arbor",3,5,300
4647,r008,"All institutions (449 institutions) -> From top 20 institutions -> Ohio State U., Columbus",All institutions (449 institutions),From top 20 institutions,"Ohio State U., Columbus",3,6,275
4647,r009,All institutions (449 institutions) -> From top 20 institutions -> U. Florida,All institutions (449 institutions),From top 20 institutions,U. Florida,3,7,273
4647,r010,All institutions (449 institutions) -> From top 20 institutions -> Georgia Institute of Technology,All institutions (449 institutions),From top 20 institutions,Georgia Institute of Technology,3,8,261
4647,r011,All institutions (449 institutions) -> From top 20 institutions -> U. Wisconsin-Madison,All institutions (449 institutions),From top 20 institutions,U. Wisconsin-Madison,3,9,256
4647,r012,All institutions (449 institutions) -> From top 20 institutions -> Columbia U. in the City of New York,All institutions (449 institutions),From top 20 institutions,Columbia U. in the City of New York,3,10,255
4647,r013,All institutions (449 institutions) -> From top 20 institutions -> Massachusetts Institute of Technology,All institutions (449 institutions),From top 20 institutions,Massachusetts Institute of Technology,3,11,248
4647,r014,All institutions (449 institutions) -> From top 20 institutions -> U. Southern California,All institutions (449 institutions),From top 20 institutions,U. Southern California,3,12,237
4647,r015,"All institutions (449 institutions) -> From top 20 institutions -> U. Texas, Austin",All institutions (449 institutions),From top 20 institutions,"U. Texas, Austin",3,13,231
4647,r016,All institutions (449 institutions) -> From top 20 institutions -> Virginia Polytechnic Institute and State U.,All institutions (449 institutions),From top 20 institutions,Virginia Polytechnic Institute and State U.,3,14,228
4647,r017,All institutions (449 institutions) -> From top 20 institutions -> North Carolina State U.,All institutions (449 institutions),From top 20 institutions,North Carolina State U.,3,15,227
4647,r018,"All institutions (449 institutions) -> From top 20 institutions -> U. Minnesota, Twin Cities",All institutions (449 institutions),From top 20 institutions,"U. Minnesota, Twin Cities",3,15,227
4647,r019,"All institutions (449 institutions) -> From top 20 institutions -> U. California, Berkeley",All institutions (449 institutions),From top 20 institutions,"U. California, Berkeley",3,17,214
4647,r020,"All institutions (449 institutions) -> From top 20 institutions -> U. California, Los Angeles",All institutions (449 institutions),From top 20 institutions,"U. California, Los Angeles",3,18,211
4647,r021,All institutions (449 institutions) -> From top 20 institutions -> Michigan State U.,All institutions (449 institutions),From top 20 institutions,Michigan State U.,3,19,210
4647,r022,All institutions (449 institutions) -> From top 20 institutions -> Cornell U.,All institutions (449 institutions),From top 20 institutions,Cornell U.,3,20,200
