table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
7393,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['1,349', '&nbsp;']","['921', '&nbsp;']","['313', '&nbsp;']","['107', '&nbsp;']","['9', '&nbsp;']"
7393,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['3,874', '&nbsp;']","['1,919', '&nbsp;']","['1,422', '&nbsp;']","['440', '&nbsp;']","['94', '&nbsp;']"
7393,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,638', '&nbsp;']","['3,512', '&nbsp;']","['2,455', '&nbsp;']","['1,127', '&nbsp;']","['546', '&nbsp;']"
7393,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['4,728', '&nbsp;']","['1,993', '&nbsp;']","['1,549', '&nbsp;']","['770', '&nbsp;']","['416', '&nbsp;']"
7393,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['1,099', '&nbsp;']","['480', '&nbsp;']","['414', '&nbsp;']","['144', '&nbsp;']","['62', '&nbsp;']"
7393,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,810', '&nbsp;']","['1,038', '&nbsp;']","['490', '&nbsp;']","['215', '&nbsp;']","['68', '&nbsp;']"
7393,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['12,927', '&nbsp;']","['8,543', '&nbsp;']","['3,624', '&nbsp;']","['609', '&nbsp;']","['150', '&nbsp;']"
7393,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['20,251', '&nbsp;']","['14,644', '&nbsp;']","['4,322', '&nbsp;']","['921', '&nbsp;']","['362', '&nbsp;']"
7393,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['8,014', '&nbsp;']","['6,163', '&nbsp;']","['1,403', '&nbsp;']","['288', '&nbsp;']","['160', '&nbsp;']"
7393,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['12,237', '&nbsp;']","['8,482', '&nbsp;']","['2,922', '&nbsp;']","['632', '&nbsp;']","['203', '&nbsp;']"
7393,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['4,640,414', '&nbsp;']","['3,524,442', '&nbsp;']","['923,104', '&nbsp;']","['163,086', '&nbsp;']","['29,783', '&nbsp;']"
7393,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['22,732', '&nbsp;']","['17,791', '&nbsp;']","['3,970', '&nbsp;']","['646', '&nbsp;']","['326', '&nbsp;']"
7393,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['15,475', '&nbsp;']","['10,587', '&nbsp;']","['3,467', '&nbsp;']","['1,148', '&nbsp;']","['272', '&nbsp;']"
7393,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['2,615', '&nbsp;']","['1,926', '&nbsp;']","['492', '&nbsp;']","['82', '&nbsp;']","['116', '&nbsp;']"
7393,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['627,340', '&nbsp;']","['484,220', '&nbsp;']","['119,897', '&nbsp;']","['20,647', '&nbsp;']","['2,578', '&nbsp;']"
7393,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['253,680', '&nbsp;']","['184,753', '&nbsp;']","['55,020', '&nbsp;']","['11,431', '&nbsp;']","['2,477', '&nbsp;']"
7393,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['554,596', '&nbsp;']","['428,799', '&nbsp;']","['106,856', '&nbsp;']","['16,421', '&nbsp;']","['2,521', '&nbsp;']"
7393,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['157,728', '&nbsp;']","['120,387', '&nbsp;']","['30,288', '&nbsp;']","['5,806', '&nbsp;']","['1,247', '&nbsp;']"
7393,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['62,834', '&nbsp;']","['47,583', '&nbsp;']","['11,442', '&nbsp;']","['2,810', '&nbsp;']","['1,001', '&nbsp;']"
