table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
7297,r001,All consortia,All consortia,,1,459428.5,478071.6,501428.1,453812.5,458092.6,421057.1,534701.8,388726.3,435735.8
7297,r002,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,821.3,244.4,918.8,249.9,291.1,211.6,78.7,84.7,539.6
7297,r003,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,88.4,1536.7,291.3,1047.9,3146.6,1234.6,0.0,465.6,3642.6
7297,r004,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,3021.9,1108.7,2362.3,800.0,2217.8,2447.2,2650.1,2507.7,6760.3
7297,r005,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,150249.7,187721.3,215535.0,267457.1,290663.9,279176.7,353554.8,250589.6,271215.4
7297,r006,All consortia -> Astrophysical Research Consortium,All consortia,Astrophysical Research Consortium,2,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4150.3
7297,r007,All consortia -> Atlanta U. Center Consortium,All consortia,Atlanta U. Center Consortium,2,2234.8,744.9,744.9,0.0,0.0,0.0,0.0,0.0,0.0
7297,r008,All consortia -> Barrow Arctic Science Consortium,All consortia,Barrow Arctic Science Consortium,2,20.3,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7297,r009,All consortia -> Black Rock Forest Consortium,All consortia,Black Rock Forest Consortium,2,0.0,0.0,0.0,0.0,0.0,0.0,317.8,0.0,0.0
7297,r010,All consortia -> Cancer Alliance of Nebraska,All consortia,Cancer Alliance of Nebraska,2,759.9,554.2,711.1,0.0,0.0,0.0,0.0,0.0,0.0
7297,r011,All consortia -> Central U.S. Earthquake Consortium,All consortia,Central U.S. Earthquake Consortium,2,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7297,r012,All consortia -> Chesapeake Research Consortium Inc.,All consortia,Chesapeake Research Consortium Inc.,2,5.8,0.0,8.0,0.0,17.8,0.0,0.0,0.0,298.3
7297,r013,All consortia -> Clinical Data Interchange Standards Consortium Inc.,All consortia,Clinical Data Interchange Standards Consortium Inc.,2,0.0,0.0,220.7,384.2,225.0,236.6,749.7,299.0,0.0
7297,r014,All consortia -> Commonwealth Center for Advanced Manufacturing,All consortia,Commonwealth Center for Advanced Manufacturing,2,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
7297,r015,All consortia -> Conservation X Labs Inc.,All consortia,Conservation X Labs Inc.,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0
7297,r016,All consortia -> Consortium for Energy Efficiency Inc.,All consortia,Consortium for Energy Efficiency Inc.,2,400.0,34.5,575.6,339.6,300.0,0.0,0.0,0.0,0.0
7297,r017,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,188772.8,156734.1,134188.7,55863.6,52676.0,1910.2,32902.7,1368.2,975.7
7297,r018,All consortia -> Consortium for Research on Renewable Industrial Materials,All consortia,Consortium for Research on Renewable Industrial Materials,2,442.0,678.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
