table_id,row_id,highest_degree_awarded_full_path,highest_degree_awarded_level_1,highest_degree_awarded_level_2,highest_degree_awarded_hierarchy_depth,field_all_degree_granting_institutions,field_public,field_private_nonprofit,field_private_for_profit
1551,r001,All degree levels,All degree levels,,1,4401,1643,1739,1019
1551,r002,All degree levels -> Associate's,All degree levels,Associate's,2,1508,885,103,520
1551,r003,All degree levels -> Bachelor's,All degree levels,Bachelor's,2,789,193,353,243
1551,r004,All degree levels -> Master's,All degree levels,Master's,2,936,189,589,158
1551,r005,All degree levels -> Doctoral,All degree levels,Doctoral,2,1168,376,694,98
