table_id,row_id,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_full_path,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_1,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_2,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_3,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_4,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_5,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_level_6,_b_type_of_cost_highest_degree_granted_and_institutional_control_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
7958,r001,All institutions,All institutions,,,,,,1,,,,,,,,,,,,
7958,r002,All institutions -> All R&D,All institutions,All R&D,,,,,2,61286610,65274393,65729007,67013138,67199090,68549882,71767849,75147113,79023156,83487471,86300399,89723447
7958,r003,All institutions -> All R&D -> Direct costs,All institutions,All R&D,Direct costs,,,,3,46159649,49311567,49897854,51089463,51564639,52612273,55281411,57935294,60776056,64345771,66526173,69185932
7958,r004,"All institutions -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,,4,25929799,27860610,28339070,28802181,29118949,29895112,31455447,33230175,34674118,36564673,38725994,40337368
7958,r005,All institutions -> All R&D -> Direct costs -> Software,All institutions,All R&D,Direct costs,Software,,,4,105970,116422,103456,107685,96517,117007,113524,109627,121837,136474,158535,172603
7958,r006,All institutions -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,All R&D,Direct costs,Software,Noncapitalized software,,5,88456,98438,93250,95652,84275,93204,95136,98602,110774,120920,144277,158043
7958,r007,All institutions -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,All R&D,Direct costs,Software,Capitalized software,,5,17514,17984,10206,12033,12242,23803,18388,11025,11063,15554,14258,14560
7958,r008,All institutions -> All R&D -> Direct costs -> Capitalized equipment,All institutions,All R&D,Direct costs,Capitalized equipment,,,4,2148421,2256025,2040534,2254429,2036407,2119877,2169465,2193933,2148659,2439950,2588908,2662006
7958,r009,All institutions -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,All R&D,Direct costs,Passed through to subrecipients,,,4,4956929,5436850,5531421,5689087,5702921,5633794,5697047,5915370,6315795,6717010,7051008,7576989
7958,r010,All institutions -> All R&D -> Direct costs -> Other direct costs,All institutions,All R&D,Direct costs,Other direct costs,,,4,13018530,13641660,13883373,14236081,14609845,14846483,15845928,16486189,17515647,18487664,18001728,18436966
7958,r011,All institutions -> All R&D -> Indirect costs,All institutions,All R&D,Indirect costs,,,,3,15126961,15962826,15831153,15923675,15634451,15937609,16486438,17211819,18247100,19141700,19774226,20537515
7958,r012,All institutions -> All R&D -> Indirect costs -> Recovered,All institutions,All R&D,Indirect costs,Recovered,,,4,10465893,11352339,11221624,11220177,10873913,11100902,11452294,12021614,12745091,13607908,14036678,14660733
7958,r013,All institutions -> All R&D -> Indirect costs -> Unrecovered,All institutions,All R&D,Indirect costs,Unrecovered,,,4,4661068,4610487,4609529,4703498,4760538,4836707,5034144,5190205,5502009,5533792,5737548,5876782
7958,r014,All institutions -> Doctorate,All institutions,Doctorate,,,,,2,,,,,,,,,,,,
7958,r015,All institutions -> Doctorate -> All R&D,All institutions,Doctorate,All R&D,,,,3,60266691,64064133,64700201,66217717,66447854,67890206,70718154,74440281,78354069,82802531,85612050,89051221
7958,r016,All institutions -> Doctorate -> All R&D -> Direct costs,All institutions,Doctorate,All R&D,Direct costs,,,4,45266156,48282499,49022847,50398617,50915499,52041133,54363455,57313036,60194358,63754151,65934205,68608387
7958,r017,"All institutions -> Doctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Doctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,25494721,27357645,27906910,28462160,28785382,29604360,31105634,32912108,34362624,36255288,38415021,40018516
7958,r018,All institutions -> Doctorate -> All R&D -> Direct costs -> Software,All institutions,Doctorate,All R&D,Direct costs,Software,,5,98119,110285,95627,102523,91341,111641,108637,107203,119943,134734,156190,169022
7958,r019,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Noncapitalized software,6,80940,92808,86115,90658,79637,88076,90540,96559,109021,119334,142259,154870
7958,r020,All institutions -> Doctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Doctorate,All R&D,Direct costs,Software,Capitalized software,6,17179,17477,9512,11865,11704,23565,18097,10644,10922,15400,13931,14152
7958,r021,All institutions -> Doctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Doctorate,All R&D,Direct costs,Capitalized equipment,,5,2086956,2192296,1995345,2219549,2011006,2095655,2039262,2166672,2124751,2418412,2565614,2633582
7958,r022,All institutions -> Doctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Doctorate,All R&D,Direct costs,Passed through to subrecipients,,5,4901412,5371178,5469627,5647933,5663439,5609174,5659469,5884044,6286293,6688864,7022850,7548281
7958,r023,All institutions -> Doctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Doctorate,All R&D,Direct costs,Other direct costs,,5,12684948,13251095,13555338,13966452,14364331,14620303,15450453,16243009,17300747,18256853,17774530,18238986
7958,r024,All institutions -> Doctorate -> All R&D -> Indirect costs,All institutions,Doctorate,All R&D,Indirect costs,,,4,15000535,15781634,15677354,15819100,15532355,15849073,16354699,17127245,18159711,19048380,19677845,20442834
7958,r025,All institutions -> Doctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Doctorate,All R&D,Indirect costs,Recovered,,5,10382463,11236113,11125166,11147825,10808902,11040967,11383623,11965789,12685461,13547070,13973862,14597199
7958,r026,All institutions -> Doctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Doctorate,All R&D,Indirect costs,Unrecovered,,5,4618072,4545521,4552188,4671275,4723453,4808106,4971076,5161456,5474250,5501310,5703983,5845635
7958,r027,All institutions -> Nondoctorate,All institutions,Nondoctorate,,,,,2,,,,,,,,,,,,
7958,r028,All institutions -> Nondoctorate -> All R&D,All institutions,Nondoctorate,All R&D,,,,3,1019919,1210260,1028806,795421,751236,659676,1049695,706832,669087,684940,688349,672226
7958,r029,All institutions -> Nondoctorate -> All R&D -> Direct costs,All institutions,Nondoctorate,All R&D,Direct costs,,,4,893493,1029068,875007,690846,649140,571140,917956,622258,581698,591620,591968,577545
7958,r030,"All institutions -> Nondoctorate -> All R&D -> Direct costs -> Salaries, wages, and fringe benefits",All institutions,Nondoctorate,All R&D,Direct costs,"Salaries, wages, and fringe benefits",,5,435078,502965,432160,340021,333567,290752,349813,318067,311494,309385,310973,318852
7958,r031,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software,All institutions,Nondoctorate,All R&D,Direct costs,Software,,5,7851,6137,7829,5162,5176,5366,4887,2424,1894,1740,2345,3581
7958,r032,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Noncapitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Noncapitalized software,6,7516,5630,7135,4994,4638,5128,4596,2043,1753,1586,2018,3173
7958,r033,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Software -> Capitalized software,All institutions,Nondoctorate,All R&D,Direct costs,Software,Capitalized software,6,335,507,694,168,538,238,291,381,141,154,327,408
7958,r034,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Capitalized equipment,All institutions,Nondoctorate,All R&D,Direct costs,Capitalized equipment,,5,61465,63729,45189,34880,25401,24222,130203,27261,23908,21538,23294,28424
7958,r035,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Passed through to subrecipients,All institutions,Nondoctorate,All R&D,Direct costs,Passed through to subrecipients,,5,55517,65672,61794,41154,39482,24620,37578,31326,29502,28146,28158,28708
7958,r036,All institutions -> Nondoctorate -> All R&D -> Direct costs -> Other direct costs,All institutions,Nondoctorate,All R&D,Direct costs,Other direct costs,,5,333582,390565,328035,269629,245514,226180,395475,243180,214900,230811,227198,197980
7958,r037,All institutions -> Nondoctorate -> All R&D -> Indirect costs,All institutions,Nondoctorate,All R&D,Indirect costs,,,4,126426,181192,153799,104575,102096,88536,131739,84574,87389,93320,96381,94681
7958,r038,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Recovered,All institutions,Nondoctorate,All R&D,Indirect costs,Recovered,,5,83430,116226,96458,72352,65011,59935,68671,55825,59630,60838,62816,63534
7958,r039,All institutions -> Nondoctorate -> All R&D -> Indirect costs -> Unrecovered,All institutions,Nondoctorate,All R&D,Indirect costs,Unrecovered,,5,42996,64966,57341,32223,37085,28601,63068,28749,27759,32482,33565,31147
7958,r040,All institutions -> Public,All institutions,Public,,,,,2,,,,,,,,,,,,
7958,r041,All institutions -> Public -> All R&D,All institutions,Public,All R&D,,,,3,41266626,43915960,44162595,44849697,44678272,45412330,47107025,49257662,51890982,54655748,56634767,58667378
7958,r042,All institutions -> Public -> All R&D -> Direct costs,All institutions,Public,All R&D,Direct costs,,,4,31705979,33922562,34339324,35005995,35020233,35641349,36969260,38696275,40643826,42882709,44470989,46015426
