table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_doctoral_students_rank,field_all_doctoral_students_total,field_all_doctoral_students_science,field_all_doctoral_students_engineering,field_all_doctoral_students_health,field_full_time_doctoral_students_rank,field_full_time_doctoral_students_total,field_full_time_doctoral_students_science,field_full_time_doctoral_students_engineering,field_full_time_doctoral_students_health,field_part_time_doctoral_students_rank,field_part_time_doctoral_students_total,field_part_time_doctoral_students_science,field_part_time_doctoral_students_engineering,field_part_time_doctoral_students_health
10647,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,297223,206183,72980,18060,-,259683,183443,64020,12220,-,37540,22740,8960,5840
10647,r002,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,1,4733,2790,1691,252,1,4664,2774,1642,248,147,69,16,49,4
10647,r003,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,2,4505,2754,1663,88,2,4429,2705,1640,84,137,76,49,23,4
10647,r004,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,3,4326,2512,1672,142,6,3830,2243,1462,125,12,496,269,210,17
10647,r005,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,4,4323,2065,2058,200,15,3386,1697,1505,184,4,937,368,553,16
10647,r006,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,5,4144,3099,1002,43,3,4144,3099,1002,43,356,0,0,0,0
10647,r007,All institutions<sup>a</sup> -> U. Wisconsin-Madison,All institutions<sup>a</sup>,U. Wisconsin-Madison,2,6,4133,3035,798,300,10,3686,2659,753,274,17,447,376,45,26
10647,r008,All institutions<sup>a</sup> -> Pennsylvania State U.,All institutions<sup>a</sup>,Pennsylvania State U.,2,7,3997,2534,1371,92,5,3855,2449,1332,74,78,142,85,39,18
10647,r009,All institutions<sup>a</sup> -> Stanford U.,All institutions<sup>a</sup>,Stanford U.,2,8,3992,2589,1343,60,4,3983,2585,1338,60,291,9,4,5,0
10647,r010,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,9,3905,2684,840,381,9,3718,2582,794,342,56,187,102,46,39
10647,r011,"All institutions<sup>a</sup> -> U. Texas, Austin",All institutions<sup>a</sup>,"U. Texas, Austin",2,10,3897,2141,1518,238,12,3623,2025,1403,195,32,274,116,115,43
10647,r012,All institutions<sup>a</sup> -> Cornell U.,All institutions<sup>a</sup>,Cornell U.,2,11,3739,2892,847,0,7,3723,2877,846,0,262,16,15,1,0
10647,r013,"All institutions<sup>a</sup> -> U. California, Los Angeles",All institutions<sup>a</sup>,"U. California, Los Angeles",2,12,3723,2676,879,168,7,3723,2676,879,168,356,0,0,0,0
10647,r014,"All institutions<sup>a</sup> -> U. Maryland, College Park",All institutions<sup>a</sup>,"U. Maryland, College Park",2,13,3716,2600,827,289,14,3467,2460,761,246,37,249,140,66,43
10647,r015,All institutions<sup>a</sup> -> Ohio State U.,All institutions<sup>a</sup>,Ohio State U.,2,14,3642,2444,1015,183,13,3568,2420,976,172,140,74,24,39,11
10647,r016,All institutions<sup>a</sup> -> Massachusetts Institute of Technology,All institutions<sup>a</sup>,Massachusetts Institute of Technology,2,15,3634,2078,1556,0,11,3628,2077,1551,0,312,6,1,5,0
10647,r017,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,16,3559,2065,863,631,23,2930,1894,856,180,8,629,171,7,451
10647,r018,All institutions<sup>a</sup> -> Georgia Institute of Technology,All institutions<sup>a</sup>,Georgia Institute of Technology,2,17,3538,1356,2182,0,16,3302,1270,2032,0,41,236,86,150,0
10647,r019,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,18,3492,2427,917,148,21,3159,2237,812,110,26,333,190,105,38
10647,r020,All institutions<sup>a</sup> -> U. Minnesota,All institutions<sup>a</sup>,U. Minnesota,2,19,3417,2383,806,228,20,3244,2271,761,212,61,173,112,45,16
10647,r021,"All institutions<sup>a</sup> -> U. California, San Diego",All institutions<sup>a</sup>,"U. California, San Diego",2,20,3311,2495,816,0,18,3262,2472,790,0,174,49,23,26,0
10647,r022,"All institutions<sup>a</sup> -> U. California, Davis",All institutions<sup>a</sup>,"U. California, Davis",2,21,3289,2613,627,49,19,3260,2598,614,48,220,29,15,13,1
10647,r023,All institutions<sup>a</sup> -> Harvard U.,All institutions<sup>a</sup>,Harvard U.,2,22,3283,2869,319,95,17,3282,2868,319,95,344,1,1,0,0
10647,r024,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,23,3260,2210,858,192,22,3018,2052,796,170,38,242,158,62,22
10647,r025,All institutions<sup>a</sup> -> Arizona State U.,All institutions<sup>a</sup>,Arizona State U.,2,24,2908,1953,887,68,38,2097,1378,671,48,6,811,575,216,20
10647,r026,All institutions<sup>a</sup> -> North Carolina State U.,All institutions<sup>a</sup>,North Carolina State U.,2,25,2907,1586,1321,0,26,2677,1488,1189,0,42,230,98,132,0
10647,r027,All institutions<sup>a</sup> -> Indiana U.,All institutions<sup>a</sup>,Indiana U.,2,26,2884,2161,204,519,45,1820,1358,99,363,1,1064,803,105,156
10647,r028,All institutions<sup>a</sup> -> U. Pennsylvania,All institutions<sup>a</sup>,U. Pennsylvania,2,27,2809,2118,640,51,25,2769,2103,616,50,190,40,15,24,1
10647,r029,All institutions<sup>a</sup> -> Northwestern U.,All institutions<sup>a</sup>,Northwestern U.,2,28,2790,1859,891,40,24,2777,1850,887,40,268,13,9,4,0
10647,r030,All institutions<sup>a</sup> -> Virginia Polytechnic Institute and State U.,All institutions<sup>a</sup>,Virginia Polytechnic Institute and State U.,2,29,2673,1480,1193,0,30,2400,1341,1059,0,33,273,139,134,0
10647,r031,All institutions<sup>a</sup> -> U. Southern California,All institutions<sup>a</sup>,U. Southern California,2,30,2666,1750,756,160,27,2637,1739,739,159,220,29,11,17,1
10647,r032,"All institutions<sup>a</sup> -> U. North Carolina, Chapel Hill",All institutions<sup>a</sup>,"U. North Carolina, Chapel Hill",2,31,2568,2203,102,263,28,2515,2171,93,251,168,53,32,9,12
10647,r033,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,32,2516,1813,640,63,29,2444,1770,619,55,144,72,43,21,8
10647,r034,All institutions<sup>a</sup> -> Michigan State U.,All institutions<sup>a</sup>,Michigan State U.,2,33,2473,1962,444,67,31,2379,1880,435,64,116,94,82,9,3
10647,r035,"All institutions<sup>a</sup> -> Rutgers, State U. New Jersey",All institutions<sup>a</sup>,"Rutgers, State U. New Jersey",2,34,2448,2044,378,26,43,1963,1622,315,26,13,485,422,63,0
10647,r036,All institutions<sup>a</sup> -> U. Chicago,All institutions<sup>a</sup>,U. Chicago,2,35,2359,2102,257,0,32,2359,2102,257,0,356,0,0,0,0
10647,r037,All institutions<sup>a</sup> -> U. Pittsburgh,All institutions<sup>a</sup>,U. Pittsburgh,2,36,2335,1538,541,256,33,2250,1491,527,232,125,85,47,14,24
10647,r038,All institutions<sup>a</sup> -> Boston U.,All institutions<sup>a</sup>,Boston U.,2,37,2253,1420,559,274,35,2212,1403,557,252,185,41,17,2,22
10647,r039,"All institutions<sup>a</sup> -> U. California, Irvine",All institutions<sup>a</sup>,"U. California, Irvine",2,38,2238,1604,634,0,34,2230,1598,632,0,300,8,6,2,0
10647,r040,All institutions<sup>a</sup> -> Princeton U.,All institutions<sup>a</sup>,Princeton U.,2,39,2209,1646,563,0,36,2209,1646,563,0,356,0,0,0,0
10647,r041,All institutions<sup>a</sup> -> U. Arizona,All institutions<sup>a</sup>,U. Arizona,2,40,2192,1726,315,151,51,1692,1326,258,108,11,500,400,57,43
10647,r042,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,41,2182,1745,321,116,40,2006,1609,310,87,59,176,136,11,29
10647,r043,All institutions<sup>a</sup> -> U. Georgia,All institutions<sup>a</sup>,U. Georgia,2,42,2163,1873,136,154,41,1991,1718,132,141,62,172,155,4,13
10647,r044,All institutions<sup>a</sup> -> U. New Mexico,All institutions<sup>a</sup>,U. New Mexico,2,43,2131,1369,473,289,81,1149,784,179,186,2,982,585,294,103
10647,r045,All institutions<sup>a</sup> -> Duke U.,All institutions<sup>a</sup>,Duke U.,2,44,2126,1488,592,46,37,2126,1488,592,46,356,0,0,0,0
10647,r046,All institutions<sup>a</sup> -> Yale U.,All institutions<sup>a</sup>,Yale U.,2,45,2075,1641,323,111,39,2075,1641,323,111,356,0,0,0,0
10647,r047,All institutions<sup>a</sup> -> U. Connecticut,All institutions<sup>a</sup>,U. Connecticut,2,46,2027,1328,563,136,44,1829,1207,509,113,51,198,121,54,23
10647,r048,"All institutions<sup>a</sup> -> U. Illinois, Chicago",All institutions<sup>a</sup>,"U. Illinois, Chicago",2,47,2007,1165,394,448,57,1554,940,339,275,15,453,225,55,173
10647,r049,All institutions<sup>a</sup> -> Carnegie Mellon U.,All institutions<sup>a</sup>,Carnegie Mellon U.,2,48,1998,1081,917,0,42,1970,1065,905,0,226,28,16,12,0
10647,r050,"All institutions<sup>a</sup> -> U. Massachusetts, Amherst",All institutions<sup>a</sup>,"U. Massachusetts, Amherst",2,49,1975,1484,427,64,49,1745,1321,376,48,42,230,163,51,16
10647,r051,All institutions<sup>a</sup> -> U. Utah,All institutions<sup>a</sup>,U. Utah,2,50,1974,1269,533,172,52,1668,1089,451,128,29,306,180,82,44
10647,r052,All institutions<sup>a</sup> -> Iowa State U.,All institutions<sup>a</sup>,Iowa State U.,2,51,1879,1249,614,16,68,1283,846,425,12,10,596,403,189,4
10647,r053,"All institutions<sup>a</sup> -> U. Tennessee, Knoxville",All institutions<sup>a</sup>,"U. Tennessee, Knoxville",2,52,1869,1103,690,76,91,954,601,315,38,5,915,502,375,38
10647,r054,All institutions<sup>a</sup> -> U. Virginia,All institutions<sup>a</sup>,U. Virginia,2,53,1827,1170,634,23,46,1806,1157,627,22,247,21,13,7,1
10647,r055,"All institutions<sup>a</sup> -> U. California, Riverside",All institutions<sup>a</sup>,"U. California, Riverside",2,54,1810,1443,367,0,47,1798,1431,367,0,273,12,12,0,0
10647,r056,"All institutions<sup>a</sup> -> Washington U., Saint Louis",All institutions<sup>a</sup>,"Washington U., Saint Louis",2,55,1790,1342,435,13,48,1789,1342,434,13,344,1,0,1,0
10647,r057,"All institutions<sup>a</sup> -> SUNY, Stony Brook U.",All institutions<sup>a</sup>,"SUNY, Stony Brook U.",2,55,1790,1410,339,41,50,1733,1397,314,22,161,57,13,25,19
10647,r058,All institutions<sup>a</sup> -> Liberty U.,All institutions<sup>a</sup>,Liberty U.,2,57,1688,1325,24,339,87,1062,761,21,280,9,626,564,3,59
10647,r059,All institutions<sup>a</sup> -> U. Delaware,All institutions<sup>a</sup>,U. Delaware,2,58,1676,1137,518,21,55,1645,1119,510,16,209,31,18,8,5
10647,r060,All institutions<sup>a</sup> -> Vanderbilt U.,All institutions<sup>a</sup>,Vanderbilt U.,2,59,1656,1246,370,40,54,1647,1240,369,38,291,9,6,1,2
10647,r061,"All institutions<sup>a</sup> -> U. California, Santa Barbara",All institutions<sup>a</sup>,"U. California, Santa Barbara",2,60,1651,1322,329,0,53,1651,1322,329,0,356,0,0,0,0
10647,r062,"All institutions<sup>a</sup> -> Colorado State U., Fort Collins",All institutions<sup>a</sup>,"Colorado State U., Fort Collins",2,61,1623,1168,434,21,115,670,547,110,13,3,953,621,324,8
10647,r063,All institutions<sup>a</sup> -> U. Houston,All institutions<sup>a</sup>,U. Houston,2,62,1621,956,558,107,64,1380,802,481,97,39,241,154,77,10
10647,r064,"All institutions<sup>a</sup> -> CUNY, Graduate Center",All institutions<sup>a</sup>,"CUNY, Graduate Center",2,63,1580,1526,0,54,56,1573,1519,0,54,307,7,7,0,0
10647,r065,All institutions<sup>a</sup> -> Florida State U.,All institutions<sup>a</sup>,Florida State U.,2,64,1545,1261,206,78,63,1386,1149,189,48,67,159,112,17,30
10647,r066,All institutions<sup>a</sup> -> George Mason U.,All institutions<sup>a</sup>,George Mason U.,2,65,1528,1309,186,33,79,1184,1008,149,27,25,344,301,37,6
