table_id,row_id,degree_and_institution_type_full_path,degree_and_institution_type_level_1,degree_and_institution_type_level_2,degree_and_institution_type_hierarchy_depth,field_all_fields,field_all_s_e,field_agricultural_sciences,field_biological_sciences,field_computer_sciences,field_earth_atmospheric_and_ocean_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering
1557,r001,Associate&#8217;s,Associate&#8217;s,,1,1014574,92650,2781,5737,31179,151,3454,5699,11282,26319,6048
1557,r002,Associate&#8217;s -> Doctoral universities: highest research activity,Associate&#8217;s,Doctoral universities: highest research activity,2,2549,74,57,0,13,0,0,0,0,4,0
1557,r003,Associate&#8217;s -> Doctoral universities: higher research activity,Associate&#8217;s,Doctoral universities: higher research activity,2,4565,161,35,0,123,0,0,0,0,1,2
1557,r004,Associate&#8217;s -> Doctoral universities: moderate research activity,Associate&#8217;s,Doctoral universities: moderate research activity,2,12409,2746,12,11,1085,0,3,3,381,1248,3
1557,r005,Associate&#8217;s -> Master's colleges and universities,Associate&#8217;s,Master's colleges and universities,2,55900,3288,24,91,2126,0,12,85,278,575,97
1557,r006,Associate&#8217;s -> Baccalaureate colleges,Associate&#8217;s,Baccalaureate colleges,2,61527,3389,249,67,2215,0,7,295,39,447,70
1557,r007,Associate&#8217;s -> Associate's colleges,Associate&#8217;s,Associate's colleges,2,817547,80497,2281,5454,24449,149,3402,5096,10473,23364,5829
1557,r008,Associate&#8217;s -> Medical schools and medical centers,Associate&#8217;s,Medical schools and medical centers,2,222,0,0,0,0,0,0,0,0,0,0
1557,r009,Associate&#8217;s -> Schools of engineering,Associate&#8217;s,Schools of engineering,2,9,0,0,0,0,0,0,0,0,0,0
1557,r010,Associate&#8217;s -> Other specialized institutions,Associate&#8217;s,Other specialized institutions,2,51163,1662,79,13,868,0,0,212,13,452,25
1557,r011,Associate&#8217;s -> Tribal colleges,Associate&#8217;s,Tribal colleges,2,1446,274,44,18,49,2,2,0,16,123,20
1557,r012,Associate&#8217;s -> Not classified,Associate&#8217;s,Not classified,2,7237,559,0,83,251,0,28,8,82,105,2
1557,r013,Bachelor&#8217;s,Bachelor&#8217;s,,1,1973112,684557,31089,121742,72129,7320,25808,23410,117441,167691,117927
1557,r014,Bachelor&#8217;s -> Doctoral universities: highest research activity,Bachelor&#8217;s,Doctoral universities: highest research activity,2,558545,276853,13924,49737,23312,3037,11953,8688,32626,70365,63211
1557,r015,Bachelor&#8217;s -> Doctoral universities: higher research activity,Bachelor&#8217;s,Doctoral universities: higher research activity,2,265997,96481,4656,17120,8204,1342,3077,2908,14314,19648,25212
1557,r016,Bachelor&#8217;s -> Doctoral universities: moderate research activity,Bachelor&#8217;s,Doctoral universities: moderate research activity,2,186862,50210,1486,7770,5975,373,1431,1453,11322,13461,6939
1557,r017,Bachelor&#8217;s -> Master's colleges and universities,Bachelor&#8217;s,Master's colleges and universities,2,697582,189282,8073,32056,25436,1782,6533,6888,46953,44758,16803
1557,r018,Bachelor&#8217;s -> Baccalaureate colleges,Bachelor&#8217;s,Baccalaureate colleges,2,179545,64984,2867,14258,6260,767,2762,3418,11451,18800,4401
1557,r019,Bachelor&#8217;s -> Associate's colleges,Bachelor&#8217;s,Associate's colleges,2,7293,781,35,67,668,0,2,0,5,4,0
1557,r020,Bachelor&#8217;s -> Medical schools and medical centers,Bachelor&#8217;s,Medical schools and medical centers,2,6336,16,0,16,0,0,0,0,0,0,0
1557,r021,Bachelor&#8217;s -> Schools of engineering,Bachelor&#8217;s,Schools of engineering,2,1548,1430,0,24,114,13,10,25,0,0,1244
1557,r022,Bachelor&#8217;s -> Other specialized institutions,Bachelor&#8217;s,Other specialized institutions,2,63744,3664,6,610,2078,0,6,28,522,306,108
1557,r023,Bachelor&#8217;s -> Tribal colleges,Bachelor&#8217;s,Tribal colleges,2,373,124,36,2,9,1,0,0,6,68,2
1557,r024,Bachelor&#8217;s -> Not classified,Bachelor&#8217;s,Not classified,2,5287,732,6,82,73,5,34,2,242,281,7
