table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
6361,r001,All agencies,All agencies,,,,,1,1137411.4,19326.2,202700.9,12470.1,152391.5,750522.8
6361,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
6361,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,152906.5,0.0,131109.3,0.0,19333.2,2464.0
6361,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,3074.8,0.0,3074.8,0.0,0.0,0.0
6361,r005,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,81718.0,0.0,81718.0,0.0,0.0,0.0
6361,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,35291.9,0.0,23889.2,0.0,8938.7,2464.0
6361,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,32821.8,0.0,22427.3,0.0,10394.5,0.0
6361,r008,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,46690.2,0.0,18791.4,1866.0,12979.3,13053.6
6361,r009,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,482.4,0.0,482.4,0.0,0.0,0.0
6361,r010,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,14833.8,0.0,933.0,1866.0,10877.0,1157.8
6361,r011,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,31374.1,0.0,17376.0,0.0,2102.3,11895.8
