table_id,row_id,directorate,year,educational_institutiona,governmentb,business_and_industryc
12405,r001,Biological Sciences (BIO),2002,46,12,42
12405,r002,,2012,41,13,47
12405,r003,,2022,22,7,71
12405,r004,Computer and Information Science and Engineering (CISE),2002,43,4,53
12405,r005,,2012,24,4,72
12405,r006,,2022,18,3,79
12405,r007,STEM Education (EDU),2002,85,5,11
12405,r008,,2012,85,3,12
12405,r009,,2022,78,4,17
12405,r010,Engineering (ENG),2002,21,9,70
12405,r011,,2012,17,8,75
12405,r012,,2022,13,6,81
12405,r013,Geosciences (GEO),2002,36,19,45
12405,r014,,2012,40,18,42
12405,r015,,2022,27,22,50
12405,r016,Mathematical and Physical Sciences (MPS),2002,38,5,57
12405,r017,,2012,39,6,55
12405,r018,,2022,18,4,78
12405,r019,"Social, Behavioral and Economic Sciences (SBE)",2002,63,9,28
12405,r020,,2012,65,9,26
12405,r021,,2022,48,11,41
